UniqueCount	AmbigCount
1582	0
8331	11265
36222	9380
106	476
2336	0
753	0
1017	0
4933	171
1	0
113	1022
1	320
873	6
1395	0
1570	0
299	937
27	862
248	0
8295	0
606	0
963	0
60	285
0	334
2561	0
9	1004
1989	0
0	162
604	0
62	318
873	0
2	1
0	0
0	0
317	0
2	0
34	274
2842	0
0	11
209	0
38228	0
5784	0
0	167
3796	0
44	88
43426	0
9618	0
1696	0
7096	0
28	6819
2149	0
2193	2
0	783
742	1039
385	1064
263	1039
6	15095
1570	2
301	2
57281	0
9985	0
856	0
94	0
637	0
2	1565
11	1715
0	0
5306	0
6	149
147	682
4936	0
763	0
0	11
0	0
49	372
5	10345
11560	0
38	29
13357	0
477	0
54	126
43777	0
2658	0
85	16
8364	12
50	0
1038	1755
0	1498
2118	0
0	807
2676	3601
2	21
2282	0
12	1666
1842	0
21746	19
5116	216
553	0
248	0
1006	0
170165	35
21	2726
0	0
1	1316
0	0
2103	0
0	0
504	1361
0	0
0	0
0	0
32745	0
1715	0
25	126
0	36
1	68667
58	0
1	0
1221	5403
1980	0
2864	0
2409	0
129	1061
571	0
164790	2
56275	164
5769	0
1127	148
2020	0
10921	0
1724	0
2019	0
93	2873
2889	0
490	0
775	0
1758	0
164	3623
938	0
50	1087
1936	1059
5204	0
366	0
721	0
0	203
0	346
536	0
0	2668
214	0
0	629
374	10403
8916	0
414	0
7630	0
61	0
737	13
1160	0
361	0
113	0
0	0
0	0
47	62
1371	0
1607	0
0	217
63	420
822	0
962	0
5230	0
7181	0
0	329
946	0
387	0
40336	0
4402	0
6829	0
0	0
80654	0
1434	0
2076	0
18030	0
12	2
96	0
2245	0
576	0
16588	0
43397	0
39	400
21234	0
119	2057
1412	0
29845	0
1434	0
1116	0
1947	0
2831	0
4861	0
1468	0
5395	0
29	176
1	33
828	0
4648	0
0	921
3242	0
1216	0
986	3752
2230	0
64	438
3	0
0	293
3343	3416
0	518
2452	0
8026	0
2172	0
0	2
1871	0
181	639
53	7
26355	0
7701	0
1	7798
0	474
588	0
26	556
6326	0
0	1878
1542	0
1223	0
1	383
2429	0
0	1
2494	0
475	0
3894	0
0	1104
3838	0
98	0
463	0
803	0
0	323
224	0
45	87
0	419
0	1111
897	0
4452	0
9726	0
5466	14005
3566	0
416	0
0	0
186	382
0	321
0	0
21	51
0	3650
53	1196
1299	1456
0	0
0	360
0	602
0	899
46316	0
948	4181
464	1621
24	4141
726	0
5254	1512
2315	133
298	0
18897	0
13904	2
39	655
0	2274
5399	0
1664	0
1	0
0	0
0	0
1489	0
6129	0
0	0
6	0
27526	0
0	0
0	0
1594	0
1308	0
1290	0
5681	0
7513	0
3293	0
1516	0
2516	0
25503	0
123	930
353	4
136	873
499	473
0	281
770	0
0	43
2	34
47	133
16215	0
678	0
8214	0
277	0
3677	0
0	0
76	16
577	0
0	0
5	0
4521	0
1372	0
1370	0
2896	0
0	0
1038	0
0	0
16813	0
0	5
0	2585
1184	0
0	0
0	0
0	0
2	0
179395	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
73	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
8	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
28	0
7	0
0	0
4	0
0	0
7	0
5	0
0	0
0	0
0	0
5	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
16	0
0	0
0	0
0	0
0	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	0
42	0
0	0
0	0
1	0
91	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	0
36	2333
760	0
0	0
3575	0
2811	2
177	0
0	0
0	233
555	567
0	7050
0	0
3231	0
0	0
6	1316
83	1396
2	1418
2803	0
75	1897
3	137
0	61
9418	0
4	902
246	0
0	0
0	0
387	1830
9	1881
0	0
0	0
0	0
0	0
0	0
2	0
0	0
0	0
5734	2
40	444
3738	11
0	0
11	422
1918	0
0	228
27	0
339	0
67	408
0	0
0	0
0	0
1749	0
0	0
6	3435
0	0
0	0
178	0
384	0
62	638
0	4
562	0
0	0
47	0
0	0
0	0
1	0
0	0
0	0
8	0
5983	16
4824	0
1948	9
0	0
0	0
2922	0
9	5
5	0
129	1301
567	0
0	2998
8	0
4641	0
1052	0
0	0
4176	0
1	1126
0	1141
4710	0
4297	0
0	0
0	0
311	3564
124	3564
0	0
788	0
0	0
176	0
0	0
33	1560
0	2
241	2433
0	381
139	0
0	0
25	161
6	0
1792	0
0	0
56	1229
0	0
46	408
0	0
0	0
3701	0
299	0
0	0
594	2222
0	634
0	600
3956	0
391	1227
3273	0
0	0
1080	0
0	909
113	1139
332	0
2430	0
2	47
2	0
0	0
0	0
0	0
5	130
13	0
0	0
424	0
4060	0
901	0
0	0
0	0
1	8
242	0
1	427
0	0
0	0
0	20
3278	0
372	870
0	0
0	0
497	0
0	0
0	0
2634	0
365	742
1455	0
244	8249
366	0
18	605
1389	0
1090	0
0	0
0	616
0	551
0	316
0	411
21	224
0	0
0	0
0	0
0	0
0	0
6945	0
0	18
786	668
0	470
10	271
0	0
2055	0
1130	1
0	0
2850	0
0	0
69	1400
0	0
844	0
0	0
0	0
0	0
0	0
0	0
0	0
0	2616
1149	0
20	127
1133	70
0	0
0	0
0	0
0	0
0	0
190	678
107	954
0	0
0	63
0	0
174	0
0	0
0	0
1543	0
0	0
0	0
2196	0
477	2553
114	0
3898	0
0	0
0	2
0	0
9	46
217	3018
1	0
902	0
755	0
77	720
0	0
0	1903
541	5267
1	12
802	36
48	186
3314	0
59	1176
0	0
0	0
0	0
0	208
4	0
2	0
2	0
13	650
32	254
0	0
0	0
0	0
208	0
0	0
0	0
0	680
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	4
262	2223
938	0
1454	0
67	238
0	0
3321	0
0	504
0	0
0	0
8480	0
0	0
0	0
0	0
97	5326
502	1817
146	7418
776	17893
0	1663
0	0
34	0
0	0
0	697
191	0
0	0
20	548
1486	0
0	0
172	924
2	0
0	0
1078	0
59	2505
5200	0
39	300
0	0
5	257
0	0
535	0
197	385
6	4
17	686
4025	8325
295	8325
71	0
1337	0
3155	0
324	2306
0	0
0	0
25	515
219	1
402	0
2369	0
948	0
1915	0
0	0
0	0
1	39
0	0
1308	0
0	0
132	0
0	0
0	0
0	0
0	0
98	0
0	0
1208	524
1	1058
2	997
82	581
0	349
0	0
0	0
90	0
656	0
6095	0
0	0
0	0
2277	0
24	559
0	0
2	19
2	19
19	0
0	0
290	0
0	92
0	0
304	0
586	0
55	860
16	1660
0	28
886	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	4
681	0
486	83
15	670
0	1596
302	1552
0	124
409	262
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
526	5
0	0
922	0
0	5
1	14
0	0
70	2
4	9
0	104
110	1214
0	0
2	0
0	0
0	0
0	0
0	0
785	6999
928	0
5	0
1371	0
0	545
89	147
7	0
372	5791
53	3210
2	5
0	0
1	1738
0	0
0	0
0	7
79	0
860	0
1	747
0	0
0	0
6305	0
854	0
354	9
30	764
1	511
3184	0
0	578
0	295
270	39
0	0
3219	1581
0	0
17	212
0	0
0	0
1008	0
29	218
25	509
0	5
0	0
0	0
0	0
0	0
0	65
2	0
64	1022
60	1022
0	0
0	0
0	0
1612	0
0	0
0	0
0	0
0	0
111	526
4289	0
1555	0
481	0
0	2261
1878	0
2753	0
2	0
475	109
0	0
0	0
0	0
15	138
