UniqueCount	AmbigCount
1350	0
7516	10497
31623	8634
104	472
2144	0
745	0
850	0
3889	160
0	0
86	922
0	292
788	2
1179	0
1502	0
307	879
28	724
227	0
7852	0
491	0
807	0
34	207
0	348
2207	0
4	820
1635	0
0	193
622	0
78	300
837	0
1	2
0	0
0	0
277	0
2	0
13	283
2432	0
0	4
158	0
34338	0
4865	0
0	158
3343	0
42	80
38930	0
8625	0
1575	0
6717	0
16	6675
1445	0
1916	0
0	705
721	1063
374	920
289	1063
1	12954
1408	3
269	3
50277	0
9208	0
689	0
89	0
570	0
0	1451
13	1625
0	0
4613	0
2	129
167	595
4863	0
716	0
0	2
0	0
60	372
1	9317
11107	0
28	27
12104	0
389	0
72	124
43255	0
2942	0
100	14
6765	8
48	0
872	1542
0	1220
1964	0
0	718
2102	2922
2	25
2008	0
23	1603
1666	0
18441	24
4707	220
502	0
256	0
947	0
148953	28
10	2511
0	0
0	1028
0	0
1703	0
0	0
422	1085
0	0
0	0
0	0
27734	0
1737	0
20	108
0	41
0	59523
68	0
0	0
1159	5332
2113	0
2665	0
2297	0
119	916
488	0
143507	3
49955	175
5604	0
1115	122
1896	0
9361	0
1607	0
1930	0
87	2854
2522	0
518	0
708	0
1550	0
156	3186
908	0
37	848
1453	913
4511	0
308	0
726	0
0	187
0	321
519	0
0	2332
196	0
0	540
420	9632
7897	0
306	0
6728	0
46	0
704	8
1024	0
252	0
116	0
0	0
0	0
18	54
1099	0
1570	0
0	186
57	379
798	0
819	0
4564	0
6160	0
0	372
758	0
391	0
33931	0
3672	0
6068	0
0	0
71334	1
1212	0
1508	0
16071	0
6	3
44	0
1954	0
570	0
15583	0
49591	0
53	393
21407	0
81	1712
1151	0
31945	0
1328	0
1040	0
1898	0
2845	0
4690	0
1375	0
5462	0
19	136
0	24
820	0
4288	0
0	723
3027	0
1191	0
910	4004
2071	0
77	395
0	0
0	247
3004	3205
0	469
1978	0
7100	0
2083	0
0	1
1687	0
161	611
52	6
25015	0
7298	0
1	7635
0	456
596	0
25	571
5775	0
0	1663
1680	0
1147	0
5	389
2061	0
0	0
2196	0
456	0
3501	0
0	1006
3233	0
70	0
387	0
733	0
0	317
198	0
53	94
0	376
0	1206
783	0
3579	0
9325	0
4824	12488
3144	0
391	0
0	0
187	369
0	262
0	0
15	37
0	3466
39	1005
1228	1359
0	0
0	292
0	486
0	798
40759	0
840	3742
480	1555
16	3686
762	0
4623	1372
2009	120
261	0
17191	0
12955	6
41	558
0	2201
4924	0
1356	0
1	0
0	0
0	0
1329	4
4918	0
0	0
2	0
25138	0
0	0
2	0
1378	0
1284	0
1162	0
5361	1
6228	0
3255	0
1384	0
1777	0
21235	0
105	744
338	6
142	673
374	476
0	306
725	0
0	34
2	26
40	107
14613	0
580	0
7098	0
223	0
3164	0
0	0
92	8
449	0
0	0
0	0
4033	0
1148	0
1188	0
2765	0
0	0
948	0
0	0
15067	0
0	1
3	2384
1023	0
0	0
0	0
0	0
0	0
757233	0
0	0
0	0
0	0
0	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
0	0
39	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
7	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
16	0
3	0
0	0
5	0
0	0
9	0
13	0
0	0
0	0
0	0
3	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
19	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
28	0
0	0
0	0
0	0
59	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
9	0
20	2248
687	0
0	0
2977	0
2475	9
158	0
0	0
0	159
472	540
0	6233
0	0
2855	1
0	0
8	1085
67	1157
0	1174
2494	0
74	1866
5	89
0	39
8243	1
5	768
203	0
0	0
0	0
345	1481
7	1532
0	0
0	0
0	0
0	0
0	1
3	0
0	1
0	0
5562	1
40	378
3751	7
0	0
3	318
1622	0
1	198
18	0
244	0
62	404
0	0
0	0
0	0
1577	0
0	0
7	3377
0	0
0	0
190	0
369	0
57	621
0	2
525	0
0	0
38	0
0	0
1	0
0	0
0	0
0	0
0	0
5235	10
3931	0
1795	9
0	0
0	0
2671	0
2	4
0	0
87	1171
470	0
0	2735
6	0
4012	0
940	0
0	0
3768	0
0	980
0	1002
4172	0
3635	0
0	0
0	0
285	3276
82	3276
0	0
780	0
0	0
140	0
0	0
21	1379
0	1
214	2299
0	340
100	0
0	0
26	155
7	0
1665	0
0	0
62	1167
0	0
38	341
0	0
0	0
3429	0
262	0
0	0
601	2369
0	539
0	522
3553	0
360	1099
3013	0
0	0
928	0
0	742
92	985
313	0
2216	0
0	48
2	0
0	0
0	0
0	0
7	102
9	0
0	0
397	0
3620	0
800	0
0	0
0	0
1	3
183	0
0	360
0	0
0	0
0	25
3059	0
333	736
0	0
0	0
498	0
0	0
0	0
2401	0
290	675
1187	0
193	7160
384	0
17	495
1284	0
1016	0
0	0
0	527
0	497
0	312
0	368
28	208
0	0
0	0
0	0
0	0
0	0
5990	0
1	27
631	606
0	393
5	259
0	0
1875	0
971	1
0	0
2677	0
0	0
57	1166
0	0
771	0
0	2
0	2
0	0
0	0
0	0
0	0
0	2295
999	0
32	107
1032	54
0	0
0	0
0	0
0	0
0	0
117	581
94	786
0	0
0	100
0	0
184	0
0	0
0	0
1460	0
0	0
0	0
2003	0
376	2150
95	0
3212	0
2	0
1	4
0	0
17	44
175	2687
5	1
911	0
736	0
58	582
2	0
0	1656
496	4788
1	5
686	43
35	164
2864	0
51	1009
0	0
0	0
0	0
0	200
4	0
0	0
0	0
7	484
25	210
0	0
0	0
0	0
159	0
0	0
0	0
0	600
0	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
224	2045
757	0
1249	0
71	236
0	0
3507	0
0	518
0	0
0	0
7490	0
0	0
0	0
0	0
65	4885
384	1661
156	7057
727	15699
0	1483
0	0
42	0
0	0
0	567
184	0
0	0
14	519
1396	0
0	0
175	894
0	0
0	0
1001	0
51	2093
4528	0
36	261
0	0
6	182
0	0
490	0
211	312
6	2
19	550
3459	7225
209	7225
56	0
1106	0
2798	0
267	1982
0	0
0	0
27	494
189	0
318	0
2038	0
785	0
1851	0
0	0
0	0
0	38
1	0
1166	0
0	0
133	0
0	0
0	0
0	0
0	0
92	0
0	0
991	451
2	885
1	919
61	469
0	323
0	0
0	0
66	0
582	0
5824	0
0	0
0	0
2078	0
24	550
0	1
0	19
1	19
35	0
0	0
286	0
0	82
0	0
242	0
526	0
34	766
3	1342
0	20
795	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	2
622	0
449	133
12	624
0	1476
235	1410
0	90
326	243
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
446	5
0	0
731	0
0	7
3	14
0	0
73	3
2	6
0	108
82	998
0	0
0	0
0	0
0	0
0	0
0	0
648	5821
810	0
2	0
1305	0
2	352
73	110
6	0
295	5040
50	2936
0	4
0	0
0	1552
0	0
0	1
0	8
56	0
739	0
0	664
0	0
0	0
5703	0
743	0
252	6
27	715
3	434
2920	0
0	480
2	256
268	33
0	0
2775	1457
0	0
12	222
0	0
0	0
894	0
19	148
15	478
0	11
0	0
0	0
0	0
0	0
0	49
0	0
63	1043
59	1043
0	0
0	0
1	0
1364	0
0	0
0	0
0	0
0	0
88	508
3953	0
1422	0
376	0
0	1969
1565	0
2522	0
1	0
424	135
0	0
0	0
1	0
19	149
0	0
0	0
0	0
0	0
2160	0
1	0
0	0
1	0
123	505
2	0
0	0
0	0
1880	0
83	0
0	0
192	0
1	0
83	0
0	0
0	0
1034	0
1166	0
432	312
76	312
53	45
846	0
0	0
0	1
1115	0
52	629
1	0
0	0
419	1
37	0
0	0
28122	0
0	0
