UniqueCount	AmbigCount
1838	0
10750	14027
42674	11484
147	724
3697	0
1035	0
1149	0
6762	253
1	0
198	1721
3	646
1404	2
1865	0
2194	0
405	1266
60	1261
353	0
13894	0
673	2
1002	0
62	257
0	501
4455	0
4	1266
2185	0
0	302
866	0
77	418
1166	0
9	2
0	0
0	0
366	0
1	0
28	464
3635	0
0	18
321	0
42742	0
7589	0
0	227
5315	0
34	64
59410	0
9930	0
2126	1
10416	0
21	7926
1126	0
2523	8
0	1154
969	1457
717	1677
449	1457
2	23137
2132	0
524	0
78599	0
13344	0
1412	0
116	0
1083	0
2	2222
13	2394
0	0
9321	0
9	216
266	1021
8433	0
1195	0
0	21
0	0
87	538
6	13642
17073	0
70	35
16967	0
712	0
94	192
53753	0
3652	0
62	18
9333	14
68	0
1322	2058
0	2431
4096	0
0	957
3313	4771
2	24
3155	0
25	2342
2208	0
25063	24
6102	266
713	0
355	0
1527	0
204366	36
44	3818
0	0
1	1265
0	0
2436	0
0	0
567	1410
0	0
0	0
0	0
39563	0
1891	0
28	177
0	56
2	90016
73	0
0	0
1727	7516
2918	0
4286	0
3114	0
193	1201
652	0
240816	7
58096	174
7436	0
1435	194
2629	0
12879	0
2462	0
2348	0
122	4335
4555	0
72	0
1071	0
1987	0
263	5950
1262	0
29	1234
2107	1176
5081	0
513	0
1044	0
0	268
0	471
790	0
0	3168
359	0
0	917
487	14566
12357	0
630	0
9576	0
31	0
1039	18
1601	0
509	0
130	0
0	0
0	0
65	85
1565	0
3473	0
0	251
93	621
1221	0
1190	0
6338	0
8805	0
0	455
1309	0
559	0
52193	0
5553	0
8613	0
0	0
96079	0
2009	0
3245	0
21422	0
13	14
140	0
3225	0
883	0
28894	0
58605	0
62	496
30915	0
130	2770
1432	0
33233	0
2350	0
1761	0
1816	0
3542	0
5950	0
2124	0
6222	0
39	243
0	45
1271	0
6254	0
0	1107
4557	0
1515	0
1480	5546
2534	0
126	674
1	0
0	421
3834	4135
0	626
3802	0
8564	0
3625	0
0	1
2473	0
236	990
50	8
33719	0
9776	0
1	10462
0	638
1011	0
30	698
7724	0
0	3044
2314	0
1628	0
5	423
2950	0
0	0
3053	0
582	0
4377	0
0	1234
4841	0
176	0
545	0
1022	0
0	480
260	0
85	164
0	653
0	1456
1395	0
7024	0
10570	0
6553	16163
4651	0
513	0
0	0
221	496
1	450
0	0
29	86
0	4854
92	1527
1686	1992
0	0
0	412
0	879
0	1074
54437	0
1017	4751
840	3109
40	4928
1209	0
6824	1841
3349	202
517	0
23517	0
19141	2
58	772
0	3250
6211	0
1805	0
2	0
0	0
0	0
2293	7
4696	0
0	0
3	0
40049	0
0	0
3	0
1596	0
1428	0
1520	0
7479	2
8943	0
4635	0
1821	0
1885	0
30665	0
149	1203
503	4
157	881
613	661
0	433
877	0
0	34
1	27
66	170
18836	0
739	0
12021	0
331	0
4692	0
0	0
126	19
1064	0
0	0
7	0
7917	0
2082	0
2160	0
4055	0
0	1
1223	0
0	0
21134	0
0	7
1	3626
1313	0
1	0
1	0
0	0
0	0
131532	0
0	0
0	0
6	0
0	0
5	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
85	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	0
0	0
8	0
0	0
0	0
0	0
0	0
2	0
0	0
9	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
33	0
0	0
0	0
11	0
0	0
17	0
8	0
1	0
0	0
0	0
10	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
15	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
32	0
0	0
0	0
1	0
139	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
9	0
62	3478
1340	0
0	0
4477	0
4173	8
208	0
0	0
0	270
776	800
0	8517
2	0
6640	3
0	0
12	2067
133	2213
1	2235
3414	0
133	2649
0	174
0	80
10959	0
14	1140
333	0
0	0
0	0
712	3008
10	3060
0	0
0	0
0	0
0	0
0	2
9	0
0	1
0	0
7650	2
76	602
5605	11
0	0
10	479
2814	0
2	284
32	0
498	0
122	583
0	0
0	0
0	0
2088	0
0	4
20	7069
0	0
2	0
297	0
527	0
89	1150
0	5
773	0
0	0
55	0
0	0
0	0
0	0
2	0
0	0
6	0
8709	32
6944	0
2969	3
0	0
0	0
3678	0
5	2
3	0
137	2008
734	0
0	4358
36	0
6791	0
1271	0
0	0
5778	0
3	1639
0	1683
5591	0
7024	0
0	0
0	0
440	5651
166	5651
0	0
789	0
0	0
260	0
0	0
46	2161
0	1
335	3671
0	603
189	0
0	0
40	268
13	0
2564	0
0	0
110	1833
0	0
42	551
0	0
0	0
4799	0
398	0
2	0
1021	3602
0	989
0	913
4909	0
476	1468
4222	0
0	0
1329	0
1	1864
160	1512
411	0
3402	0
3	71
1	0
0	0
0	0
0	0
21	199
12	0
0	0
503	0
5255	0
1090	0
0	0
0	0
4	14
336	0
0	787
0	0
0	0
0	38
6240	0
367	1033
0	0
1	0
599	0
0	0
0	0
3466	0
398	871
1639	0
322	11592
560	0
36	1007
1539	0
1592	0
0	0
0	1057
0	954
0	577
0	721
32	327
0	0
0	0
0	0
0	0
0	0
9275	0
0	32
837	912
0	701
10	393
0	0
2436	0
1586	1
0	0
4284	0
0	0
123	2216
0	0
1064	0
0	0
0	0
0	0
0	0
0	0
0	0
0	3860
1659	0
37	183
1342	87
0	0
0	0
0	0
0	0
0	0
209	879
121	1088
0	0
2	132
0	0
120	0
0	0
0	0
1995	0
0	0
0	0
2352	0
512	2890
113	0
4670	0
0	0
1	2
1	0
12	54
307	4390
2	1
1279	0
1034	0
102	747
0	0
0	3592
718	7043
1	15
928	56
61	244
3511	0
104	1441
0	0
0	0
0	0
0	351
8	0
0	0
0	5
16	849
47	311
0	0
0	0
0	0
242	0
0	0
0	0
0	982
0	0
0	0
0	4
0	4
0	4
0	0
0	4
0	0
0	4
1	0
414	3525
1170	0
1788	0
82	316
0	0
4871	0
0	676
0	0
0	0
11762	0
0	0
0	0
0	0
137	8450
608	2444
305	13760
1155	26118
0	2308
0	0
90	0
0	0
0	1131
283	0
0	0
20	634
1877	0
0	0
211	1082
0	0
0	2
1317	0
70	3365
7052	0
59	383
0	0
5	277
0	0
777	0
307	493
14	8
60	1029
4388	9141
228	9141
68	0
1886	0
3878	0
342	2740
0	0
0	0
45	727
294	0
521	0
3084	0
1301	0
3070	0
2	0
0	0
0	59
1	0
1908	0
0	0
181	0
0	0
0	0
0	0
0	0
141	0
0	0
1571	653
0	1503
4	1448
97	820
3	508
0	0
0	0
90	0
750	0
8118	0
0	0
0	0
3293	0
44	980
0	0
0	40
0	38
20	0
0	0
408	0
2	152
0	0
341	0
659	0
85	1174
26	1981
0	25
1215	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	2
839	0
736	150
12	784
0	2420
411	2349
1	145
386	283
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
765	15
0	0
1115	0
0	9
1	11
0	0
100	2
3	15
0	148
115	1596
0	0
1	0
0	0
0	0
0	0
0	0
1433	11292
891	0
6	0
1631	0
0	647
118	193
5	0
510	7612
64	4392
0	5
0	0
0	2226
0	0
0	0
0	22
88	0
979	0
2	922
0	0
0	0
8561	0
1107	0
613	9
48	1219
6	756
4659	0
0	733
4	350
354	45
1	0
3484	1780
0	0
16	368
0	0
0	0
1327	0
39	298
24	720
0	5
0	0
0	0
0	0
0	0
1	113
0	0
104	1350
98	1350
0	0
0	0
1	0
2081	0
0	0
0	0
0	0
0	0
127	630
4716	0
1982	0
618	0
0	2702
2122	0
3182	0
0	0
692	152
0	0
0	0
0	0
30	228
0	0
1	0
0	0
0	0
3502	0
0	0
0	0
0	0
182	716
0	0
0	0
0	0
2498	0
105	0
0	0
358	0
0	0
118	0
0	0
0	0
1547	0
2083	0
586	422
113	422
91	71
993	0
0	0
2	2
1673	0
80	849
1	0
0	0
588	0
28	0
0	0
30594	0
0	0
14	0
526	0
0	1809
1008	0
0	0
0	24
0	0
4052	0
1436	0
0	0
4	0
0	0
54	693
0	0
70	444
3935	2
0	0
0	0
0	0
1027	1691
0	0
0	0
47	2566
18	0
1	0
0	0
0	0
0	0
0	0
13	419
544	0
6	0
0	0
0	0
0	0
0	0
0	1
26	0
0	0
4477	0
6	750
0	1104
93	772
919	0
0	0
0	0
334	0
242	3607
41	7328
0	0
1	0
1257	0
2292	0
0	1
0	1
25	570
93	45
3950	10
2776	2659
2093	0
3696	0
8298	0
37	1936
7	37777
37	133
0	0
0	0
16	0
63	2497
167	1970
0	0
0	0
1	0
0	0
94	1066
69	4465
215	4471
15	96
50	824
19	867
509	0
0	0
309	1959
264	0
246	117
0	98
299	1880
372	1401
3617	0
24	252
70	0
75	0
5	132
63	372
4766	0
1470	0
295	38
0	0
0	0
0	0
0	221
417	71
0	0
0	0
157	2288
1370	12545
0	0
0	0
0	30
0	0
0	0
1	2
734	0
2587	3
0	0
46	546
2	0
438	4217
169	1358
1	3658
145	0
0	0
36	726
11991	15
2339	0
0	0
35	308
0	0
15	79
3124	0
0	0
0	0
0	0
738	2438
0	0
2953	0
6100	0
32	9595
1	449
6494	0
10	0
0	771
2372	2092
11	0
39	27
214	2564
50	6506
675	6506
568	0
1	0
1404	0
1629	0
537	4947
292	0
0	0
3753	0
0	0
0	0
0	0
54	327
0	0
16173	0
96	3992
140	1161
1851	0
0	0
942	0
0	0
0	0
0	0
0	0
101	1426
24734	0
190	1723
183	0
0	0
0	0
177	0
0	0
110	0
0	0
744	0
1	0
0	0
0	0
0	0
15	0
0	4
0	1
0	0
0	0
1	55
0	0
0	118
0	122
0	108
801	0
2537	0
1	0
1	0
1	0
955	0
2	0
0	739
294	0
194	3684
119	664
1740	0
488	0
2504	0
278	2627
115	2627
0	0
0	0
0	0
