UniqueCount	AmbigCount
1798	0
7011	16417
39409	13626
177	779
2185	0
788	0
1050	0
7193	410
0	0
121	1282
0	650
1233	6
2103	0
1615	0
285	984
36	1249
331	0
12490	0
664	1
1169	0
45	326
0	575
3615	0
5	1433
2143	0
0	193
1007	0
58	532
1751	0
11	0
0	0
0	0
455	0
5	0
27	356
3745	0
0	36
251	0
63382	0
5600	0
0	224
5702	0
48	90
44343	0
18944	0
2106	0
8155	0
40	13156
3480	0
2647	3
0	827
595	1132
570	1678
367	1132
3	15110
2488	4
417	4
81307	0
13476	0
1118	0
123	0
1197	0
2	2042
9	2614
2	0
5916	0
8	214
258	872
8507	0
1009	0
0	33
0	0
61	491
2	13506
14339	0
49	41
15597	0
515	0
46	143
35947	0
3315	0
98	35
14054	49
49	0
1470	2351
0	1919
2730	0
0	802
2627	3777
2	51
2385	0
29	2138
2408	0
28599	10
6783	308
916	0
339	0
1777	0
175391	23
33	2932
0	0
1	1226
0	0
2675	0
0	0
718	1388
0	0
0	0
0	0
83395	0
5068	2
30	203
0	313
3	85208
159	0
2	0
2064	7686
3267	0
3000	0
3190	0
144	818
626	0
180079	9
84552	818
7204	0
1456	341
2702	0
10548	0
2992	0
2398	0
116	4227
4030	0
453	0
1511	0
3189	0
195	4663
1099	0
32	1277
3289	2466
4580	0
453	0
808	0
0	380
0	505
611	0
1	2716
250	0
0	981
641	17495
11560	1
713	0
9142	0
60	0
1195	43
1873	0
352	0
385	0
0	0
0	0
54	84
2332	0
2775	0
0	317
146	840
1189	0
1009	0
4891	0
7194	0
0	385
1141	0
539	0
33479	0
4614	0
6524	0
0	0
71763	0
1982	0
3172	0
18485	0
36	23
62	0
2874	0
661	0
15576	0
37605	0
44	336
20647	0
134	2204
2377	0
33897	0
2007	0
1658	0
1826	0
3307	0
3996	0
1668	0
5127	0
43	256
0	54
1154	0
4722	0
0	1129
3709	0
1505	0
1021	4610
5660	0
114	493
4	0
0	549
3455	4748
0	685
3468	0
8807	0
2537	0
0	0
2504	0
274	1121
51	17
20889	0
8786	0
0	7125
0	667
982	0
32	783
9026	0
0	3010
1720	0
1368	0
2	564
3721	0
0	0
3151	0
730	0
7863	0
0	1277
5049	0
199	0
523	0
841	0
0	533
304	0
72	134
0	723
0	2144
1377	0
5950	0
8336	0
6794	27471
6367	0
491	0
0	0
214	358
0	492
0	0
24	89
0	6316
61	1542
1343	1947
0	0
0	773
0	933
0	1468
37804	0
822	4712
697	2554
29	8980
1217	0
6417	2665
2443	238
310	0
18281	0
16486	7
58	893
0	2406
5689	0
2996	0
1	0
0	0
0	0
1957	23
7387	0
0	0
5	0
60483	0
0	0
1	0
2802	0
2112	0
1372	0
8589	3
12372	0
5653	0
1776	0
6553	0
23323	0
138	960
663	9
147	750
497	558
0	376
1236	0
0	44
4	32
97	197
29128	0
859	0
9625	0
218	0
4598	0
0	0
68	13
534	0
0	0
8	0
5577	0
1495	0
2429	0
3761	0
0	0
1365	0
0	0
28880	0
0	2
0	2763
4520	0
1	0
4	0
0	0
6	0
109424	0
0	0
0	0
1	0
0	0
21	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
4	0
0	0
0	0
78	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
12	0
0	0
0	0
0	0
0	0
4	0
0	0
12	0
0	0
0	0
0	0
9	0
0	0
3	0
2	0
3	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
32	0
15	0
0	0
17	0
0	0
27	0
12	0
2	0
0	0
0	0
13	0
1	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
4	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
23	0
0	0
0	0
0	0
0	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
48	0
0	0
0	0
1	0
132	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
17	0
58	2506
714	0
0	0
3416	0
3386	8
243	0
0	0
0	224
581	667
1	8458
0	0
3898	2
0	0
9	1855
107	1968
1	1987
3932	0
122	2229
0	213
0	87
9189	0
17	908
361	0
0	0
0	0
597	2437
16	2491
0	0
0	0
0	0
0	0
0	0
1	0
0	2
0	0
5587	1
45	513
4227	12
0	0
8	461
2299	0
5	326
32	0
501	0
77	514
0	0
0	1
0	1
2587	0
0	2
7	4600
0	0
1	0
241	0
507	0
89	891
0	4
839	0
0	0
63	0
0	0
0	0
0	0
0	0
0	0
7	0
6163	43
6573	0
3137	20
0	0
0	0
3712	0
6	4
0	0
221	1743
648	0
0	3665
18	0
6994	0
1048	0
0	0
4108	0
0	1474
0	1514
6016	0
4531	0
0	0
0	0
332	4890
140	4890
0	0
994	0
1	0
269	0
1	0
41	2164
0	3
298	3146
0	684
235	0
0	0
37	349
27	0
2309	0
0	0
68	1562
0	0
51	452
0	0
0	0
5148	0
522	0
1	0
756	3192
0	895
0	857
5178	0
502	1258
5337	0
0	0
1336	0
0	1328
141	1618
388	0
3165	0
2	75
2	0
0	0
0	0
0	0
16	208
24	0
0	0
467	0
7260	0
1148	0
0	0
0	0
2	11
412	0
0	734
1	0
0	0
0	33
5061	0
360	1168
0	0
0	0
643	0
0	0
0	0
2444	0
343	845
3073	0
320	10145
497	0
48	880
2565	0
1522	0
0	0
0	815
0	751
0	468
0	537
16	364
0	0
0	0
0	0
0	0
0	0
7549	0
0	70
744	738
0	728
19	389
0	0
2185	0
1443	3
0	0
3812	0
0	0
133	1946
0	0
889	0
0	1
0	1
0	0
0	0
0	0
0	1
0	2837
1468	0
26	160
3136	101
0	0
0	0
0	0
0	0
0	0
165	785
143	1019
0	0
0	142
0	0
184	0
0	0
0	0
1787	0
0	0
0	0
2770	0
482	3418
275	0
5923	0
1	0
4	12
0	0
13	81
309	4432
0	0
1087	0
926	0
129	1187
0	0
0	2570
533	5314
1	28
2608	313
66	280
5060	0
108	1340
0	0
0	0
0	0
0	334
8	0
0	0
0	6
14	939
40	386
0	0
0	0
0	0
238	0
0	0
0	0
0	761
0	0
3	0
0	5
0	7
0	7
0	3
0	5
0	1
0	5
0	1
259	2676
1022	0
2142	0
72	247
0	0
4673	0
0	499
0	0
0	0
7498	0
0	0
0	0
0	0
165	7430
434	2188
161	8247
1095	20693
0	1889
0	0
43	0
0	0
0	988
243	0
0	0
24	751
1713	0
0	0
264	1127
2	0
0	0
1603	0
91	3099
5737	0
58	471
0	0
5	286
1	0
626	0
424	908
19	14
31	904
11795	26436
517	26436
114	0
1573	0
3380	0
363	2773
0	0
0	0
37	498
227	0
492	0
3075	0
1295	0
2495	0
0	0
0	0
0	51
0	0
1542	0
4	0
182	0
0	0
0	0
0	0
0	0
117	0
2	0
1670	919
0	1145
3	1118
124	817
1	433
0	0
0	0
97	0
714	0
5982	0
0	0
0	0
3149	0
24	635
0	0
1	22
1	21
13	0
0	0
478	0
8	125
0	0
364	0
779	2
114	1100
43	2208
0	34
975	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	3
1047	0
631	209
21	941
0	2261
356	2211
0	194
727	734
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
663	3
0	0
1215	0
0	6
0	20
0	0
47	4
4	5
0	140
132	1401
0	0
0	0
0	0
0	0
0	0
0	0
1048	8484
888	0
2	0
1465	0
1	458
169	258
6	0
366	5673
86	3354
7	2
0	0
0	2679
0	0
0	0
0	31
81	0
862	0
0	892
0	0
0	1
8110	0
908	0
466	21
48	1448
8	766
4248	0
0	832
5	574
450	98
2	0
4889	4475
0	0
11	319
0	0
0	0
1340	0
28	283
14	850
0	19
0	0
0	0
0	0
0	0
1	96
0	0
89	1261
59	1261
0	0
0	0
1	0
2695	0
0	0
0	0
0	0
0	0
100	615
4451	0
1842	0
923	0
0	2403
3163	0
3055	0
0	0
452	148
0	0
0	0
0	0
23	236
0	0
0	0
0	0
0	0
2896	0
1	0
0	0
1	0
158	725
3	0
0	0
0	0
2900	0
116	0
0	0
268	0
0	0
112	0
1	0
0	0
1372	0
1859	0
780	673
153	673
203	136
1382	0
0	0
1	2
1387	0
63	891
0	0
0	0
664	0
34	0
0	0
30099	0
0	0
11	0
562	0
0	1493
1320	0
0	0
0	39
0	0
4570	0
1339	0
0	0
4	0
0	0
67	802
0	0
74	445
3532	2
0	0
0	0
0	0
875	1621
0	0
2	0
20	2335
22	0
0	0
0	0
0	0
0	0
0	0
39	1908
444	0
5	0
1	0
0	0
0	0
0	0
0	2
37	0
0	0
2945	0
10	797
0	1527
114	894
752	0
0	0
0	0
372	0
165	1941
13	9198
0	0
0	0
1513	0
1895	0
0	2
0	2
24	631
123	61
3955	22
2427	2563
2420	0
3995	0
7401	0
37	1946
24	64705
45	157
0	0
0	0
21	0
62	1947
222	2190
0	0
0	0
2	0
0	0
59	979
94	2996
128	2999
14	76
49	1021
22	815
562	0
0	0
280	1678
226	0
219	131
0	118
300	1664
312	1333
2998	0
40	244
87	0
96	0
8	145
83	409
4132	0
882	0
231	108
0	0
0	0
0	0
0	208
611	144
0	0
0	0
144	2089
1029	12149
0	0
0	0
0	41
0	0
0	0
1	3
730	0
2433	5
0	0
70	661
5	0
433	4432
190	1443
3	2950
61	0
0	0
60	691
9708	19
2592	0
0	0
29	274
0	0
19	55
3252	0
0	0
0	0
0	0
636	2520
0	0
3328	0
6826	0
29	7943
0	615
5120	0
21	0
0	697
2356	2517
7	0
88	50
297	3001
43	4929
392	4929
676	0
0	0
2128	0
2783	0
441	3706
206	0
0	0
3021	0
0	0
0	0
0	0
89	408
0	0
11656	0
71	3205
146	1022
1600	0
0	0
869	0
0	0
0	0
0	0
0	0
62	1132
20952	0
173	1793
