UniqueCount	AmbigCount
2229	0
10122	17002
43725	14257
174	729
3026	0
999	0
1330	0
7214	306
2	3
153	1596
6	622
1151	0
1853	0
2154	0
420	1651
40	1123
374	0
12814	0
785	1
1147	0
59	357
0	614
4046	0
2	1404
2392	0
0	206
999	0
83	526
1281	0
5	0
0	0
0	0
374	0
8	0
37	354
3973	0
0	19
203	0
47125	0
7695	0
0	160
5407	0
42	119
57995	0
12576	0
2405	0
9759	0
26	5894
2370	0
2871	7
0	1084
943	1503
598	1673
497	1503
8	16943
2055	1
393	1
87533	0
14030	0
1120	0
157	0
882	0
0	2030
5	2436
0	0
8345	0
8	182
209	816
7467	0
1007	0
0	12
0	0
74	540
2	15330
17605	0
74	43
22994	0
664	0
73	190
52909	0
3596	0
131	30
11304	33
82	0
1251	2118
0	2001
3368	0
0	1123
3418	4637
3	35
3217	0
29	2099
2125	0
30426	27
7681	341
825	0
383	0
1310	0
201777	47
32	3487
0	0
0	1747
0	0
2807	0
0	0
762	1571
0	0
0	0
0	0
35465	0
1936	0
39	209
0	75
0	92724
118	0
2	0
2150	8338
3467	0
3624	0
3106	0
153	1232
637	0
233283	4
62624	257
9314	0
1450	237
2799	0
14170	0
2878	0
2428	0
96	4634
3801	0
147	0
1082	0
2272	0
210	4926
1248	0
50	1373
1844	1221
6632	0
553	0
664	0
0	290
0	412
751	0
0	3164
304	0
0	875
593	14554
10803	0
638	0
9403	0
68	0
979	7
1676	0
418	0
173	0
0	0
0	0
52	93
1781	0
2575	0
0	258
96	594
1392	0
1311	0
6503	0
8719	0
1	546
1125	0
543	0
41720	0
5808	0
9344	0
0	0
101625	0
1784	0
3707	0
22953	0
16	14
120	0
3224	0
839	0
20123	0
54316	0
49	497
28050	0
180	2687
1533	0
45133	0
2010	0
1635	0
2226	0
4071	0
6115	0
2081	0
7089	0
39	270
0	41
1090	0
5715	0
0	1209
3906	0
1760	0
1489	5770
2695	0
115	564
2	0
0	456
3647	5389
0	648
3817	0
9816	0
3604	0
0	0
2313	0
244	955
79	12
33741	0
10899	0
1	10061
0	716
871	0
36	840
7559	0
0	3055
2256	0
1533	0
3	477
3414	0
0	0
3118	0
626	0
4790	0
0	1470
6017	0
134	0
661	0
1101	0
0	465
295	0
49	132
0	669
0	1522
1427	0
5409	0
10921	0
5112	19025
4923	0
460	0
0	0
312	594
0	501
0	0
38	65
0	4444
63	1640
1534	1845
0	0
0	470
0	766
0	1746
53094	0
978	4955
745	2688
25	5299
1276	0
6225	2474
2737	211
343	0
23296	0
19489	2
53	1013
0	3180
6301	0
2109	0
0	0
0	0
0	0
2084	13
7726	0
0	0
1	0
39737	0
0	0
0	0
2095	0
1911	0
1482	0
7093	1
8988	0
4558	0
1971	0
2606	0
29776	0
155	1140
549	2
134	902
586	676
0	434
824	0
0	41
2	31
60	169
