UniqueCount	AmbigCount
1672	0
9129	15729
35181	12992
174	772
3009	0
857	0
1077	0
7149	357
0	0
153	1632
2	709
1123	4
1808	0
2149	0
487	2057
38	1193
363	0
12255	0
825	0
908	0
61	312
0	486
4746	0
1	1234
2158	0
0	334
1007	0
76	534
1310	0
4	0
0	0
0	0
375	0
4	0
31	386
3611	0
0	16
192	0
42742	0
7155	0
0	243
5009	0
39	116
59556	0
12580	0
2544	0
13033	0
16	4864
1333	0
2731	1
0	983
1025	1822
558	1500
574	1822
3	26243
2139	4
275	4
94229	0
13729	0
1174	0
123	0
956	0
1	1995
3	2470
0	0
11127	0
2	201
260	1049
9539	0
990	0
0	14
0	0
63	449
7	12334
18180	0
62	55
20449	0
703	0
101	211
61125	0
4615	0
47	22
11026	31
99	0
1204	2059
0	1729
3350	0
0	869
3458	4649
4	50
2544	0
17	2215
2086	0
31964	25
7464	314
635	0
375	0
1292	0
210961	38
45	3852
0	0
1	1332
0	0
2284	0
0	0
681	1404
0	0
0	0
0	0
35408	0
1759	0
46	225
0	74
0	100826
101	0
0	0
2438	9901
3008	0
4705	0
3153	0
143	1184
671	0
286469	14
65174	349
9717	0
1247	260
3215	0
13139	0
2680	0
2149	0
105	4711
3801	0
60	0
1326	0
2204	0
176	4675
1253	0
23	990
2514	1293
5514	0
573	0
622	0
0	323
0	524
850	0
0	2944
302	0
0	954
552	16296
10593	0
584	0
8439	0
34	0
1064	18
1724	0
493	0
266	0
0	0
0	0
78	125
1857	0
2966	0
0	233
126	707
1268	0
1039	0
5747	0
8171	0
0	504
1071	0
572	0
58692	0
6496	0
9126	0
0	0
81384	0
2167	0
4383	0
20250	0
7	9
406	0
3144	0
736	0
20260	0
73122	0
62	468
35957	0
175	2863
1489	0
34139	0
2129	0
1849	0
1852	0
4028	0
6571	0
2065	0
7280	0
48	288
0	46
1173	0
6097	0
0	1162
4373	0
1370	0
1708	7432
2974	0
133	659
5	0
0	453
3358	5578
0	638
4227	0
7917	0
3705	0
0	1
2495	0
251	882
74	5
39638	0
11598	0
1	10070
0	750
760	0
35	686
7711	0
0	2941
2295	0
1518	0
3	458
3508	0
0	0
3090	0
701	1
5322	0
0	1297
5373	0
125	0
547	0
985	0
0	501
233	0
67	122
0	609
0	1728
2359	0
4748	0
10233	0
5024	21772
5147	0
549	0
0	0
332	668
0	450
0	0
41	99
0	5488
88	1726
1573	1960
0	0
0	453
0	721
0	1494
40642	0
811	4897
774	2963
16	5551
1178	0
6775	2993
3658	295
346	0
21129	0
23264	0
54	848
0	2936
6167	0
2307	0
1	0
0	0
0	0
1978	4
6060	0
0	0
3	0
46987	0
0	0
2	0
1975	0
2158	0
1613	0
6822	1
9365	0
4493	0
2138	0
2182	0
30944	0
138	1010
693	1
136	835
591	635
0	407
966	0
0	56
5	41
70	200
23556	0
662	0
9518	0
268	0
4384	0
0	0
116	15
1239	0
0	0
1	0
4786	0
1339	0
2101	0
3804	0
0	0
1013	0
0	0
21974	0
0	4
1	3664
1599	0
0	0
0	0
0	0
0	0
272551	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
56	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
11	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
40	0
3	0
0	0
6	0
0	0
5	0
4	0
0	0
0	0
0	0
4	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
13	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
37	0
0	0
0	0
0	0
155	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
7	0
59	3292
1148	0
0	0
4103	0
3460	6
267	0
0	0
0	322
816	750
0	8889
0	0
7556	1
0	0
6	2037
153	2151
3	2175
3526	0
116	2554
1	167
0	68
9918	0
10	989
373	0
0	0
0	0
719	3045
8	3102
0	0
0	0
0	0
0	0
0	2
2	0
0	0
0	0
6887	1
54	515
4961	7
0	0
13	515
2895	0
3	241
59	0
685	0
122	728
0	0
0	1
0	1
2080	0
0	1
8	3333
0	0
0	0
415	0
550	0
92	1003
0	5
814	0
0	0
48	0
0	0
0	0
0	0
0	0
0	0
4	0
8557	18
6384	0
2816	8
0	0
0	0
3470	0
8	12
