UniqueCount	AmbigCount
2386	0
11890	16773
49559	13813
171	826
3703	0
1186	0
1413	0
7929	327
0	1
172	1784
3	597
1457	5
2457	0
2590	0
578	1764
59	1390
436	0
14428	0
919	0
1672	0
75	380
2	615
4291	0
14	1644
3159	0
0	302
1193	0
102	564
1687	0
6	3
0	0
0	0
565	0
7	0
37	474
4188	0
0	15
326	0
63645	0
9040	0
0	368
6592	0
71	145
70088	0
16732	0
2759	0
12124	0
36	12208
3052	0
3576	3
0	1371
1207	1889
666	1572
615	1889
5	24909
2771	7
520	7
98815	0
16484	0
1493	0
203	0
1255	0
1	2622
22	3004
1	0
9055	0
5	216
303	1119
10417	0
1301	0
0	17
0	0
100	617
4	15223
17968	1
71	68
23226	0
705	0
144	272
75295	0
4947	0
113	38
12870	21
93	0
1697	2997
0	2376
3819	0
0	1086
4127	5968
0	42
3449	0
36	2934
3178	0
39053	43
8244	378
851	0
430	0
1693	0
271572	49
41	4578
0	0
2	1977
0	0
2948	0
0	0
879	2094
0	0
0	0
0	0
54772	0
3229	0
40	236
0	104
0	107802
143	0
0	0
2408	9682
3479	0
4980	0
4113	0
219	1528
978	0
261339	6
92761	457
11268	0
1815	301
3381	0
16965	0
2905	0
3001	0
131	4716
4771	0
1669	0
1577	0
2871	0
284	5815
1616	0
76	1532
3426	2149
7651	0
635	0
1269	0
0	327
0	576
951	0
1	4077
406	0
0	1086
687	18622
14664	1
616	0
12550	0
89	0
1267	15
2064	0
654	0
273	0
0	0
0	0
66	62
2089	0
3156	0
0	405
92	686
1345	0
1292	0
8021	0
11523	0
1	572
1517	0
701	0
60340	0
6567	0
11660	0
0	0
126978	1
2545	0
3469	0
27865	0
11	19
209	0
3747	0
1039	0
24588	0
83871	0
67	636
37616	0
164	2906
2282	0
47599	0
2477	0
1966	0
3281	0
5435	0
9015	0
2695	0
8417	0
48	281
0	38
1491	0
8127	0
0	1390
5661	0
2152	0
1662	7489
4492	0
159	750
9	0
0	489
5572	6009
0	860
4580	0
11787	0
3928	0
0	1
2975	0
280	1002
100	22
45341	0
14099	0
1	13081
0	812
941	0
34	901
11352	0
0	3326
3050	0
1787	0
9	600
4020	0
0	0
3829	0
772	0
6292	0
0	1553
5642	0
151	0
750	0
1292	0
0	598
339	0
107	139
0	668
0	2229
2006	0
7772	0
15259	0
9614	25388
6006	0
690	0
0	0
300	694
0	551
0	0
39	92
1	7243
114	1994
1890	2328
0	0
0	599
0	951
0	2045
71399	0
1480	6630
891	3343
32	7439
1397	0
9212	2678
3365	234
484	0
31112	0
25851	3
74	970
0	3997
8976	0
2929	0
2	0
0	0
0	0
2524	4
9192	0
0	0
8	0
51108	0
0	0
8	0
2498	0
2567	0
2383	0
9334	2
12257	0
5753	0
2976	0
3410	0
45254	0
158	1465
727	11
184	1196
693	765
0	514
1424	0
0	65
9	48
90	210
28019	0
1087	0
13186	0
425	0
5823	0
0	0
148	26
767	0
0	0
11	0
7820	0
2022	0
2014	0
4829	0
0	1
1531	0
0	0
27363	0
0	3
1	4342
2072	0
0	0
2	0
0	0
1	0
462451	0
0	0
0	0
3	0
0	0
4	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
86	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	0
0	0
5	0
0	0
0	0
0	0
0	0
1	0
0	0
13	0
0	0
0	0
0	0
1	0
0	0
3	0
2	0
0	0
0	0
3	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
1	0
0	0
0	0
36	0
4	0
0	0
8	0
0	0
23	0
9	0
1	0
0	0
0	0
5	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
29	0
0	0
1	0
0	0
0	0
1	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
45	0
0	0
0	0
0	0
176	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
11	0
67	4111
1278	0
0	0
6112	0
4848	10
318	0
0	0
0	335
906	1029
2	11428
0	0
6707	0
0	0
13	2312
139	2422
0	2439
4632	0
159	3098
3	211
0	78
14272	0
15	1342
397	0
0	0
0	0
638	3017
14	3095
0	0
0	0
0	0
0	0
0	4
8	0
0	0
0	0
9410	2
70	710
6816	24
0	0
11	642
3166	0
1	347
43	0
607	0
116	798
0	0
0	2
0	2
2835	0
0	8
13	5562
0	0
1	0
347	0
694	0
91	1205
0	12
1083	0
0	0
61	0
0	0
0	0
2	0
0	0
0	0
3	0
9792	43
7718	0
3425	18
0	0
0	0
5141	0
13	6
5	0
160	2113
837	0
0	4880
20	0
7735	0
1693	0
0	0
6648	0
3	1732
0	1748
7072	0
6648	0
0	0
0	0
466	6223
168	6223
0	0
1271	0
1	0
321	0
2	0
36	2523
0	7
416	4411
0	604
228	0
0	1
32	253
34	0
3221	0
0	1
111	2250
0	0
57	676
0	0
0	0
6977	0
482	0
0	0
981	4126
0	1173
0	1107
6489	0
632	1964
6143	0
0	0
1652	0
0	1847
189	2034
511	0
4256	0
1	92
4	0
0	0
0	0
0	0
18	211
35	0
0	0
768	0
7507	0
1509	0
0	0
0	0
6	19
413	0
0	695
2	0
0	0
0	38
5695	0
594	1488
1	0
2	0
932	0
0	0
0	0
4444	0
576	1189
2350	0
430	13546
727	0
37	982
2509	0
2021	0
0	0
0	935
0	862
0	540
0	634
27	438
0	0
0	0
0	0
0	0
0	0
11775	0
0	58
1194	1098
0	891
9	533
0	0
3852	0
1819	7
0	0
4981	0
0	0
134	2275
0	0
1340	0
0	0
0	0
0	0
0	0
0	0
0	0
0	4585
1834	0
34	240
2103	89
0	0
0	0
0	0
0	0
0	0
264	1007
197	1422
0	0
1	176
0	0
301	0
0	0
0	0
2290	0
0	0
0	0
3741	0
755	4151
194	0
6243	0
0	0
0	2
0	0
16	95
377	5036
8	2
1485	0
1482	0
167	975
0	0
0	3272
939	9048
2	23
1372	104
56	326
5168	0
106	1864
0	1
0	0
0	0
1	368
6	0
0	1
2	5
12	970
49	392
0	0
0	0
0	0
414	0
0	0
0	0
0	1124
0	0
5	0
0	4
0	4
0	4
0	0
0	4
0	0
0	4
0	1
395	3626
1440	0
2412	0
121	459
0	0
5703	0
0	1260
0	0
0	0
14841	0
0	0
0	0
0	0
187	9008
767	3106
262	12305
1345	27388
0	2800
0	0
107	0
0	0
0	1200
362	0
0	0
26	952
2512	0
0	0
306	1486
1	0
0	0
1816	0
115	3988
7826	0
67	509
0	0
6	354
3	0
838	0
440	692
10	10
46	1184
6658	14286
383	14286
74	0
2189	0
5233	0
423	3520
0	0
1	0
55	965
387	0
668	0
3932	0
1529	0
3153	0
0	0
0	0
1	72
0	0
2641	0
0	0
278	0
0	0
0	0
0	0
0	0
208	0
0	0
1966	956
4	1663
0	1848
121	864
0	578
0	0
0	0
118	0
1097	0
10117	0
1	0
0	0
3664	0
30	954
0	0
1	48
1	46
35	0
0	0
554	0
4	191
0	0
521	0
955	0
96	1442
42	2924
2	40
1646	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	1
1114	0
910	229
23	1119
0	2598
470	2524
2	216
556	532
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
949	16
0	0
1503	0
0	14
4	18
0	0
129	4
1	10
0	251
194	1993
0	0
1	0
0	0
0	0
0	0
0	0
1470	12479
1521	0
5	0
2504	0
0	902
162	264
9	0
615	8898
115	5180
3	8
0	0
0	2697
0	0
0	0
0	33
116	0
1342	0
6	1245
0	0
0	0
10278	0
1372	0
557	13
60	1270
12	892
5525	0
0	965
2	495
460	78
0	0
5086	2877
0	0
25	503
0	0
0	0
1625	0
37	343
31	940
0	25
0	0
0	0
0	0
0	0
3	160
0	0
113	1995
113	1995
0	0
0	0
0	0
2540	0
0	0
0	0
0	0
0	0
168	898
7178	0
2567	0
881	0
0	3376
3015	0
4268	0
0	0
854	195
0	0
0	0
2	0
19	299
0	0
0	0
0	0
0	0
4425	0
2	0
0	0
0	0
220	978
0	0
0	0
0	0
3313	0
137	0
0	0
380	0
1	0
169	0
3	0
0	0
1944	0
2477	0
840	724
186	724
146	92
1689	0
1	0
0	1
2004	0
103	1125
1	0
0	0
872	0
67	0
0	0
57079	0
0	0
14	0
633	0
0	1708
1624	0
1	0
0	36
0	0
4998	0
2006	0
0	0
1	0
1	0
71	939
0	0
81	521
4383	0
0	0
0	0
0	0
1202	1939
0	0
0	0
30	2923
28	0
2	0
0	0
0	0
0	0
0	0
45	1239
571	0
6	0
3	0
0	0
0	0
0	0
0	1
83	0
0	0
4846	0
9	784
1	1662
109	1049
957	0
0	0
0	0
410	0
165	2719
31	10987
0	0
0	0
1817	0
2585	0
0	1
0	1
28	608
130	43
5092	27
3447	3132
2548	0
4361	0
11024	0
28	2468
11	57045
62	154
0	0
0	0
26	0
76	2628
224	2519
0	0
0	0
3	0
0	0
97	1413
111	5727
228	5734
4	119
41	1192
27	1128
772	0
0	0
372	2325
361	0
315	175
0	161
418	2431
427	1838
4532	0
22	315
167	0
119	0
10	156
86	574
6501	0
2110	0
368	58
1	0
0	0
0	0
0	351
613	69
0	0
0	0
171	2680
1501	14292
0	0
1	0
0	42
0	0
0	0
2	2
1191	0
3328	2
0	0
46	500
4	0
387	4368
227	1837
3	3944
72	0
0	0
50	738
12656	19
2913	0
0	0
43	399
0	0
8	95
4070	0
0	0
0	0
0	0
700	2707
4	0
4322	0
7177	0
37	8573
0	493
7122	0
10	0
0	931
3109	2707
12	0
41	51
261	3150
60	7118
638	7118
785	0
1	0
2172	0
2244	0
796	7469
384	0
0	0
3828	0
0	0
0	0
0	0
58	343
0	0
24360	0
130	4519
156	1301
2205	0
0	0
1112	0
0	0
0	0
0	0
0	0
85	1260
30756	0
225	2304
237	0
1	0
1	0
360	0
0	0
222	0
0	0
777	0
7	0
0	0
0	0
0	0
34	0
0	9
0	4
0	0
4	0
0	70
0	0
0	156
0	162
0	147
892	0
3233	0
0	0
0	0
0	0
1228	0
1	0
1	972
331	0
199	4204
192	864
2067	0
580	0
3076	0
361	3534
119	3534
0	0
0	0
0	0
0	0
2	0
0	0
7	5
351	0
0	0
1751	0
0	0
101	1151
2	1434
0	953
766	0
148	1622
24	2538
590	0
1530	2314
4140	1
0	0
0	1978
0	1
102	1416
0	0
1792	0
73	2077
37	706
0	0
0	0
0	0
1173	0
0	0
2315	0
