UniqueCount	AmbigCount
2090	0
9026	14556
38292	11828
162	686
3343	0
1038	0
1180	0
7095	327
0	0
140	1587
0	553
1063	2
1785	0
2239	0
419	1271
35	1120
392	0
13374	0
706	1
934	0
51	276
0	568
3888	0
2	1353
2053	0
0	215
945	0
81	506
1028	0
3	1
0	0
0	0
334	0
3	0
30	332
3620	0
0	9
192	0
43792	0
7030	0
0	241
5426	0
45	101
57273	0
10794	0
2345	0
8910	0
30	8085
2396	0
2456	5
0	906
866	1353
478	1310
368	1353
4	16973
2107	5
310	5
69883	0
12048	0
1048	0
103	0
814	0
1	1816
6	2214
1	0
8047	0
4	192
187	848
7211	0
858	0
0	15
0	0
81	420
8	14434
14999	0
49	38
16085	0
582	0
76	161
54853	0
3451	0
129	28
8333	21
61	0
1092	1945
0	1745
3281	0
0	978
2754	4070
0	36
2972	0
24	2170
1963	0
26784	22
6788	216
790	0
363	0
1455	0
179139	27
20	3116
0	0
2	1438
0	0
2359	0
0	0
512	1363
0	0
0	0
0	0
31293	0
2211	0
22	190
0	70
0	84461
104	0
0	0
1805	7936
2506	0
3184	0
2813	0
152	1176
580	0
206163	7
57078	345
6938	0
1380	252
2604	0
12386	0
2613	0
2367	0
146	4585
3646	0
224	0
1096	0
2099	0
204	4994
1382	0
41	1249
1931	1348
6708	0
469	0
742	0
0	267
0	433
688	0
0	2942
264	0
0	779
489	12930
10731	0
531	0
8662	0
44	0
1025	16
1540	0
392	0
192	0
0	0
0	0
56	76
1544	0
2222	0
0	278
80	582
1185	0
1312	0
5994	0
8226	0
0	559
1018	0
554	0
38908	0
5113	0
8403	0
0	0
84213	0
1717	0
2782	0
20839	0
7	13
68	0
3077	0
751	0
20618	0
54974	0
51	442
32811	0
178	2853
1271	0
33926	0
1798	0
1387	0
2084	0
4007	0
6086	0
1880	0
7086	0
50	246
0	71
1046	0
5199	0
0	1118
3713	0
1836	0
1495	6234
2935	0
94	599
0	0
0	428
3765	4788
0	692
3513	0
8360	0
3423	0
0	0
2346	0
242	884
56	12
35485	0
9855	0
2	10650
0	661
840	0
30	698
6992	0
0	2900
2297	0
1585	0
4	379
2908	0
0	0
2842	0
548	0
4268	0
0	1331
4968	0
139	0
535	0
939	0
0	547
260	0
74	121
0	626
0	1559
1250	0
4804	0
10222	0
5764	16804
4096	0
496	0
0	0
270	539
0	395
0	0
30	59
0	4727
49	1506
1437	1901
0	0
0	485
0	692
0	1345
51684	0
1021	4920
814	2794
13	4606
1080	0
5684	1946
2638	167
306	0
21233	0
18330	5
72	798
0	3595
5845	0
2048	0
1	0
0	0
0	0
2154	6
6567	0
0	0
0	0
33198	0
0	0
4	0
1592	0
1667	0
1438	0
6976	1
7658	0
4223	0
1746	0
2017	0
28374	0
166	1229
454	3
130	865
520	631
0	422
900	0
0	38
3	31
65	170
18037	0
677	0
10640	0
288	0
4297	0
0	0
112	13
704	0
0	0
5	0
5557	0
1624	0
1896	0
3311	0
0	0
1232	0
0	0
20119	0
0	6
0	2946
1293	0
1	0
3	0
0	0
2	0
242648	0
0	0
0	0
0	0
0	0
11	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	0
0	0
0	0
89	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
5	0
0	0
0	0
0	0
0	0
1	0
0	0
4	0
0	0
0	0
0	0
1	0
0	0
4	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
24	0
2	0
0	0
10	0
0	0
23	0
7	0
2	0
0	0
0	0
4	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
3	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
16	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
29	0
0	0
0	0
1	0
143	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
7	0
57	2823
923	0
0	0
4244	0
3611	6
258	0
0	0
0	274
670	708
0	7404
0	0
5896	0
0	0
7	1606
72	1689
3	1710
3370	0
102	2416
2	192
0	66
10378	0
4	1115
309	0
0	0
0	0
446	2152
8	2217
0	0
0	0
0	0
0	0
0	0
3	0
0	0
0	0
7937	2
53	553
4662	16
0	0
8	514
2532	0
2	337
46	0
410	0
90	534
0	0
1	1
1	1
2097	0
0	5
8	4196
0	0
2	0
299	0
537	0
119	1120
0	5
618	0
0	0
50	0
0	0
0	0
0	0
1	0
0	0
10	0
7058	17
6130	0
2496	8
0	0
0	0
3381	0
12	6
3	0
135	1714
715	0
0	3684
22	0
5365	0
1104	0
0	0
5771	0
2	1393
0	1421
5535	0
5821	0
0	0
0	0
334	4941
130	4941
0	0
