UniqueCount	AmbigCount
1484	0
5505	12358
29828	10409
138	558
2060	0
676	0
887	0
5607	301
0	2
91	1115
0	544
964	4
1474	0
1307	0
187	747
34	920
248	0
8937	0
530	0
941	0
54	211
2	416
2904	0
0	1049
1801	0
0	172
771	0
36	399
1238	0
6	2
0	0
0	0
364	0
6	0
32	332
2834	0
1	26
208	0
47407	0
5106	0
0	213
4082	0
37	86
37093	0
13614	0
1668	0
5729	0
43	9908
2823	0
2197	6
0	702
466	986
429	1197
352	986
3	12566
1999	4
305	4
61831	0
9968	0
881	0
110	0
948	0
1	1744
4	1848
0	0
4915	0
2	162
218	780
6236	0
863	0
0	22
0	0
62	414
5	10178
10517	0
35	26
11484	0
476	0
49	142
32910	0
3450	0
103	33
11212	51
43	0
1143	2032
0	1615
2283	0
0	667
2266	3298
4	38
2215	0
20	1785
1990	0
21689	22
5791	255
646	0
229	0
1172	0
139089	34
22	2619
0	0
0	1037
0	0
1796	0
0	0
507	1075
0	0
0	0
0	0
50543	0
3297	3
33	131
0	160
3	65483
109	0
0	0
1417	5672
2132	0
2489	0
2469	0
95	789
532	0
145571	10
60755	533
6005	0
1144	230
2094	0
8778	0
2053	0
1774	0
60	3022
3073	0
354	0
1117	0
2400	0
163	3934
993	0
19	1064
2430	1729
3794	0
357	0
627	0
0	264
0	369
509	0
0	2344
259	0
0	781
456	13702
9816	0
514	0
7490	0
60	0
892	29
1400	0
331	0
205	0
0	0
0	0
24	69
1491	0
2177	0
0	238
100	653
872	0
864	0
4320	0
5950	0
1	299
988	0
406	0
28100	0
3482	0
5015	0
0	0
57085	1
1850	0
2669	0
16736	0
19	14
114	0
2111	0
554	0
12684	0
54445	0
32	283
20625	0
118	1835
1791	0
23011	0
1786	0
1398	0
1400	0
3058	0
3767	0
1447	0
4690	0
23	215
0	38
988	0
4376	0
0	896
3344	0
1270	0
789	3592
3657	0
87	487
1	0
0	474
2633	3952
0	593
3047	0
7243	0
1992	0
0	2
2123	0
218	812
41	20
19073	0
6637	0
1	6728
0	534
741	0
22	617
6341	0
0	2196
1240	0
1029	0
4	437
