UniqueCount	AmbigCount
1647	0
6945	13998
34805	11723
156	614
2406	0
697	0
955	0
5606	280
1	0
93	1021
0	508
1020	4
1626	0
1359	0
219	776
35	1016
244	0
9218	0
582	0
1057	0
50	285
0	372
2780	0
5	1124
2139	0
0	184
761	0
58	358
1376	0
13	4
0	0
0	0
409	0
8	0
16	369
3222	0
1	36
246	0
51831	0
5613	0
0	206
4192	0
39	114
43267	0
15011	0
1698	0
6194	0
29	9347
2509	0
2351	7
0	778
571	1026
447	1302
326	1026
4	15350
2075	3
354	3
71550	0
11233	0
1026	0
108	0
1007	0
0	1846
9	2113
0	0
4830	0
1	183
237	913
7029	0
848	0
0	27
0	0
58	406
8	11383
12711	0
57	32
12346	0
457	0
48	125
32600	0
3256	0
86	47
11880	36
54	0
1253	2109
0	1728
2180	0
0	738
2737	3745
5	34
2274	0
19	1738
2152	0
25377	18
6215	263
648	0
268	0
1348	0
157746	30
14	3054
0	0
0	1134
0	0
2187	0
0	0
559	1244
0	0
0	0
0	0
55635	0
3231	0
26	177
0	162
1	75605
125	0
3	0
1582	5797
2237	0
2843	0
3134	0
112	891
639	0
178951	8
73341	523
6288	0
1131	206
2440	0
9888	0
2337	0
1821	0
76	3238
3135	0
420	0
1247	0
2611	0
163	4449
882	0
36	1199
2748	1937
3758	0
385	0
595	0
0	285
0	394
610	0
0	2330
259	0
0	856
555	14867
10679	3
597	0
8353	0
62	0
934	26
1557	0
337	0
267	0
0	0
0	0
42	59
1738	0
2423	0
0	243
112	668
1049	0
936	0
4420	0
6626	0
1	326
984	0
465	0
34743	0
4552	0
6152	0
0	0
63377	2
1924	0
3007	0
17474	0
27	11
113	0
2481	0
714	0
14539	0
43061	0
33	389
19454	0
126	2002
1966	0
25639	0
1964	0
1443	0
1635	0
2860	0
3439	0
1350	0
5004	0
40	195
0	28
1028	0
4741	0
0	1046
3851	0
1088	0
765	3587
3995	0
112	500
2	0
0	436
2963	4104
0	637
3216	0
8070	0
1835	0
0	2
2300	0
228	910
41	17
18775	0
7509	0
0	6083
0	545
732	0
33	651
7716	0
0	2346
1317	0
1178	0
2	525
3189	0
0	0
2567	0
675	0
5669	0
0	1119
4288	0
151	0
518	0
854	0
0	389
252	0
69	77
0	596
0	1560
1109	0
5532	0
7971	0
5886	22234
5266	0
414	0
0	0
157	311
0	431
1	0
43	57
0	5066
66	1304
1259	1667
0	0
1	583
0	827
0	764
36804	0
726	4321
470	1783
32	6200
903	0
5885	2233
2651	231
323	0
17713	0
13314	4
52	724
0	1827
5006	0
2201	0
2	0
0	0
0	0
1518	6
6445	0
0	0
0	0
42782	0
0	0
5	0
2509	0
1722	0
1248	0
7076	1
9837	0
4601	0
1696	0
4827	0
24045	0
79	671
549	6
165	804
493	547
0	294
1043	0
0	41
3	32
72	189
23314	0
685	0
8867	0
234	0
4117	0
0	0
63	5
615	0
0	0
4	0
4586	0
1413	0
1921	0
3537	0
0	1
1197	0
0	0
22378	0
0	4
0	2887
3509	0
0	0
1	0
1	0
2	0
96071	0
0	0
0	0
3	0
1	0
13	0
1	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
75	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
9	0
0	0
0	0
0	0
0	0
2	0
0	0
6	0
0	0
0	0
0	0
2	0
0	0
2	0
1	0
0	0
0	0
3	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
26	0
9	0
0	0
8	0
1	0
27	0
13	0
2	0
0	0
0	0
16	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
1	0
0	0
1	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
20	0
0	0
0	0
0	0
0	0
3	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
22	0
0	0
0	0
3	0
104	0
1	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
9	0
55	2109
739	0
0	0
3392	0
3122	12
236	0
0	0
0	240
661	632
0	7264
0	0
3161	1
0	0
14	1662
128	1744
3	1761
3425	0
102	1915
5	164
0	59
8769	0
9	748
337	0
0	0
0	0
534	2447
8	2482
0	0
1	0
0	0
0	0
0	1
5	0
0	2
0	0
4653	2
34	422
4109	7
0	0
7	413
2313	0
4	299
49	0
514	0
76	505
0	0
0	0
0	0
2303	0
0	1
5	3891
1	0
3	0
231	0
446	0
104	869
0	8
743	0
0	0
55	0
0	0
0	0
0	0
0	0
0	0
5	0
6139	41
5980	0
2815	8
0	0
0	0
3522	0
4	6
6	0
129	1669
607	0
0	3345
10	0
6446	0
1003	0
0	0
3409	0
1	1267
0	1295
5208	0
4947	0
0	0
0	1
302	4636
119	4636
0	0
919	0
0	0
227	0
1	0
34	1782
0	2
231	2917
0	497
146	0
0	0
27	213
15	0
1986	0
0	0
58	1145
0	0
36	397
0	0
0	0
4345	0
424	0
0	0
648	2652
0	777
0	744
3791	0
425	1119
4433	0
0	0
1229	0
0	1087
124	1428
326	0
2892	0
1	55
3	0
0	0
0	0
0	0
9	174
30	0
0	0
420	0
5825	0
1097	0
0	0
0	0
1	9
380	0
0	540
2	0
0	0
0	53
3488	0
347	1062
0	0
0	0
520	0
0	0
0	0
1976	0
341	691
2490	0
201	7482
486	0
30	756
2026	0
1390	0
1	0
0	698
0	632
0	424
0	476
13	318
0	0
0	0
0	0
1	0
0	0
6845	0
0	33
722	683
0	539
7	392
0	0
1900	0
1219	2
0	0
3590	0
0	0
97	1724
0	0
768	0
0	1
0	1
0	0
0	0
0	0
0	0
0	2924
1346	0
25	149
2594	98
0	0
0	0
0	0
0	0
0	0
156	761
131	1098
0	0
1	112
0	0
156	0
0	0
0	0
1390	0
0	0
0	0
2217	0
508	3105
183	0
5133	0
0	0
5	10
0	0
11	80
237	3647
0	1
1119	0
875	4
105	1081
0	0
0	2411
541	4903
2	23
1816	162
40	237
4327	0
80	1258
0	0
0	0
0	0
0	290
10	0
0	0
1	4
9	822
33	300
0	0
0	0
0	0
226	0
0	0
0	0
0	709
0	0
1	0
0	4
0	4
0	4
0	0
0	4
0	0
0	4
0	4
291	2509
943	0
1695	0
60	209
0	0
3398	0
0	589
0	0
0	0
7705	0
0	0
0	0
0	0
115	5788
408	2058
184	7891
902	19519
0	1659
0	0
36	0
0	0
0	870
197	0
0	0
21	490
1423	0
1	0
226	964
0	0
0	0
1406	0
71	2846
5493	0
49	411
0	0
3	261
0	0
565	0
367	703
7	13
35	840
8122	18356
339	18356
83	0
1436	0
3060	0
259	2364
0	0
0	0
29	482
205	0
421	0
2438	0
1214	0
2112	0
0	0
1	0
0	48
0	0
1345	0
1	0
177	1
0	0
0	0
0	0
0	0
132	0
0	0
1570	740
2	1094
1	1066
103	644
0	427
0	0
0	0
87	0
590	0
5814	0
0	0
0	0
2431	0
26	650
0	0
0	30
1	30
12	0
0	0
371	0
1	113
0	0
302	0
631	0
74	1136
35	2109
0	27
947	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	6
855	0
638	173
13	852
0	2080
321	2028
2	134
534	517
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
663	11
0	0
1086	0
0	13
2	19
0	0
55	8
2	8
0	149
126	1263
0	0
2	0
0	0
0	0
0	0
0	0
856	7727
755	0
6	0
1179	0
0	523
185	214
3	0
356	5231
76	2977
1	4
0	0
0	2405
0	0
0	0
0	21
72	0
857	0
0	766
0	0
0	1
7267	0
679	0
394	23
37	1027
5	577
3825	0
0	743
3	417
388	81
0	0
4021	3163
0	0
8	309
0	0
0	0
1073	0
37	233
7	731
0	7
0	0
0	0
0	0
0	0
0	100
0	0
64	1039
57	1039
0	0
0	0
2	0
2246	0
0	0
0	0
0	0
0	0
82	594
3668	0
1752	0
741	0
0	2010
2669	0
2561	0
0	0
376	66
0	0
0	0
0	0
20	238
0	0
0	0
