UniqueCount	AmbigCount
1819	0
7561	15247
36057	12557
137	692
3134	0
904	0
1058	0
7047	391
2	1
161	1466
2	513
1232	3
1780	0
1984	0
341	1502
31	1154
382	0
12493	0
665	4
1095	0
56	323
1	519
3899	0
5	1308
2217	0
0	222
882	0
65	497
1235	0
13	2
0	0
0	0
328	0
4	0
30	388
3489	0
0	33
288	0
39547	0
7229	0
0	184
4923	0
29	104
55413	0
11905	0
2038	0
9951	0
30	7894
2229	0
2437	5
0	845
781	1358
543	1557
523	1358
7	19839
2236	3
374	3
78053	0
13393	0
1265	0
133	0
1065	0
0	2215
16	2319
0	0
8921	0
3	180
279	803
8094	0
1100	0
0	32
0	0
82	513
10	14141
14779	0
53	35
15252	0
600	0
68	158
48155	0
3373	0
102	30
10340	53
70	0
1279	2046
0	1973
3900	0
0	880
3134	4435
3	46
3098	0
26	2071
2005	0
31957	34
7196	374
777	0
327	0
1406	0
175303	47
31	3323
0	0
0	1384
0	0
2346	0
0	0
626	1474
0	0
0	0
0	0
34498	0
2205	0
36	176
0	76
2	83016
105	0
1	0
2009	7213
2491	0
3314	0
2917	0
176	997
555	0
208622	18
50867	409
7301	0
1202	255
2686	0
13364	0
2604	0
2250	0
82	3655
3895	0
227	0
1094	0
2114	0
251	5404
1407	0
26	1239
1741	1133
5893	0
554	0
734	0
0	281
0	403
652	0
0	2934
282	0
0	862
478	13864
10137	1
611	0
9457	0
62	0
932	29
1598	0
483	0
168	0
0	0
0	0
40	85
1400	0
2954	0
0	247
98	714
1233	0
1174	0
6272	0
9088	0
0	465
1219	0
537	0
44699	0
5592	0
7737	0
1	0
85365	3
1880	0
3135	0
20648	0
16	16
133	0
2912	0
835	0
22072	0
60565	0
49	444
32830	0
141	2707
1441	0
26100	0
2119	0
1753	0
1718	0
4151	0
5839	0
2037	0
5063	0
42	248
0	49
904	0
5881	0
0	1041
3468	0
1596	0
1309	5455
2719	0
113	545
1	0
0	411
2815	4045
0	625
3836	0
8187	0
3453	0
0	2
2312	0
269	961
53	10
30593	0
8550	0
0	9722
0	652
720	0
24	599
6352	0
0	2538
2376	0
1619	0
4	414
3540	0
0	0
3157	0
647	0
4087	0
0	1246
5356	0
140	0
579	0
982	0
0	495
275	0
56	113
0	601
0	1537
1447	0
6356	0
9907	0
4173	18476
4458	0
438	0
1	0
211	477
0	391
0	0
25	84
1	4662
87	1421
1283	1722
0	0
0	451
0	697
1	1486
48246	0
791	4519
773	2904
30	4786
1272	0
4871	2162
2889	260
425	0
23198	0
18077	7
69	822
0	3009
6140	0
1967	0
3	0
0	0
0	0
2084	6
4894	0
0	0
8	0
34377	0
0	0
1	0
1823	0
1647	0
1344	0
6126	1
7951	0
5000	0
1636	0
2023	0
28963	0
134	1164
514	5
146	753
527	585
0	360
816	0
0	33
4	23
77	206
19159	0
711	0
9797	0
291	0
4028	0
1	0
78	16
1067	0
0	0
4	0
6625	0
1748	0
1769	0
3894	0
0	0
1242	0
0	0
20202	0
0	4
0	3128
1367	0
0	0
1	0
0	0
2	0
61153	0
0	0
0	0
1	0
0	0
8	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
70	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
5	0
0	0
0	0
0	0
0	0
0	0
0	0
7	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
2	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
36	0
8	0
0	0
5	0
0	0
9	0
7	0
0	0
0	0
0	0
6	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
21	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
33	0
0	0
0	0
1	0
101	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
8	0
52	2942
1021	0
0	0
4269	0
3547	13
258	0
0	0
0	233
776	755
1	7377
0	0
5891	0
0	0
8	1939
140	2057
3	2076
3656	0
123	2301
1	154
0	77
10042	1
14	1263
339	0
0	0
0	0
663	2486
11	2544
0	0
0	0
0	0
0	0
0	2
4	0
0	0
0	0
6692	0
50	579
4917	18
0	0
9	482
2348	0
4	227
29	0
526	0
78	568
0	0
0	3
0	3
2292	0
0	3
10	5202
0	0
0	0
295	0
490	0
103	1043
0	13
699	0
0	0
44	0
0	0
0	0
2	0
0	0
0	0
12	0
7823	26
6691	0
2671	17
0	0
0	0
3472	0
8	6
4	0
173	1584
784	0
0	3897
11	0
6701	0
1221	0
0	0
5183	0
0	1467
0	1498
5416	0
6510	0
0	0
0	0
342	5002
127	5002
0	0
823	0
0	0
272	0
2	0
51	1859
0	2
276	3464
0	493
214	0
0	0
22	206
13	0
2141	0
0	0
96	1691
0	0
47	503
