UniqueCount	AmbigCount
2136	0
9082	17224
42243	14210
160	702
3021	0
921	0
1198	0
7189	354
1	0
133	1488
0	550
1087	0
1942	0
2073	0
326	1341
44	1262
382	0
12571	0
703	0
1110	0
48	307
0	553
4029	0
5	1351
2215	0
0	223
938	0
72	471
1118	0
4	0
0	0
0	0
282	0
2	0
31	383
3627	0
0	16
231	0
44753	0
7015	0
0	189
5444	0
49	104
56581	0
12053	0
2326	0
10235	0
20	8281
2346	0
2787	6
0	823
798	1436
541	1554
459	1436
1	19077
2212	8
363	8
75450	0
12989	0
1109	0
115	0
1005	0
3	2035
10	2195
0	0
7720	0
3	196
274	783
7347	0
1071	0
0	19
0	0
88	485
8	15427
16091	0
57	35
16675	0
593	0
67	144
47813	0
3191	0
120	18
9238	34
74	0
1196	1993
0	2027
3247	0
0	1019
3121	4167
1	45
3171	0
32	2079
1953	0
33440	17
8150	376
769	0
343	0
1369	0
184616	29
20	3237
1	0
0	1449
0	0
2637	0
0	0
618	1398
0	0
0	0
0	0
31499	0
2483	0
30	181
0	57
2	92579
139	0
0	0
2097	7975
2651	0
3277	0
2991	0
189	1194
581	0
231085	11
54657	420
7259	0
1359	310
2744	0
13510	0
2641	0
2425	0
77	3570
3782	0
258	0
1129	0
2256	0
211	5121
1387	0
31	1360
2022	1262
6764	0
510	0
703	0
0	273
0	455
619	0
0	2949
250	0
0	776
504	14206
10520	0
607	0
9652	0
49	0
992	38
1618	0
419	0
190	0
0	0
0	0
62	77
1527	0
2651	0
0	252
108	642
1248	0
1289	0
6812	0
8821	0
1	529
1083	0
543	0
44041	0
5430	0
7981	0
1	0
90450	0
1953	0
2814	0
22614	0
10	3
148	0
3136	0
839	0
20916	0
58450	0
55	406
30620	0
151	2642
1527	0
30050	0
2045	0
1527	0
2035	0
4414	0
6069	0
2049	0
6227	0
39	273
0	49
958	0
5538	0
0	1116
3356	0
1678	0
1333	5723
2811	0
132	513
4	0
0	449
3224	4499
0	621
3681	0
9116	0
3337	0
1	1
2348	0
278	1028
46	12
30252	0
9477	0
2	9739
0	668
861	0
29	679
7082	0
0	2543
2190	0
1623	0
1	462
3564	0
0	0
2895	0
625	0
4478	0
0	1506
5660	0
127	0
619	0
935	0
0	500
253	0
65	124
0	589
0	1532
1373	0
5374	0
9964	0
4680	18556
4669	0
446	0
0	0
279	512
0	486
0	0
20	68
0	4495
71	1515
1408	1833
0	0
0	501
0	724
1	1429
51979	0
910	4717
699	2893
15	5087
1071	0
5602	2240
2944	231
344	0
22862	0
18649	2
71	1027
0	3013
6303	0
2052	0
0	0
0	0
0	0
2151	2
6280	0
0	0
4	0
37446	0
0	0
1	0
1469	0
1825	0
1449	0
6427	0
7826	0
5129	0
1571	0
2339	0
29158	0
148	1147
503	4
146	833
518	593
0	394
764	0
0	38
4	29
85	182
20186	0
680	0
9800	0
297	0
4179	0
3	0
74	16
896	0
0	0
4	0
6095	0
1583	0
1905	0
3800	0
0	0
1376	0
0	0
21368	0
0	5
0	3054
1389	0
0	0
3	0
0	0
1	0
79301	0
0	0
0	0
0	0
0	0
4	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
71	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
7	0
0	0
0	0
0	0
0	0
0	0
0	0
8	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
22	0
5	0
0	0
8	0
0	0
6	0
10	0
2	0
0	0
0	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
21	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
36	0
0	0
0	0
1	0
144	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
12	0
84	2901
901	0
0	0
4247	0
3388	3
281	0
0	0
0	243
670	740
1	8097
0	0
5165	0
0	0
10	1892
127	2018
4	2043
3591	0
122	2425
2	159
0	70
10374	0
12	1095
362	0
0	0
0	0
606	2523
17	2593
0	0
0	0
1	0
0	0
0	3
2	0
0	0
0	0
7133	2
77	517
4899	16
0	0
12	492
2393	0
0	255
35	0
507	0
103	563
0	0
0	5
0	5
2178	0
0	2
6	4664
0	0
1	0
312	0
501	0
101	1017
0	5
