UniqueCount	AmbigCount
0	8
2	5
120	2416
80	242
30	3004
226	3302
0	125
17	1924
22	486
0	18
147	0
0	3
0	5107
126	444
3	2830
7	0
0	0
22	592
0	0
12	156
2	15461
0	0
0	2
0	141
0	2835
0	0
0	0
21	107
2	0
0	641
0	1
0	0
0	653
0	86
20	383
0	0
4	2470
0	2025
72	1155
0	778
0	0
5	165
25	469
0	2676
1072	3
4	382
0	27
4	109
0	110
29	0
0	0
0	1
143	292
0	1
0	4
0	30
0	2748
0	4
1	0
0	0
6039	1
9	155
171	2199
0	2
0	0
1	7
0	942
8	668
0	7
11	1274
0	27
35	667
0	17
0	1520
0	0
58	0
2	154
3	222
32	680
0	136
46	0
0	1
6	2603
210	1531
1264	1366
1245	0
857	66
0	0
0	0
507	0
0	11
274	892
263	4716
0	928
0	256
2	0
83	1922
369	1089
0	219
0	711
942	2299
0	8
0	0
0	988
33	352
0	2369
95	952
0	808
0	4
1	7195
1766	0
0	0
0	0
0	8
0	2
95	20
0	0
12	1
4	2148
0	864
22	1010
939	0
0	8
10	1371
0	1438
0	1423
174	1294
89	348
0	0
0	12173
146	1318
33	403
0	6
0	4
0	10
29	3140
5	306
1376	0
86	206
718	624
5	1009
1259	0
0	1009
0	11
5	995
0	0
10	319
0	91
2739	0
0	0
0	954
627	666
684	2020
1309	0
0	0
0	7
0	0
0	0
0	9765
0	2436
8	1141
236	2109
1	9775
5	6
0	1268
6052	0
43	2526
0	1
0	0
0	8
0	4
17	4529
13	2830
2	1541
457	749
0	0
16	11
4922	0
0	806
120	0
0	12
0	0
0	655
0	0
4	2
0	3912
1	110
0	7
2	0
0	0
0	1828
133	16
0	2123
0	10
55	0
0	137
1415	0
0	136
1180	277
22	0
18	123
0	3
0	3
1	479
0	530
0	0
306	2364
0	0
0	964
0	120
48	0
0	3
9	64
1651	1
0	0
0	4496
145	2965
0	0
341	0
0	258
0	3
10	234
0	0
0	10
0	2001
0	3458
0	0
0	2
0	400
0	2250
0	0
5	5729
0	422
3	52
0	7119
331	2122
0	0
0	0
9	0
0	2004
0	34
0	0
147	1193
58	850
0	861
0	0
0	2
5	4256
2	1513
679	7874
4234	0
27	1756
0	417
0	11
9	3571
0	86
0	2949
0	0
0	224
41	784
283	1394
0	566
0	3
0	3880
81	933
597	0
0	645
8	633
0	3698
7	0
10491	0
102	1160
12	2016
251	759
0	0
0	1814
4	989
0	0
0	1
0	0
0	0
242	3275
201	850
0	880
52	1032
0	0
0	0
0	829
0	294
165	4851
52	2166
0	3
72	1658
493	2096
1	0
0	45
1203	0
3	999
0	1886
140	1172
139	1433
0	1
3	0
64	326
1	1
28	0
0	492
0	2
6	0
0	0
1	474
4	942
120	0
0	313
0	1
0	0
0	2
0	1
0	1
0	7
6	10
0	12
11	3703
14	633
885	0
0	1
7	3
20	0
0	620
0	80
5	1
0	0
26	87
0	8956
35	0
46	0
0	0
236	0
2165	0
28	0
0	0
0	18783
5	494
1	1590
0	1279
0	2
6	3
0	0
0	0
0	2542
145	2234
0	1673
4	319
0	37
0	156
0	13
0	718
2	6102
0	5055
0	0
0	0
5827	0
614	0
0	0
498	4684
0	1074
2161	0
1	20
5	301
0	0
0	12
62	0
30	0
562	6491
0	17
0	2147
13	3250
0	1367
17	1082
141	1929
392	1097
0	0
0	192
46	2685
0	0
0	27
3	1963
0	0
0	22
247	5810
0	6
159	1355
0	12
1	404
6	194
0	15
720	454
40	0
0	0
0	0
0	88
0	20
0	0
35	367
45	0
282	4453
10	607
0	0
0	1
2710	0
73	1955
106	1065
10	447
0	125
0	6
3	33
1	28
3	7
0	158
0	46
11	2370
1	2
0	1070
0	22
14	2612
0	0
19	8
0	0
0	19
7074	0
297	1925
13	383
0	16
0	1
0	2
0	22
1	376
0	2861
0	1
18	989
2	2328
165	236
32	0
104	711
21	0
20	135
1446	0
1	165
0	119
1	0
0	0
0	13128
1638	1330
0	0
14	664
0	0
0	3663
0	0
0	0
0	0
0	3
9	0
0	4884
0	2
0	0
0	0
1	35
0	3
0	0
1	0
1	392
0	26
0	395
0	1
0	13
0	0
1	8
0	0
0	16
0	314
0	0
0	103
0	0
536	22329
1	2
0	0
0	0
1	2643
657	2361
293	0
362	694
0	0
74	277
0	0
0	1615
197	2441
0	9
13	5
1	7
2	3748
0	54
0	1435
0	1260
0	0
0	0
497	0
1	0
0	33
0	0
0	11
0	405
70	1537
0	0
0	3817
0	0
0	4498
0	0
0	1
556	2753
14	0
249	1490
4	11
0	6
2	2
2	2
0	1
0	1
0	154
0	0
0	6
9	653
0	0
0	0
0	0
0	0
1	6
0	2
324	1897
8	0
0	0
0	0
0	7
0	0
1966	3033
0	2
0	0
31	8
0	21
0	0
3	0
0	0
0	0
0	0
2	3
211	633
2	0
0	3
0	0
973	1458
3	40
1637	0
0	1
0	23
16	6
66	31
0	0
0	3
0	0
2	0
7	43
0	570
197	2171
37	394
28	0
0	25
0	1538
1	7
0	1941
0	3
0	0
0	48
1	3
41	0
10	0
125	0
0	4
0	1420
699	1
7	2403
0	0
1	2
382	54
0	0
0	246
0	4024
498	2414
0	0
0	0
0	0
8	19
111	2830
2	2830
0	2798
4	2761
0	2
0	3
8	54
807	925
