UniqueCount	AmbigCount
0	9
1	1
116	2945
129	372
60	3405
259	4126
0	175
29	2404
19	710
3	47
183	0
3	2
0	6834
65	307
4	1995
2	0
0	0
20	975
0	0
16	142
1	18229
0	0
0	2
0	93
0	3173
0	3
0	0
26	175
0	0
0	646
0	2
0	0
0	587
0	57
32	471
0	0
5	2652
0	1677
59	1178
0	893
0	1
4	103
24	585
0	2615
863	4
0	441
0	20
3	115
0	61
27	0
0	0
0	0
249	516
0	3
0	1
0	24
0	3181
0	0
0	2
0	0
8167	4
4	341
211	2997
0	1
0	1
1	2
0	663
6	590
0	8
9	1649
1	28
43	1008
0	11
0	696
0	0
70	0
2	90
0	255
30	574
0	37
57	0
0	0
6	3385
200	1124
1519	1989
1538	0
1692	134
3	0
0	3
668	0
0	6
187	768
333	5514
0	1235
0	245
1	0
64	1443
395	1231
0	237
0	947
1025	2978
0	7
0	0
0	989
36	361
2	2728
74	904
0	746
0	0
4	6852
2481	0
0	0
0	0
0	11
0	0
98	19
0	0
5	0
1	2399
0	957
23	903
836	0
0	6
13	1935
0	2368
0	3172
190	1316
127	338
0	0
0	17763
154	1361
19	246
0	12
0	8
0	7
31	4065
30	431
1677	0
115	251
941	982
4	1489
1117	0
0	1360
0	10
3	939
0	1
10	374
0	64
2994	0
0	0
0	903
671	613
735	2544
1731	0
0	0
0	8
0	0
0	0
0	9772
0	3514
5	1524
331	2709
0	8998
6	8
0	2441
8054	0
60	3160
0	0
1	0
0	5
0	1
12	3928
10	2263
3	1469
435	773
0	0
37	24
7081	0
0	640
91	0
0	0
0	0
0	1284
0	0
4	0
1	4373
0	119
0	8
7	0
0	0
0	2607
95	9
0	2639
0	15
42	0
0	206
2318	0
0	122
1924	398
32	0
17	125
0	1
0	2
2	548
0	798
0	0
244	2103
0	0
0	826
1	58
32	0
1	0
2	2
2325	0
0	0
0	5245
166	3263
0	0
515	0
0	318
3	2
7	325
0	0
2	10
0	2258
0	3872
0	3
0	7
0	391
0	2697
0	0
7	5983
0	459
0	22
0	7791
279	2168
0	0
0	2
4	0
0	2000
0	21
0	0
201	1219
65	1129
0	1362
0	1
3	2
20	4483
1	1632
608	9463
3780	0
13	2013
0	353
0	18
4	5110
0	125
0	2580
0	0
0	232
22	825
339	1758
0	598
0	12
0	3776
71	962
498	0
0	939
3	638
0	5171
5	0
10368	0
106	1108
4	1951
237	662
0	0
0	1924
17	1025
0	0
0	0
0	0
0	0
305	3975
159	835
0	1463
38	1320
0	0
0	0
0	1465
0	502
210	7456
47	2574
0	2
111	2165
592	2466
0	0
0	93
1295	0
3	1072
0	2511
112	1252
124	1394
0	0
3	0
63	281
0	0
19	0
0	466
0	3
4	0
0	0
5	336
6	957
34	0
0	381
0	3
0	0
0	0
0	1
0	0
1	7
3	15
0	10
24	4000
4	589
1288	0
0	2
3	2
9	0
0	677
0	82
6	1
0	0
48	192
0	8395
23	0
8	0
0	0
527	0
4175	0
21	0
0	0
0	21297
4	481
0	1396
0	1317
0	0
3	4
0	0
0	0
0	2464
165	2537
0	1574
13	288
0	10
1	168
0	10
0	862
2	6116
0	4637
0	1
2	0
6473	0
443	0
0	0
346	2797
0	1300
3945	0
0	17
3	197
0	1
0	4
24	0
20	0
701	8358
3	26
0	3058
8	3941
0	1298
22	1018
189	2755
580	1853
0	0
0	219
51	2775
0	0
0	33
1	1476
0	0
0	36
249	4318
0	5
146	1585
0	7
2	502
12	223
2	11
505	370
31	0
1	0
1	0
0	190
0	13
0	1
35	487
31	0
306	3972
11	702
0	0
0	0
4098	0
101	3095
114	1053
7	578
0	92
0	2
3	40
3	17
9	5
0	154
0	61
21	2524
0	2
0	1416
0	8
17	3271
0	0
17	3
0	0
0	18
9396	0
416	2348
8	390
0	4
2	1
0	2
0	12
1	445
0	2772
0	0
13	990
0	1838
220	327
20	0
