UniqueCount	AmbigCount
0	14
6	9
102	3138
102	274
47	3458
223	4206
0	162
14	2055
17	530
3	23
127	0
0	1
0	6941
134	564
1	3002
11	0
0	0
15	667
0	0
11	168
6	19425
1	0
0	7
0	142
0	2571
0	5
0	0
26	120
0	0
0	915
0	4
0	0
1	661
1	102
25	388
0	0
2	2556
0	2024
66	1077
0	697
0	0
8	279
45	496
0	2866
1143	2
2	490
0	50
2	133
0	157
34	0
0	0
0	0
168	320
0	10
0	5
0	73
0	2515
0	8
2	1
0	0
7244	3
1	234
177	3052
2	2
0	1
2	2
0	996
7	829
0	11
7	1108
4	20
34	746
1	33
0	1647
0	0
49	0
1	109
0	187
41	609
0	146
51	0
0	1
5	2803
250	1791
1517	1668
1836	0
1355	78
3	0
0	1
840	0
0	7
350	1663
281	5183
0	969
0	292
0	0
66	1843
386	1144
0	251
0	882
1044	3053
0	7
0	0
1	1250
29	399
0	2793
79	1152
0	880
0	0
8	10085
1725	0
0	1
0	0
0	17
0	1
85	22
0	0
18	2
3	2273
0	1061
53	1402
979	0
0	3
11	1491
0	1345
0	1256
217	1739
106	341
0	0
0	19910
179	1668
38	379
1	25
0	8
0	9
24	2891
16	291
1671	0
70	221
792	691
2	1174
1379	0
0	1082
0	5
10	1369
0	0
11	360
0	83
2810	0
0	0
0	1123
683	577
773	2139
1439	0
0	0
0	13
0	0
0	0
0	11209
0	2337
4	1315
226	2415
0	10295
7	4
0	1778
6680	0
41	2798
0	0
0	0
0	7
0	5
20	5175
17	2446
1	1801
633	1046
0	0
7	21
6582	0
0	837
150	0
0	7
0	0
0	549
0	0
4	2
0	4280
0	99
5	7
4	0
0	0
0	1624
189	11
0	1969
1	9
49	0
0	127
1119	0
0	130
1143	222
21	0
13	114
0	0
0	6
3	608
0	506
0	0
364	3304
1	0
0	1296
0	156
58	0
2	1
6	37
1807	2
0	1
0	4298
156	3362
0	0
263	0
0	267
4	4
14	303
0	0
1	19
0	2186
0	3739
0	1
0	10
0	449
0	2944
0	0
13	6431
3	494
3	106
2	6771
415	2593
0	0
0	1
9	0
0	2056
0	38
1	0
184	1228
54	1019
0	872
0	1
2	1
7	4073
3	1911
800	11386
4934	0
26	2014
0	637
0	21
6	4259
0	95
0	3303
0	0
0	250
33	999
292	1980
0	721
0	7
0	4833
98	1216
808	0
0	906
14	831
0	3708
20	0
12124	0
87	1129
7	2429
390	915
0	0
0	1870
8	976
0	1
0	5
0	0
1	0
219	3135
223	990
0	805
56	1242
0	0
1	0
0	947
0	343
125	5742
51	2523
0	62950
69	1793
594	2666
2	0
0	42
1790	0
6	1260
0	1983
136	1651
129	1887
0	0
