UniqueCount	AmbigCount
0	11
0	3
43	2165
96	259
69	2771
169	3501
0	126
25	1819
15	523
2	37
86	0
2	0
0	5086
83	399
0	2133
18	0
0	0
13	436
0	0
19	192
4	16801
0	0
0	6
0	75
0	2031
0	9
0	0
31	128
0	0
0	581
0	0
0	0
1	477
0	134
18	292
0	0
2	3265
0	1343
50	781
0	602
0	0
4	164
20	450
0	1798
810	2
0	371
0	24
4	141
0	110
51	0
0	0
0	0
94	235
0	5
0	1
1	25
0	1908
0	4
0	2
0	0
5077	1
4	290
219	3607
0	1
0	0
0	1
0	1038
6	608
0	7
8	794
2	19
31	539
0	38
0	1416
0	0
36	0
2	99
0	115
8	340
0	60
66	0
0	0
5	2073
187	1214
1234	1601
1269	0
1198	138
1	0
0	1
812	0
0	6
250	925
159	3855
0	776
0	276
0	0
49	1105
301	846
0	153
0	743
1061	3203
1	4
0	0
12	929
30	307
1	1843
67	716
0	772
0	1
17	8127
1475	0
0	3
0	0
0	10
0	0
91	12
0	0
7	0
0	1405
0	731
34	1069
747	0
0	3
12	952
0	1100
0	713
185	1338
79	228
0	0
0	23134
121	1380
44	365
1	15
0	5
1	5
26	2603
21	265
1525	0
53	137
486	548
5	693
973	0
0	783
0	3
4	1390
0	1
10	198
0	41
2840	0
0	0
0	729
474	656
569	1642
1292	0
0	0
0	2
0	0
0	0
0	9409
0	2253
4	1428
239	2035
2	8641
11	9
0	1270
5645	0
49	2140
0	0
0	0
0	19
1	3
14	5241
13	2379
0	1528
385	1021
0	0
10	11
5057	0
0	719
115	0
0	0
0	1
0	410
0	0
3	0
1	4106
0	35
0	5
0	0
0	0
0	1518
164	16
0	1791
0	7
55	0
0	191
1119	0
0	171
1013	270
25	0
23	114
0	1
0	1
0	444
0	466
0	0
287	2675
0	0
0	1004
0	209
38	0
1	1
3	17
1858	5
0	0
0	2634
148	2732
0	0
295	0
0	343
2	0
7	236
0	0
0	6
0	1716
0	2893
0	3
0	5
0	465
0	2061
0	0
15	4371
0	374
3	85
0	5214
297	1899
0	0
0	2
7	0
0	1320
0	28
0	0
110	806
29	668
0	875
0	1
0	0
17	3461
0	1632
460	7688
4618	0
14	2137
0	418
0	15
2	2641
0	67
0	3003
0	0
0	204
38	650
234	1510
0	659
0	3
0	4202
56	877
642	0
0	634
7	723
0	3103
2	0
8765	0
85	859
4	1483
241	728
0	0
0	1097
9	543
0	2
0	0
0	1
0	0
206	2798
203	890
0	835
24	818
0	0
0	0
0	539
0	207
83	4578
54	2071
0	0
90	1739
481	2004
1	3
0	46
1326	0
8	1009
0	1710
108	1427
141	1153
0	0
2	0
67	303
0	0
30	0
0	375
0	2
1	0
0	0
1	434
13	728
92	0
0	170
1	3
0	0
0	0
0	2
0	0
1	2
0	12
0	9
17	5360
16	585
926	0
0	2
0	1
12	0
0	245
0	56
13	0
0	0
13	54
0	9845
38	0
21	0
0	0
