UniqueCount	AmbigCount
0	20
5	9
44	2064
74	238
52	2760
124	3202
0	110
13	1528
7	439
3	40
77	0
0	1
0	4924
64	450
2	1807
8	0
0	0
11	454
0	0
18	157
1	12528
0	0
0	4
0	72
0	1789
0	6
0	0
11	76
0	0
0	623
0	4
0	0
0	523
0	65
22	332
0	0
3	2774
0	1065
50	792
0	513
0	0
6	244
29	402
0	1680
591	0
0	296
0	20
1	116
0	108
31	0
0	0
0	0
109	241
0	4
0	2
0	28
0	2259
0	8
1	2
0	0
5095	0
2	129
102	2972
0	2
0	0
0	3
0	672
1	609
0	8
10	865
3	18
21	601
0	21
0	968
0	0
25	0
0	73
0	123
13	348
0	57
36	0
0	1
2	2026
146	1049
1110	1700
1507	0
1440	195
0	0
0	0
829	0
0	3
194	808
150	3926
0	680
0	236
0	0
27	1120
270	1009
0	197
0	640
719	2720
0	4
0	0
0	895
27	315
1	1893
87	692
0	630
0	0
1	7083
1509	0
0	0
0	0
0	2
0	1
71	19
0	0
11	0
1	1217
0	752
22	995
707	0
0	2
3	1111
0	1112
0	756
131	1124
71	229
0	0
0	15265
100	1180
32	454
0	13
0	6
0	4
16	2287
10	273
1338	0
78	154
586	725
4	810
979	0
0	815
0	4
2	1176
0	3
10	252
0	58
2048	0
0	0
0	739
458	438
536	1516
845	0
0	0
0	1
0	0
0	0
0	7736
0	1973
5	1335
172	1557
0	7052
5	8
0	1166
4596	0
32	2192
0	0
0	0
0	24
0	5
4	4199
2	1873
1	1422
339	905
0	0
12	8
4922	0
0	703
105	0
0	15
0	0
0	389
0	0
10	0
0	3219
0	56
5	7
6	0
0	0
0	1201
139	15
0	1722
0	13
51	0
0	106
824	0
0	98
914	165
20	0
21	113
0	0
0	7
2	471
0	380
0	0
249	2474
0	0
0	722
0	224
30	0
0	0
15	101
1267	2
0	0
0	2393
156	2775
0	2
239	0
0	254
3	3
9	281
0	1
0	6
0	1513
0	2761
0	4
0	4
0	357
0	2022
1	0
11	4219
2	388
1	33
1	4532
265	1598
0	0
0	0
4	0
0	1212
0	37
0	0
155	902
41	747
0	627
0	0
0	0
9	2508
1	1313
222	7461
3764	0
16	1342
0	410
0	20
0	2829
0	39
0	2451
0	0
0	182
20	714
203	1805
0	535
0	5
0	3528
51	960
500	0
0	533
2	627
0	2417
4	0
8535	0
48	668
2	1844
256	691
0	6
0	946
12	696
0	1
0	2
0	1
0	0
172	2698
151	683
0	626
42	989
0	0
0	0
0	750
0	247
31	3863
37	2034
0	4
66	1557
354	1837
0	0
0	26
1489	0
5	887
0	1467
76	1314
121	1100
0	0
5	0
48	260
0	1
31	0
0	408
0	0
1	0
0	0
2	432
2	651
80	0
0	204
0	3
0	0
0	0
0	0
0	0
0	4
2	13
0	6
5	3913
3	675
647	0
0	4
2	2
35	0
0	373
0	77
10	1
0	0
7	78
0	6319
46	0
51	0
0	0
300	0
1926	0
21	0
0	0
0	15966
1	559
0	1699
0	1032
0	0
1	1
0	0
0	0
0	2047
80	2311
0	1638
7	353
0	24
0	166
0	5
0	543
0	3472
0	2658
0	1
0	0
4808	0
607	0
0	0
515	4429
0	851
1471	0
0	35
2	215
0	0
0	20
41	0
21	0
506	5621
1	15
0	1798
14	2937
0	1201
15	1081
87	1811
303	1038
0	0
0	201
32	2138
0	0
0	33
2	1593
0	0
0	36
208	4993
0	2
146	1204
0	8
1	307
6	114
1	12
1201	678
139	0
0	0
0	0
0	119
0	19
0	0
28	295
50	0
251	3704
1	477
0	0
0	0
2682	0
33	1271
102	1577
6	397
1	127
0	4
1	28
2	15
3	4
0	217
0	26
6	1749
0	2
0	924
0	46
8	2127
0	0
23	21
0	0
0	20
7606	0
289	1801
7	263
0	23
0	9
0	0
0	15
1	277
0	2255
0	0
8	923
0	1774
157	257
29	0
111	762
8	0
10	126
628	1
0	139
0	54
0	0
0	2
0	11548
1553	1541
0	0
13	537
0	1
0	2064
0	0
0	0
1	0
0	2
8	0
0	2829
0	4
0	0
0	0
2	95
0	4
0	0
2	0
0	392
0	11
0	495
1	1
0	13
0	0
1	2
0	0
0	16
0	240
0	0
1	113
0	2
577	19322
0	7
0	0
0	0
0	2623
652	2395
172	0
297	538
0	0
57	206
2	0
0	1369
160	2294
0	1
43	23
8	2
0	3301
0	25
0	1260
0	986
0	0
0	0
389	0
0	0
0	20
0	0
0	12
0	407
49	1363
0	1
0	3472
0	0
0	3129
0	0
1	2
301	2194
9	0
156	1052
3	9
0	8
0	6
3	7
0	0
0	4
0	118
1	0
0	5
11	748
0	0
0	0
0	0
0	0
0	7
0	2
233	1911
16	0
0	0
0	0
0	14
0	0
2033	4008
0	1
0	0
30	2
0	23
0	0
0	0
0	0
0	0
0	0
0	4
222	706
2	0
0	3
0	0
984	1289
0	28
688	0
0	1
0	12
17	1
65	18
0	0
1	3
1	0
0	0
11	50
0	559
194	2042
30	414
11	0
1	9
0	964
0	8
0	1097
0	7
0	0
0	21
0	3
34	0
11	0
99	0
0	10
0	1025
744	3
18	2010
0	1
0	3
357	40
0	0
0	183
0	3266
298	2271
1	0
0	0
3	0
22	48
79	1806
1	1807
0	1791
1	1767
0	2
0	2
8	40
978	1210
7938	51093
7	111
0	233
0	82
0	700
0	0
0	0
0	0
0	1
4202	0
0	0
0	1
0	66
0	87
80	416
0	0
6	0
31	67
0	1
9	0
23	0
552	0
53	0
5	90
0	0
0	6822
1	1642
18	0
284	1200
0	20
81	1166
60	366
0	35
181	2693
0	0
0	60
0	2
162	1877
0	16099
4	0
3	0
0	0
17	0
1	0
252	1254
11	0
123	1426
1489	0
356	1216
0	0
0	0
0	2
4	89
0	199
0	37
0	3
0	1225
0	260
0	166
2	315
0	391
1	0
1156	0
5	3
3	0
1	0
0	0
0	4
144	116
0	7
0	0
0	0
1	130
18	0
0	1
0	164
3	49
725	626
0	319
414	2
0	11
0	0
1	47
0	2
139	1729
0	966
0	0
4	240
0	0
0	0
0	13
10	1
0	0
0	0
0	0
0	0
1	1
3	2
0	1
2	0
4	4
21	0
0	4
6	58
0	21
0	0
0	1
2	0
0	2
0	4
4	33
6	18
35	0
469	3341
0	0
1344	0
80	145
0	3
139	11530
0	0
0	5
33	0
0	8
0	0
2	0
17	0
1	0
0	9
881	7935
0	59
0	0
0	1
0	0
0	0
0	1
0	0
9	48
0	0
0	0
1	33
0	2
0	12
4	34
0	0
12	171
0	4
0	7555
515	0
4	873
0	0
0	348
2	4
0	3
0	1
0	84
0	11
0	6
16	0
0	3
0	4
