UniqueCount	AmbigCount
0	18
1	3
53	2079
72	273
62	2949
141	3485
0	97
22	1693
11	545
0	27
76	0
5	2
0	4722
57	411
1	2153
13	0
0	0
18	497
0	0
15	193
4	14584
0	0
0	3
0	74
0	1785
0	6
0	0
15	151
0	0
0	482
0	0
0	0
1	494
0	108
17	291
0	0
1	2912
0	1341
50	849
0	666
0	0
2	196
22	414
0	1794
681	1
0	353
0	21
6	117
0	132
53	0
0	0
0	0
73	194
0	1
0	1
1	37
0	2169
0	6
1	2
0	0
5043	0
4	252
129	3173
0	2
0	0
1	0
0	985
5	594
0	7
3	779
3	22
34	513
0	33
0	1285
0	0
45	0
0	77
0	137
18	322
0	73
47	0
0	0
0	2274
183	1247
1168	1668
1201	0
1136	142
1	0
0	1
801	0
0	4
216	858
142	3781
0	751
0	245
0	0
39	1171
252	833
0	144
0	700
882	2779
0	4
0	0
1	788
29	302
3	1735
92	816
0	822
0	0
4	7189
1671	0
0	0
0	0
0	6
0	0
58	12
0	0
3	1
3	1411
0	695
34	959
694	0
0	6
3	895
0	1095
0	620
135	1226
68	218
0	1
0	16893
147	1220
31	353
0	11
0	2
0	6
21	2588
20	256
1452	0
55	176
500	510
3	657
941	0
0	828
0	3
6	1183
0	0
8	238
0	70
3018	0
0	0
0	715
535	573
535	1657
1133	0
0	0
0	4
0	0
0	0
0	8811
0	2185
5	1299
265	2093
0	8235
6	10
0	1440
5472	0
39	1896
0	0
0	0
1	7
0	5
7	5038
8	2114
1	1538
376	929
0	1
5	4
4495	0
0	646
122	0
0	9
0	0
0	357
0	0
12	0
0	3538
0	53
1	6
7	0
0	0
0	1478
147	28
0	1879
0	10
64	0
0	169
1103	0
0	148
1069	265
15	0
22	89
0	1
0	2
0	422
0	565
0	0
283	2521
0	0
0	1007
0	200
27	0
0	1
1	11
1533	1
0	0
0	2628
127	2345
0	1
236	0
0	276
1	2
9	271
0	0
0	14
0	1692
0	2964
0	3
0	1
0	430
0	2053
0	0
13	4257
0	387
0	65
0	5746
288	1819
0	0
0	1
3	0
0	1396
0	43
0	0
128	848
39	737
0	932
1	0
3	0
14	3569
1	1624
351	7325
4196	0
12	1815
0	435
0	20
3	2508
0	60
0	2691
0	1
0	166
37	699
199	1536
0	718
0	5
0	3853
59	860
595	0
0	697
8	706
0	3256
10	0
8610	0
73	976
1	1714
222	630
0	0
0	1228
10	581
0	2
0	0
0	0
0	0
197	2902
193	751
1	891
35	818
0	0
0	0
0	595
0	220
75	4299
49	1855
0	65956
95	1689
476	2036
1	0
0	36
1142	0
7	767
0	1824
97	1283
115	1080
0	0
0	0
65	300
0	0
24	0
0	362
0	0
1	0
0	0
1	466
14	749
80	0
0	213
0	2
0	0
0	0
0	0
0	0
0	6
2	13
0	6
12	4591
10	609
911	0
0	2
1	2
20	0
0	312
0	57
9	0
0	0
18	71
0	9053
44	0
32	0
0	0
259	0
2812	0
18	0
0	0
0	16711
4	558
2	1609
0	1204
0	2
1	4
0	0
0	0
0	2228
96	2194
0	1300
7	320
0	25
0	120
0	13
0	615
0	4627
0	3408
0	0
0	0
5295	0
688	0
0	0
466	3618
0	719
1366	0
2	51
5	275
0	0
0	9
68	0
16	0
586	6054
0	23
0	2126
8	3241
0	1167
19	995
101	1917
347	1064
0	0
0	197
60	2409
0	2
0	26
1	1623
0	0
1	17
220	4971
0	3
143	1247
0	1
1	357
8	174
3	8
1002	516
60	0
0	0
0	0
0	87
0	20
0	0
12	361
57	0
313	3688
3	585
1	0
0	0
2690	0
39	1500
70	885
3	386
2	170
0	5
2	29
1	14
7	10
0	234
0	27
11	1815
1	0
0	1001
0	29
19	2489
0	0
17	10
0	0
0	18
6563	0
401	1883
12	292
0	10
0	7
0	0
0	27
1	288
0	2476
0	1
11	934
2	1994
208	343
59	0
103	733
17	0
7	114
962	0
0	155
0	65
0	0
0	0
0	11277
1436	1259
0	0
8	427
0	1
0	2614
0	0
0	0
3	0
0	1
3	0
0	2488
0	2
0	0
0	0
2	90
0	0
0	4
3	0
0	428
0	27
0	599
0	1
0	23
0	0
0	2
0	0
0	25
0	236
0	0
0	108
0	0
569	21119
0	5
0	0
0	0
0	2231
669	2264
177	0
394	643
0	0
94	280
0	0
0	1860
209	2311
0	0
14	5
0	5
0	4770
0	20
0	1414
0	1105
0	2
0	0
341	0
0	0
0	39
0	0
0	12
0	354
