UniqueCount	AmbigCount
0	12
0	5
60	1956
60	243
36	2575
130	2893
0	123
20	1533
3	425
1	49
67	0
0	2
0	4900
89	420
1	1755
9	0
0	0
11	496
0	0
9	184
1	12823
0	0
0	4
0	71
0	1848
0	7
1	0
18	112
1	0
0	683
0	1
0	2
0	466
0	78
23	330
0	0
6	2605
0	963
32	682
0	515
0	0
7	235
25	393
0	1798
599	0
1	245
0	29
1	139
0	117
35	0
0	0
0	0
100	244
0	3
0	3
0	21
0	1971
0	21
0	1
0	0
5287	3
4	139
99	2978
1	6
0	0
0	4
0	690
1	563
0	8
8	836
0	13
36	594
0	31
0	1038
0	0
23	0
2	67
1	97
12	348
0	35
36	0
0	0
5	1784
180	1267
1031	1491
1597	0
1327	172
2	0
0	0
779	0
0	3
207	1057
158	3947
0	675
0	223
0	0
23	1024
312	1011
0	191
0	651
813	2631
0	8
0	0
3	896
23	323
2	1985
80	843
0	674
0	0
3	6764
1579	0
0	0
1	0
0	8
0	3
59	23
0	0
4	1
0	1157
0	770
32	997
670	0
0	2
5	1152
0	959
0	583
123	1096
78	250
0	0
0	17188
109	1074
52	461
0	14
0	6
0	3
29	1852
14	160
1253	0
83	181
664	644
4	804
970	0
0	803
0	2
3	1130
0	2
9	271
0	77
1964	0
0	0
0	713
484	543
450	1517
837	0
0	0
0	0
0	0
0	0
0	7936
0	1862
3	1370
191	1676
1	7672
12	6
0	1112
4845	0
32	2351
0	0
0	0
0	21
0	3
12	4265
3	1911
0	1398
359	922
0	0
19	14
4328	0
0	727
102	0
0	26
0	1
0	392
1	0
2	1
0	3243
0	58
2	6
8	0
0	0
0	1129
190	19
0	1543
0	11
46	0
0	122
772	0
0	103
783	179
22	0
14	95
0	1
0	3
2	532
0	337
0	0
233	2661
1	0
0	658
2	261
43	0
0	2
8	82
1311	0
0	0
0	2512
100	2524
0	3
208	0
0	279
1	0
15	297
0	1
0	10
0	1636
0	2674
0	4
0	6
0	379
0	2123
0	0
13	4295
2	363
2	65
0	4376
290	1681
0	0
0	0
4	0
0	1204
0	38
0	0
150	827
40	799
0	612
0	0
2	2
7	2355
2	1372
247	7060
3716	0
15	1305
0	438
0	14
3	2799
0	36
0	2405
0	0
0	235
27	722
204	1633
0	523
0	3
0	3466
49	997
579	0
0	551
2	554
0	2283
5	0
8320	0
58	701
4	1620
226	714
0	3
0	948
8	610
0	0
