UniqueCount	AmbigCount
0	49
2	4
58	2263
99	282
56	3282
144	3646
0	200
16	1974
10	529
3	69
133	0
0	2
0	4882
85	382
3	2518
10	0
0	0
18	638
0	0
11	259
3	16334
1	0
0	6
0	148
0	2449
0	0
0	0
20	119
0	0
0	765
0	3
0	0
0	651
0	67
27	360
0	0
7	2574
0	1448
63	1051
0	656
0	0
8	439
24	459
0	2374
824	1
0	415
0	28
5	159
0	116
37	0
0	0
0	1
146	307
0	6
0	8
0	34
0	2485
0	11
0	0
0	0
5875	1
5	174
143	3347
0	0
0	0
0	4
0	849
5	645
0	9
7	1035
1	24
50	730
0	26
0	1447
0	0
54	0
0	86
0	178
27	414
0	77
470	0
0	0
6	2421
248	1627
1441	1889
1682	0
1901	207
2	0
0	1
1442	0
0	2
302	1087
196	4670
0	924
0	263
0	0
52	1455
383	1180
0	252
0	736
958	2739
1	11
0	0
1	1035
25	362
5	2324
90	906
0	871
0	1
5	7008
1985	0
0	0
0	0
0	5
0	2
86	27
0	0
4	0
0	1880
0	900
27	1032
1204	0
0	7
6	1249
0	1511
0	1415
154	1109
87	283
0	0
0	15477
139	1413
16	300
0	15
0	2
0	3
37	3066
18	321
1749	0
72	157
738	766
6	1100
1286	0
0	944
0	6
1	1226
0	3
7	350
0	75
2748	0
0	0
0	826
585	699
704	1816
1234	0
0	0
0	3
0	0
0	0
0	9177
0	2693
5	1619
241	2063
0	9113
10	4
0	1338
6025	0
77	2453
0	0
0	0
0	40
0	6
10	4830
9	1819
0	1634
364	889
0	1
18	9
5140	0
0	881
138	0
0	3
0	3
0	446
0	0
11	0
0	3804
0	97
4	19
0	0
0	0
0	1574
153	24
0	2186
3	9
63	0
0	227
1114	0
0	154
1384	293
16	0
14	146
0	3
0	7
1	541
0	555
0	0
221	2509
0	0
0	1129
2	199
45	0
1	1
3	24
1575	0
0	0
0	3901
105	2836
0	0
367	0
0	358
2	0
16	289
0	1
0	6
0	2122
0	3626
0	0
0	4
0	443
0	2222
0	0
10	5413
1	439
0	70
0	5831
334	2074
1	0
0	1
5	0
0	1729
0	51
0	0
169	1325
26	803
0	978
0	0
2	1
14	3482
4	1747
374	6524
4375	0
12	1841
0	455
0	28
8	3704
0	89
0	3312
0	0
0	260
27	689
298	1807
0	545
0	2
0	4148
81	1120
559	0
0	850
9	720
0	3315
9	0
10174	0
84	1030
6	2038
215	709
0	2
0	1290
2	739
0	2
0	0
0	0
0	0
272	3577
178	866
0	888
53	1184
0	0
0	0
0	1011
0	229
74	5020
46	2307
0	140922
102	2108
575	2456
3	0
0	57
1336	0
8	875
0	1700
86	1319
123	1360
0	2
1	0
61	358
0	1
34	0
0	455
0	0
1	0
0	0
2	525
8	854
58	0
0	277
0	4
0	0
0	1
0	1
0	1
1	3
6	19
0	4
5	4262
13	743
913	0
0	0
2	2
24	0
0	646
0	71
12	0
0	1
30	134
0	8639
31	0
33	0
0	0
406	0
2670	0
21	0
0	0
0	19051
0	616
1	2005
0	1441
0	0
6	2
0	0
0	0
0	2391
158	2693
0	1784
5	448
0	29
0	192
0	4
2	620
1	5344
0	3438
0	0
0	0
5277	0
745	0
0	0
756	6528
0	1171
2000	0
0	31
15	228
0	3
0	10
60	0
26	0
887	8016
4	22
0	2268
10	3312
0	1592
25	1160
155	2355
395	1385
0	0
0	250
64	2559
0	0
0	36
3	2196
0	0
1	26
203	5512
0	5
149	1275
1	3
1	374
10	206
3	9
826	371
55	0
0	0
0	0
