UniqueCount	AmbigCount
0	16
3	5
38	1517
72	248
53	2273
126	2502
0	109
12	1461
9	474
1	38
64	0
1	0
0	4145
55	316
0	1536
7	0
0	0
12	414
0	0
8	197
0	13443
0	0
0	1
0	61
0	1742
0	2
0	0
15	100
0	0
0	491
0	1
0	0
1	375
0	111
27	244
0	0
1	2927
0	938
50	650
0	445
0	0
1	136
10	361
0	1558
617	2
1	334
0	23
5	138
0	85
47	0
0	0
0	0
68	146
0	6
0	3
0	30
0	1905
0	1
0	4
0	0
4500	0
5	167
132	2718
0	0
0	0
0	4
0	798
0	508
0	5
4	656
1	16
29	506
0	18
0	1283
0	0
22	0
0	81
0	119
15	330
0	44
391	0
0	1
1	1509
177	1255
1257	1465
1082	0
1072	134
0	0
0	0
518	0
0	1
212	799
121	2828
0	603
0	200
0	0
39	946
303	891
0	151
0	620
951	2541
0	7
0	1
3	826
30	304
0	1449
75	612
0	646
0	0
0	5470
1365	0
0	0
0	0
0	10
0	2
50	7
0	0
11	0
0	1240
0	629
28	899
645	0
0	2
2	808
0	1026
0	677
143	884
79	221
0	0
0	17733
115	1127
38	366
0	21
0	2
0	3
9	2382
11	195
1257	0
61	122
532	525
1	594
789	0
0	751
0	2
2	970
0	2
13	230
0	43
2280	0
0	0
0	545
398	519
516	1329
910	0
0	0
0	4
0	0
0	1
0	7513
0	1780
2	1304
224	1657
0	6617
6	2
0	1001
4431	0
47	1718
0	0
0	0
0	13
0	2
8	3820
14	1662
0	1280
273	843
0	0
7	12
3766	0
0	635
116	0
0	9
0	0
0	359
0	0
2	0
0	3080
0	47
1	4
2	0
0	0
0	1190
150	21
0	1532
1	6
47	0
0	170
818	0
0	133
879	239
15	0
6	109
0	1
0	5
0	380
0	434
0	0
221	2273
0	0
0	794
0	165
32	1
0	0
1	21
1333	3
0	0
0	2413
108	2302
0	0
186	0
0	251
2	0
7	174
0	0
1	5
0	1608
0	2359
0	2
0	1
0	297
0	1673
1	0
12	3142
1	286
4	51
0	4216
220	1490
1	0
0	2
9	0
0	1076
0	45
0	0
108	867
33	648
0	674
1	0
2	1
9	2642
