UniqueCount	AmbigCount
0	12
0	3
88	2511
189	479
127	4520
256	3933
0	208
34	2006
26	864
2	53
180	0
3	1
0	6916
49	338
1	1775
15	0
0	0
22	820
0	0
21	212
6	22267
0	0
0	1
0	97
0	2156
0	5
0	0
24	248
0	0
0	765
0	1
0	0
0	626
1	70
37	635
0	0
9	3205
0	1517
78	860
0	649
0	0
3	224
15	477
0	2188
723	0
1	453
0	16
2	124
0	82
36	0
0	0
0	0
288	469
0	10
0	6
0	23
0	4648
0	6
2	4
0	0
8831	1
9	441
289	5846
0	2
0	2
0	8
0	609
6	524
0	5
8	1140
6	28
62	1069
0	17
0	1276
0	0
50	0
1	94
0	196
28	511
0	47
46	0
0	0
6	3118
258	1320
2482	3377
2400	0
3001	262
1	0
0	0
1185	0
0	9
304	911
255	5065
0	980
0	279
1	0
43	1331
373	1188
0	223
0	1080
1134	3491
0	10
0	0
1	1241
60	488
4	2376
67	863
0	775
0	0
2	7557
2147	0
0	0
0	0
0	5
0	1
62	17
0	0
10	0
0	2673
0	891
25	1034
803	0
0	4
18	1633
0	1873
0	3077
131	1224
151	352
0	0
0	19089
199	1478
17	251
1	14
0	8
0	9
36	5128
21	355
2605	0
193	370
1420	1404
8	1794
1088	0
0	1612
2	19
0	1082
0	0
13	365
0	118
2843	0
0	0
0	814
596	560
902	2410
1536	0
0	0
0	5
1	0
0	4
0	12253
0	2712
3	1847
371	3052
0	7917
11	12
0	2562
7489	0
88	3025
0	0
0	0
0	17
0	5
10	4428
9	1870
1	1755
445	823
0	0
30	33
6572	0
0	716
162	0
0	0
0	0
0	1267
0	0
5	0
0	3902
0	232
3	8
3	0
0	0
0	2040
136	22
0	2063
2	25
35	0
0	300
1728	0
0	154
1361	320
18	0
20	141
0	4
0	4
2	664
0	806
0	0
221	2493
0	0
0	928
0	83
32	0
0	1
2	6
2206	1
0	0
0	5617
127	3186
0	0
505	0
0	344
2	2
14	260
0	0
0	8
0	2762
0	3125
0	3
0	6
0	333
0	2186
0	0
13	5124
0	374
3	21
0	5894
301	1837
0	0
0	6
3	0
0	1372
0	39
0	0
194	1575
63	1532
0	1401
0	0
0	0
3	3792
3	1795
697	10883
4832	0
20	1835
0	360
0	12
7	4794
0	123
0	2479
0	0
0	271
25	753
472	2346
0	546
0	6
0	4228
69	1128
565	0
0	987
6	779
0	4747
12	0
10830	0
90	1166
12	1982
314	851
0	0
0	2084
1	904
0	1
0	1
0	0
0	0
290	4356
136	790
0	1114
49	1350
0	0
0	0
0	1589
0	590
104	5661
56	2231
0	1
