UniqueCount	AmbigCount
0	7
2	3
94	2679
83	238
36	2571
228	3505
0	137
12	2001
5	513
3	14
102	0
2	2
0	5679
120	531
2	3256
12	0
0	0
19	733
0	0
17	192
4	17982
0	0
0	4
0	164
0	3081
0	0
0	0
17	118
0	0
0	706
0	1
0	0
0	665
0	85
29	350
0	0
1	2165
0	2023
73	1131
0	657
0	0
2	161
22	451
0	3047
1202	1
1	326
0	42
3	108
0	87
36	0
0	0
0	0
200	357
0	11
0	5
0	78
0	2424
0	2
0	2
0	1
6287	3
3	179
153	2742
1	2
0	0
0	2
0	1136
4	704
0	7
11	1241
0	13
27	706
0	30
0	1530
0	0
61	0
0	95
0	167
22	433
0	129
54	0
0	2
2	2643
287	1623
1245	1429
1317	0
925	69
0	0
0	0
727	0
0	4
252	1005
282	4788
0	1022
0	260
1	0
86	1850
368	1180
0	229
0	690
867	2457
0	7
0	1
0	1013
34	316
0	2561
99	1075
0	808
0	1
2	8513
2016	0
0	2
0	0
0	8
0	2
90	27
0	0
7	0
8	2000
0	893
43	1193
1021	0
0	5
10	1340
0	1372
0	1273
161	1380
118	398
0	0
0	14909
155	1366
25	294
0	17
0	6
0	8
24	2765
15	315
1508	0
60	126
607	619
4	1001
1167	0
0	989
0	4
4	1276
0	0
12	320
0	59
3124	0
0	1
0	995
612	666
710	2198
1354	0
0	0
0	2
0	0
0	1
0	10285
0	2500
6	1179
248	2152
0	10761
8	5
0	1387
6316	0
48	2366
0	0
0	0
0	2
0	3
14	5016
14	2547
1	1771
512	958
0	0
7	15
5655	0
1	754
137	0
0	5
0	1
0	494
0	0
6	1
0	4061
0	60
0	7
5	0
0	0
0	1741
164	22
0	2021
1	15
69	0
0	116
1248	0
0	125
1299	311
26	0
11	120
0	1
0	3
1	557
0	474
0	0
344	2958
0	0
0	1077
1	172
43	0
0	2
1	10
1674	2
0	0
0	4248
130	2790
0	0
350	0
0	253
1	0
12	274
0	0
0	14
0	1908
0	3634
0	3
0	3
0	447
0	2423
0	0
10	6174
2	375
2	54
2	6955
358	2392
0	0
0	3
2	0
0	1876
0	46
0	0
161	1145
40	816
0	900
2	0
1	0
11	4645
5	1836
676	9568
4883	0
26	1990
0	479
0	9
3	4168
0	77
0	3432
0	0
0	237
38	859
271	1588
0	580
0	7
0	4248
86	1129
655	0
0	705
4	802
0	3635
10	0
11553	0
72	965
3	1762
265	743
0	1
0	1643
13	900
0	0
0	0
0	0
0	0
194	3240
187	931
0	1064
50	1143
0	0
0	0
0	783
0	231
145	5793
57	2487
0	13539
88	1843
500	2194
1	0
0	26
1509	0
2	1159
0	1903
124	1335
157	1490
0	0
1	0
71	388
0	0
35	0
0	511
0	1
4	0
0	0
4	497
17	1006
80	0
0	285
3	1
0	0
0	1
0	2
0	0
0	5
2	19
0	3
17	4455
13	703
831	0
0	0
3	3
18	0
0	578
0	59
11	1
0	0
18	75
0	10232
29	0
29	0
0	0
215	0
2559	0
38	0
0	0
0	21134
0	625
3	2014
0	1463
0	0
2	2
0	0
0	0
0	3112
125	2235
0	1810
8	389
0	21
2	177
0	6
0	762
0	6366
0	5392
0	0
0	0
6177	0
668	0
0	0
415	4657
0	1005
1863	0
1	64
6	276
0	1
0	7
57	0
26	0
592	6986
0	30
0	2059
18	3582
0	1413
20	1241
124	1949
370	1088
0	0
0	188
65	2833
0	0
0	18
0	1920
0	1
1	25
282	5716
0	3
164	1528
0	5
3	425
12	211
2	12
925	638
40	0
0	0
3	0
0	70
0	21
0	0
30	362
38	0
305	5082
6	607
0	0
0	2
3047	0
70	1769
103	1135
12	536
0	150
1	2
1	19
2	26
6	5
0	183
0	65
10	2186
1	3
0	1169
0	39
7	2758
0	0
8	5
0	0
0	23
8969	0
374	1987
13	355
0	3
0	5
0	0
0	18
2	311
0	3439
0	0
20	1343
0	2420
192	277
57	0
107	855
12	0
16	148
1723	0
0	160
0	78
0	0
0	0
0	12980
1658	1372
0	0
6	508
0	1
0	3989
0	0
0	0
0	0
0	1
7	0
0	3941
0	4
0	0
0	0
1	48
0	0
0	1
0	0
0	503
0	16
0	458
0	0
0	31
0	0
2	3
0	0
0	23
0	355
0	0
3	109
0	1
600	24061
4	40
0	0
0	0
2	2574
720	2865
226	0
405	823
0	0
91	246
0	0
0	1751
170	2326
0	4
17	8
1	7
4	4175
0	51
0	1570
0	1355
0	0
0	0
496	0
1	0
0	24
0	0
0	16
0	395
64	1598
0	1
0	4483
0	0
0	3882
0	0
0	2
536	2764
21	0
242	1605
3	7
0	7
0	3
7	40
0	0
0	1
0	137
0	0
0	4
10	890
0	1
0	0
0	0
0	0
1	2
0	4
409	2273
7	0
0	0
0	0
0	8
0	0
2443	3833
1	3
0	0
22	1
0	15
0	0
1	4
0	0
0	0
1	0
1	7
223	583
7	0
0	4
1	0
1031	1562
2	45
1324	0
0	0
0	22
42	1
71	25
0	0
1	7
0	0
0	0
3	27
0	890
233	2742
54	376
28	0
2	26
0	1531
0	10
0	1831
0	9
0	0
0	32
1	5
68	0
9	0
182	0
0	10
0	1287
745	0
8	2510
0	2
0	6
465	65
0	0
0	259
0	4598
513	2943
0	0
0	0
1	0
27	55
106	3256
0	3256
0	3230
1	3183
0	4
2	7
7	65
878	958
9301	56080
15	150
0	314
0	110
0	723
0	0
0	0
0	0
0	5
5774	0
0	1
0	0
1	83
0	152
149	567
0	0
1	0
24	52
0	1
8	0
25	0
656	0
