UniqueCount	AmbigCount
0	12
1	9
159	2715
208	382
64	3868
339	3987
0	105
31	2116
25	743
1	47
120	0
1	2
0	6362
132	583
6	2488
17	0
1	0
12	654
1	0
37	307
8	19397
5	0
0	5
0	90
0	2073
0	8
0	0
34	173
2	0
0	736
0	1
0	0
1	642
0	129
26	502
0	0
7	4603
0	1729
67	1007
0	822
0	1
15	291
28	532
0	2612
976	6
1	486
0	40
3	151
0	191
54	0
0	0
0	0
127	250
0	3
0	3
0	57
0	3310
0	4
4	1
0	0
7221	2
12	314
349	4371
0	4
0	0
0	7
0	1240
8	666
0	12
17	980
2	41
29	888
0	19
0	1967
2	0
59	0
0	136
0	177
19	669
0	105
69	0
0	0
7	2792
310	1820
2067	2555
1562	0
1815	138
0	0
0	0
1297	0
0	11
488	1451
283	4891
0	974
0	307
2	0
63	1566
434	1202
0	209
0	1227
1432	3971
1	11
0	0
1	1271
72	501
1	2468
119	1192
0	972
0	3
8	10058
2186	0
0	0
0	0
0	11
0	0
64	16
0	0
10	1
0	1987
0	982
45	1571
980	0
0	6
12	1333
0	1378
0	1344
259	1677
129	307
0	0
0	26334
258	1589
103	824
3	32
0	9
0	20
31	4075
23	343
2102	0
116	230
925	781
13	930
1421	0
0	1351
0	3
11	1525
0	0
19	312
0	102
3542	0
0	0
0	910
707	737
832	2409
1389	0
0	0
0	4
2	0
0	0
0	12500
0	2675
7	1867
326	2841
0	10132
12	9
0	1969
6699	0
62	2899
0	3
0	0
0	16
0	8
36	6212
13	3191
2	2111
650	1164
0	0
13	17
6179	0
3	895
201	0
0	19
0	1
0	783
0	0
4	0
0	4259
0	107
0	5
14	0
0	0
0	1682
254	43
0	2110
0	6
30	0
0	158
1413	0
0	239
1167	291
14	0
44	159
0	2
0	2
2	678
0	566
0	0
443	3704
0	0
0	1142
4	221
73	0
0	2
15	50
1760	7
0	0
0	4127
202	3554
0	2
331	0
0	439
3	3
19	275
0	3
0	15
0	2583
0	3447
0	6
0	3
0	498
0	2715
0	0
19	4931
1	403
9	105
0	6658
420	2713
1	0
0	1
6	0
0	1647
0	39
1	0
201	1284
120	1470
0	1171
0	2
0	1
14	4117
5	2096
1047	9698
5826	0
31	2279
0	525
0	23
7	3857
0	64
0	3489
0	0
0	265
38	885
479	2009
0	832
0	7
0	4805
100	1157
776	0
0	1038
19	906
0	4022
6	0
11733	0
120	1133
1	2161
384	1123
0	0
0	2155
7	827
0	2
0	4
0	0
0	0
301	4234
205	1149
1	1046
53	1171
0	0
0	0
0	938
0	378
147	4951
86	2618
0	1
129	1922
596	2448
1	1
0	76
1651	0
6	1237
0	2149
196	1523
152	1482
0	0
0	0
87	439
1	2
36	0
0	520
1	1
6	0
0	0
5	600
7	1016
138	0
0	269
0	2
0	1
0	1
0	2
0	0
0	10
1	18
0	12
36	5646
20	604
1163	0
0	5
3	2
35	0
0	413
0	99
14	3
0	0
15	92
0	10736
54	0
61	0
0	0
421	0
3032	0
26	0
0	2
0	21337
2	596
2	2000
0	1486
0	3
5	9
0	0
0	0
0	2606
217	2994
0	1623
9	374
2	42
3	210
0	11
0	877
4	5197
0	4394
2	0
0	0
6693	0
792	0
0	0
703	6000
0	979
2082	0
0	51
2	314
1	1
0	11
85	0
16	0
835	8814
2	37
0	2823
38	4442
0	1886
32	1537
240	2583
477	1261
0	0
0	407
82	2922
0	0
0	33
5	2258
0	1
2	44
284	6179
0	11
219	1773
0	10
3	403
16	246
4	24
1237	789
108	0
0	0
0	0
0	111
0	31
1	0
54	482
52	0
