UniqueCount	AmbigCount
0	95
2	11
177	3142
175	404
62	5311
330	5708
0	192
24	2457
37	884
7	60
108	0
0	3
0	6505
106	498
3	2988
19	0
0	0
13	753
0	0
14	208
5	24095
0	0
0	2
0	148
0	2311
0	2
2	0
24	172
0	0
0	1185
1	0
0	0
0	572
3	91
30	588
0	0
3	3739
0	2071
80	990
0	706
0	0
11	330
28	497
0	2919
1032	4
0	534
0	31
2	166
0	141
60	0
0	0
0	0
273	491
0	5
0	1
2	29
0	4111
0	10
5	2
0	0
8021	2
11	226
349	4308
1	1
0	0
5	3
0	1363
4	812
0	10
8	1160
1	30
29	823
0	36
0	1719
1	0
55	0
1	107
0	191
17	419
0	86
47	0
0	1
12	3411
291	1656
2251	2329
2048	0
2213	136
3	0
0	0
1510	0
0	11
516	1494
352	6417
0	1044
0	418
0	0
73	1936
538	1477
0	272
0	976
1326	3743
0	8
0	7
4	1556
35	480
0	2797
108	1367
0	1042
0	0
6	12530
2602	0
0	0
0	0
0	9
0	2
72	26
0	0
14	0
1	2545
0	1006
57	1359
961	0
0	7
7	1714
0	1575
0	1178
235	1948
139	394
0	0
0	23659
188	1784
31	499
1	38
0	7
0	11
17	4437
19	444
2373	0
178	338
1060	812
18	1099
1764	0
0	1488
0	4
4	2066
0	2
3	316
0	130
4721	0
0	0
0	1195
673	516
1145	3308
1551	0
0	0
0	14
0	0
0	0
0	12872
0	3035
5	2104
331	3150
0	12189
10	2
0	2749
8527	0
97	3696
0	0
1	0
0	24
0	2
25	5912
18	2692
0	2078
584	1161
0	1
13	14
10203	0
1	607
219	0
0	0
0	0
0	841
0	0
24	1
0	4816
0	140
7	9
11	0
0	0
0	1965
168	21
0	2964
1	8
93	0
0	194
1739	0
0	183
1850	388
44	0
20	111
0	4
0	2
2	707
0	800
0	0
442	3843
1	0
0	1365
0	191
76	1
0	2
0	11
2308	2
0	0
0	4567
187	3900
0	0
558	0
0	255
4	3
11	229
0	0
0	26
0	2582
0	3864
0	4
0	11
0	483
0	2374
1	0
13	7409
0	544
6	40
2	7355
460	2989
0	0
0	2
1	0
0	1888
0	34
0	0
245	1683
89	1361
0	1052
1	0
0	4
7	4110
4	2128
1104	13942
8167	0
28	2523
0	618
0	16
14	6112
0	73
0	4110
0	0
0	180
31	1046
479	2785
0	804
0	8
0	5888
76	965
722	0
0	1088
15	957
0	4981
11	0
15027	0
105	1302
3	2413
456	1150
0	0
0	1814
3	852
0	0
0	0
0	0
0	0
236	4490
238	1109
0	1244
79	1877
0	1
0	0
0	1158
0	547
179	6505
78	3704
0	13934
139	3537
708	2921
3	1
0	47
2637	0
6	1362
0	2436
241	1913
116	1476
0	0
2	0
64	411
0	0
29	0
0	651
0	0
0	0
0	0
1	862
13	1187
95	0
0	224
0	5
0	0
0	0
0	1
0	0
1	11
3	14
0	14
33	5721
23	1112
1304	0
0	0
3	8
6	0
0	464
0	66
5	1
0	0
28	110
0	11330
63	0
51	0
0	0
757	0
4760	0
32	0
0	0
0	27147
3	716
2	2574
0	1484
0	0
5	6
0	0
0	0
0	3026
267	3808
0	1803
8	405
0	41
4	209
0	11
1	894
1	6170
0	3915
4	0
0	0
8066	0
826	0
0	0
885	8869
0	1069
2294	0
0	41
5	158
0	1
1	10
92	0
16	0
774	9633
6	56
0	2600
13	4876
0	1802
20	1526
203	3228
466	1471
0	0
0	280
36	2899
0	1
0	33
2	2316
0	0
0	39
313	6965
0	21
239	2436
0	8
4	492
20	268
1	20
1170	762
194	0
0	0
2	0
1	99
0	14
0	0
34	360
75	0
342	6232
6	732
0	0
0	0
5870	0
71	1847
149	1879
7	567
5	117
0	4
3	82
4	29
9	11
0	294
0	52
10	1697
0	2
0	1375
0	35
17	3639
0	0
20	13
1	0
0	21
14586	0
322	2728
13	430
0	1
0	6
0	1
0	36
0	315
0	3933
0	0
14	1387
0	2849
312	300
51	0
114	1144
6	0
20	167
905	0
0	224
0	100
0	0
0	0
0	20948
3770	2502
0	0
24	1077
0	1
0	3665
0	0
0	0
0	0
0	2
11	0
0	5038
0	7
0	0
0	0
6	132
0	0
0	7
0	0
0	590
0	13
0	703
0	3
0	25
0	0
1	3
0	0
0	36
0	262
0	0
3	133
2	0
664	33877
6	85
0	0
0	0
0	4304
1056	4447
222	0
385	884
0	0
107	370
1	0
0	3710
265	3467
0	10
42	8
0	0
2	5617
0	24
0	2025
0	1450
0	2
0	0
577	0
0	0
0	35
0	0
0	20
0	641
68	2004
0	0
0	5251
0	2
0	3576
0	0
0	0
484	3223
12	0
387	1584
10	24
0	11
0	2
19	85
0	0
0	3
0	161
0	0
0	7
13	1203
0	1
0	0
0	0
0	0
2	14
0	10
732	4457
8	0
0	0
0	0
0	18
0	0
3791	5791
0	2
0	0
88	12
0	36
0	0
7	4
0	0
1	0
0	0
3	4
269	784
13	0
0	4
0	0
1317	2184
7	24
876	0
0	3
0	20
63	7
78	35
0	0
3	8
1	1
0	1
4	37
0	1512
422	4175
35	419
5	0
2	33
0	1247
0	18
0	1582
0	7
0	0
0	29
3	12
68	0
12	0
108	0
4	26
0	1533
1177	3
9	3131
0	0
0	1
641	56
0	0
0	310
0	5714
531	2903
3	0
0	0
5	0
42	140
80	2988
0	2988
0	2964
2	2929
0	10
4	5
8	56
1798	2096
17007	91920
32	152
1	250
0	154
0	1468
0	0
0	1
0	0
0	1
8030	0
0	0
0	0
0	86
1	250
162	584
0	0
4	0
34	79
4	1
7	0
37	0
668	0
59	0
0	119
0	0
1	14992
0	2329
36	0
438	2365
0	47
122	1890
108	714
0	62
291	4915
0	0
0	104
0	0
420	4148
0	30904
5	3
3	0
1	0
31	2
3	0
415	1992
19	0
263	2275
1905	0
610	1791
0	0
0	0
0	3
2	63
0	247
0	43
0	3
0	1944
0	338
0	182
6	475
0	850
1	0
1533	0
4	6
1	0
3	1
0	0
0	9
1065	1064
0	4
0	0
0	0
5	131
11	0
0	9
1	330
1	64
1531	1091
0	495
762	13
0	4
0	0
0	36
0	5
239	3199
0	1484
0	0
8	441
0	0
0	0
0	6
9	6
0	0
0	0
0	0
0	0
2	2
3	1
0	0
1	0
1	1
56	0
0	12
21	121
4	36
0	1
0	0
2	0
0	2
0	0
11	108
12	15
66	0
672	6519
0	0
2936	0
215	366
0	4
524	14877
0	1
1	5
52	0
0	0
0	0
38	0
0	0
4	0
0	8
1519	8179
0	33
0	1
0	0
1	0
0	0
0	6
1	0
7	78
0	0
0	0
6	79
0	0
0	13
14	102
0	0
32	476
0	15
0	13757
813	0
1	1764
0	0
0	576
21	12
0	0
0	0
3	108
0	19
0	10
21	0
0	1
0	29
0	7
0	15
9	445
112	4036
0	16
3	1
0	16
0	2
45	6
0	0
0	27
0	0
0	2
449	624
994	1765
0	197
0	0
15412	0
0	0
0	1
13	414
16	432
0	1150
298	5178
0	6740
0	367
0	23
0	0
3	0
182	2
0	0
0	1
0	0
0	0
0	35
0	0
146	0
3	122
11	37
0	1089
0	4632
3887	15
3	174
2	59
0	2
0	0
64	247
0	2854
5	15243
910	73
0	53
0	0
0	1
2	56
68	0
0	2
0	4
0	0
1	6240
0	2
6	51
99	1546
2	0
3	472
1	343
119	235
11	1282
24	0
0	45
0	53
0	6
0	4
14	0
0	10
0	60
0	46
0	0
2	79
213	3624
1299	21527
0	6435
17	713
1	47
0	545
0	54
5	179
87	4761
0	14
3	1067
0	0
0	0
51	460
0	1054
0	608
0	3
0	7199
0	0
11994	0
333	7766
8	40
0	0
1785	0
12374	0
1582	0
0	2616
4625	0
2333	0
238	1545
0	1
0	29
0	930
0	39
0	43
0	0
0	0
20	0
37	0
22	4
5	24
0	2
197	16
0	18
152	0
5	826
0	120
3	173
45116	72831
141309	0
49159	57174
3274	73462
8889	52451
101408	0
12449	100775
10121	42890
42974	401
6052	69127
51650	18
31531	30483
52329	0
9622	62144
27380	344
29722	0
65864	10
3037	32551
65123	20
23952	31861
23648	32902
18461	0
45762	9
15691	14924
25505	32327
14303	25802
13877	23591
17	18767
5830	21752
28742	0
32247	0
13027	4346
36897	1
5635	10
0	1842
0	2
0	0
0	4288
0	0
0	11751
3702	282
0	1
2	2711
0	0
0	26
0	0
0	3512
