UniqueCount	AmbigCount
0	17
1	4
140	3403
164	384
81	4549
281	4790
0	197
16	2609
22	881
1	48
262	0
1	3
0	7138
92	521
0	3259
6	0
0	0
25	994
0	0
14	216
2	22415
0	0
0	1
0	220
0	4246
0	0
0	0
25	168
2	0
0	1147
0	4
0	0
0	801
0	69
27	582
0	0
5	2494
0	2293
83	1386
0	1069
0	0
11	245
22	680
0	3437
1205	1
3	574
0	22
6	187
0	74
36	0
0	0
0	0
349	736
0	9
0	7
0	36
0	3136
0	10
2	2
0	0
9458	2
9	335
209	3656
0	1
0	1
2	14
0	1021
1	865
0	8
8	1764
1	35
36	1067
0	10
0	1669
1	0
60	0
0	146
0	319
44	735
0	106
31	0
0	1
7	3834
314	1833
1875	2117
2095	0
2076	215
0	0
0	5
767	0
0	9
381	1169
395	7097
0	1402
0	380
0	0
103	2237
451	1481
0	404
0	848
1118	2979
0	13
0	0
0	1412
58	481
1	3204
93	1199
0	1179
0	2
8	9937
2684	0
0	0
0	0
1	15
0	3
125	31
0	0
14	0
5	3020
0	1100
42	1277
1209	0
0	2
18	2184
0	2321
0	2838
190	1578
192	467
0	0
0	14959
225	1803
18	307
0	11
0	8
0	5
42	4432
20	468
2104	0
181	330
1172	1076
9	1828
1608	0
0	1545
0	13
5	1332
0	0
24	497
0	103
3833	0
0	0
0	1223
982	824
836	2630
2016	0
0	0
0	11
0	0
0	1
0	12566
0	3557
6	2017
321	3112
0	12511
6	5
0	2231
8468	0
79	3539
0	0
0	0
1	11
0	4
11	5602
13	2739
1	1967
571	937
0	0
23	23
8214	0
0	790
193	0
0	1
0	2
0	1086
0	0
13	2
0	5240
1	150
1	13
5	0
0	0
0	2369
119	14
0	3293
0	18
77	0
0	267
2287	0
0	145
2156	446
32	0
20	147
0	0
0	6
6	725
0	742
0	0
293	2757
0	0
0	1292
0	103
60	0
0	1
0	7
2537	2
0	0
0	6603
200	3791
0	1
571	0
0	450
8	3
9	454
0	0
1	13
0	2826
0	4982
0	4
0	14
0	581
0	3228
0	0
13	8128
2	528
2	41
2	9043
412	2947
1	0
0	4
9	0
0	2616
0	51
0	0
227	1567
90	1310
0	1399
1	0
2	0
15	5764
0	2144
793	12437
5526	0
18	2197
0	503
0	17
10	6381
0	154
0	3674
0	0
0	312
38	989
400	2277
0	716
0	4
0	4886
98	1320
673	0
0	806
3	932
0	5692
20	0
14901	0
112	1502
8	2826
320	928
0	0
0	2273
14	1400
0	0
0	2
0	0
0	0
258	3850
214	1026
0	1159
49	1628
0	0
0	0
0	1388
0	525
153	6734
61	2863
0	156599
126	2633
664	2811
0	0
0	54
1662	0
5	1225
0	2573
159	1873
143	1766
0	0
3	0
69	416
0	1
