UniqueCount	AmbigCount
0	3
0	3
88	2533
135	319
47	3071
225	3891
0	142
28	2124
20	706
8	64
215	0
0	1
0	6474
41	340
0	1736
5	0
0	0
13	895
0	0
10	133
0	16064
0	0
0	1
0	76
0	2268
0	3
1	0
26	170
0	0
0	747
0	4
0	0
3	559
0	29
11	400
0	0
6	3159
0	1672
43	805
0	650
0	0
5	120
19	471
0	2376
763	3
1	337
0	11
2	94
0	37
36	0
0	3
0	0
219	497
0	11
0	5
0	20
0	3261
0	0
5	3
0	0
6705	1
7	332
211	3303
0	1
0	0
3	3
0	746
2	550
0	5
7	1177
1	23
22	845
0	16
0	578
0	0
61	0
0	103
0	142
8	368
0	30
55	0
0	0
4	2582
127	776
2155	2032
1731	0
1851	158
2	0
0	0
508	0
0	2
192	674
223	4669
0	1038
0	221
0	0
46	1090
303	1173
0	167
0	800
935	2724
0	8
0	0
2	1086
22	349
3	2192
64	812
0	584
0	2
1	7542
1985	0
0	0
0	0
1	18
0	1
77	18
0	0
11	0
1	2165
0	832
16	831
608	0
0	11
8	1468
0	1723
0	2101
165	1241
117	321
0	0
0	18028
111	1395
23	368
0	19
0	12
0	9
22	3175
13	378
1400	0
110	262
981	823
9	1162
1027	0
0	1250
0	13
2	1019
0	2
6	261
0	55
2906	0
0	0
0	785
573	453
841	2943
1264	0
0	0
0	7
0	0
0	1
0	9344
0	2686
6	1188
237	2264
0	7416
10	8
0	2217
6386	0
48	2818
2	0
0	0
0	6
0	4
4	3454
12	2084
1	1476
420	712
0	1
32	24
7672	0
1	579
92	0
0	1
0	0
0	1108
0	0
0	1
1	3729
0	117
1	3
4	0
0	0
0	2185
82	11
0	1946
0	6
50	0
0	206
1919	0
0	111
1718	294
87	0
18	123
0	0
0	3
1	481
0	700
0	0
197	2417
0	0
0	876
0	48
43	0
1	0
1	14
2533	4
0	0
0	4077
120	2922
0	1
407	0
0	184
1	5
5	251
0	0
0	15
0	1869
0	3227
0	0
0	5
0	340
0	1967
0	0
4	4825
2	330
0	22
2	6987
285	1912
0	0
0	0
8	0
0	1652
0	12
0	0
143	1083
44	827
0	1061
1	0
1	0
12	3747
1	1437
733	11195
3390	0
6	1703
0	357
0	30
12	4909
0	99
0	2187
0	0
0	156
17	889
332	1950
0	487
0	7
0	3966
51	709
472	0
0	765
5	538
0	4077
9	0
9041	0
73	831
4	1673
288	674
0	0
0	1496
14	895
0	2
0	3
0	0
0	0
204	3291
140	759
0	1519
46	1617
0	0
1	0
0	1380
0	451
154	6820
51	3110
0	67473
96	2224
470	2017
0	0
0	46
1751	0
10	1241
0	2229
103	1199
100	1142
0	0
3	0
45	331
0	1
36	0
0	425
0	1
2	0
0	0
2	341
12	910
60	0
0	278
0	0
0	0
0	0
0	0
0	0
0	2
3	20
0	1
29	4356
14	544
1124	0
0	0
1	9
5	0
0	501
0	54
8	1
0	0
32	129
0	8092
39	0
15	0
0	0
506	0
4178	0
28	0
0	0
0	18768
0	410
1	1323
0	1152
0	0
3	5
2	0
0	0
0	2087
172	2265
0	1175
4	194
0	11
1	154
0	11
0	884
3	4245
0	4362
0	3
0	0
4976	0
366	0
0	0
259	2533
0	978
3117	0
2	15
9	124
0	0
0	6
40	0
9	0
501	7175
1	31
0	2381
15	3205
0	1089
20	1080
123	1974
411	1490
0	1
0	202
40	2229
0	0
0	14
1	1174
0	0
2	49
174	3816
0	10
131	1937
0	9
2	395
18	167
0	9
715	495
66	0
0	0
2	0
0	146
0	9
0	0
20	296
20	0
222	3303
3	466
0	0
0	0
4090	0
82	2090
65	804
13	502
1	68
0	3
3	48
12	31
3	5
0	136
0	32
12	2231
0	4
0	1135
0	12
4	2698
0	0
22	7
0	0
0	21
10422	0
233	1883
9	310
0	1
0	3
0	1
0	11
1	335
0	2604
0	0
6	899
0	1578
254	273
18	0
84	716
8	0
12	197
541	0
0	67
0	105
0	0
0	0
0	16996
3019	2200
0	0
14	814
0	0
