UniqueCount	AmbigCount
0	20
2	17
142	3370
127	284
49	3557
307	4753
0	181
29	2542
29	635
1	42
176	0
0	3
0	7043
147	686
0	4012
6	0
0	0
23	818
0	0
32	285
10	24790
0	0
0	2
0	179
0	3121
0	2
0	0
31	145
0	0
0	999
0	3
0	0
1	863
0	135
24	458
0	0
5	2531
0	2581
91	1353
0	867
0	0
10	334
38	620
0	3441
1117	0
6	663
0	33
3	156
0	128
30	0
0	0
0	0
239	444
0	5
0	6
0	73
0	2984
0	12
0	3
0	0
8180	1
5	312
232	3460
0	2
1	0
1	3
0	1225
7	878
0	11
13	1574
1	21
47	1006
0	30
0	1989
2	0
60	0
0	111
0	246
39	727
0	151
44	0
0	1
10	3345
356	1986
1875	1999
2142	0
1651	114
1	0
0	0
1092	0
0	10
395	1428
354	6404
0	1348
2	352
0	0
120	2337
490	1354
0	280
0	888
1205	3071
0	13
0	1
0	1382
46	458
0	3289
103	1187
0	1078
0	1
10	10795
2063	0
0	0
0	0
0	13
0	1
133	32
0	0
9	0
1	2829
0	1049
58	1474
1267	0
0	3
12	1599
0	1758
0	2001
205	1964
148	468
0	0
0	18265
216	1929
14	273
0	15
0	5
0	5
48	3842
17	410
1986	0
90	210
880	768
3	1571
1794	0
0	1343
0	7
8	1541
0	4
11	381
0	90
3779	0
0	0
0	1272
777	762
837	2660
1727	0
0	2
1	9
0	0
0	0
0	13017
0	3130
5	1556
318	2791
0	12032
10	5
0	1812
7857	0
64	3225
0	0
0	0
1	17
1	6
21	5801
17	2630
0	2073
742	1196
0	1
8	14
7430	0
0	1052
192	0
0	6
0	0
0	552
0	0
7	0
0	5080
0	90
2	7
3	0
0	0
0	2040
160	16
0	2579
0	18
55	0
0	185
1589	0
0	137
1644	359
18	0
28	156
0	3
0	4
2	777
0	723
0	0
377	3395
1	0
0	1473
0	164
69	0
0	1
2	12
2161	5
0	0
0	5865
195	3945
0	0
379	0
0	417
3	4
16	343
0	1
0	22
0	2652
0	4880
0	3
0	11
0	508
0	3516
0	0
20	8361
0	611
3	63
0	8341
445	2929
1	0
0	4
10	0
0	2558
0	46
0	0
215	1509
62	1115
0	1167
0	0
0	4
10	4981
6	2357
960	11886
5506	0
23	2535
0	641
0	17
9	4982
0	152
0	4035
0	0
0	330
45	1102
411	2279
0	781
0	5
0	5719
125	1487
909	0
0	1020
12	1025
0	4860
18	0
15045	0
105	1337
6	2789
392	873
0	0
0	1854
13	1156
0	2
0	0
0	1
0	0
223	3961
226	1028
0	1166
67	1545
0	0
0	0
0	1272
0	371
163	7515
50	2846
0	594734
105	2394
648	2982
4	1
0	64
1837	0
9	1415
0	2386
215	1933
206	2153
0	0
2	0
60	439
1	0
39	0
0	673
0	2
9	0
0	0
1	627
8	1114
64	0
0	385
1	1
0	0
0	1
0	1
0	0
0	15
6	22
0	7
24	5457
36	911
1224	0
0	5
2	5
24	0
0	810
0	97
11	1
0	0
45	147
0	12405
23	0
24	0
0	0
328	0
2578	0
22	0
0	1
0	26787
5	809
2	2412
0	1687
0	3
5	7
0	0
0	0
1	3697
207	3298
0	2658
10	395
1	42
3	220
0	7
0	962
4	8396
0	5491
0	2
0	0
7931	0
903	0
0	0
699	7240
0	1390
2964	0
1	71
11	376
0	3
0	8
80	0
42	0
831	9863
2	26
0	2473
16	4667
0	2085
22	1547
195	2985
553	1778
0	0
0	287
75	3442
0	1
0	46
2	2435
0	0
0	42
340	7223
0	13
223	1925
0	7
2	434
10	243
1	22
1014	744
37	0
0	0
3	0
1	121
0	27
0	0
38	492
71	0
396	6394
16	893
0	0
0	1
4391	0
80	2487
209	2129
15	712
4	153
0	4
5	46
3	14
9	14
0	256
0	37
18	2366
0	1
0	1370
0	52
12	3377
1	0
5	5
0	0
0	16
12245	0
340	2306
13	486
0	8
0	4
1	0
0	22
0	416
0	4088
0	0
26	1603
0	2954
284	321
42	0
145	1036
37	0
26	203
2160	0
1	197
0	101
0	0
0	0
0	18652
2484	1836
0	0
5	791
0	3
0	5118
0	1
0	0
3	0
0	0
16	0
0	6103
0	12
0	0
0	0
4	62
0	1
0	0
0	0
1	604
0	20
0	556
0	4
0	39
0	1
1	0
0	0
0	19
0	443
0	0
2	172
0	0
787	33390
0	5
0	0
0	0
0	3663
961	3659
397	0
426	862
0	0
107	317
2	0
0	2200
258	3149
0	7
20	4
3	3
1	5321
0	48
0	2127
0	1607
0	0
2	0
696	0
0	0
0	42
0	0
0	20
0	655
91	1790
0	1
0	5263
0	0
0	5088
0	0
0	1
559	3275
22	0
255	1786
6	15
0	15
2	6
7	5
0	0
0	0
0	198
1	0
0	1
15	927
0	0
0	0
0	0
0	0
1	2
0	14
449	2651
5	0
0	0
0	0
0	13
0	0
3117	4678
0	1
0	0
8	5
0	17
0	0
5	1
0	0
0	0
3	0
1	4
313	810
0	0
0	9
0	0
1466	2197
0	35
2124	0
0	0
0	24
32	1
101	54
0	0
0	2
1	0
0	0
8	64
0	594
361	3652
72	607
30	0
2	32
0	1978
1	16
0	2310
0	8
0	0
0	34
0	10
77	0
21	0
150	0
0	11
0	1709
1002	0
17	3438
0	0
0	9
542	71
0	0
0	323
0	5716
646	3346
4	0
0	0
2	0
12	25
145	4012
0	4012
0	3981
2	3924
0	14
1	11
13	70
1145	1404
10572	59923
25	161
0	394
0	109
0	956
0	0
0	0
0	0
0	0
8046	0
0	0
0	0
0	128
0	166
135	600
0	2
6	0
29	59
1	0
7	0
38	0
711	0
31	0
2	106
0	0
0	12237
0	2489
46	0
437	1794
0	41
159	1899
99	670
0	52
283	5059
0	0
0	89
0	2
185	1644
0	29872
1	3
4	0
1	0
39	0
1	0
386	1774
9	0
249	2123
1864	0
513	1515
0	0
0	0
0	0
10	99
0	390
0	62
0	9
0	2035
1	356
0	186
6	428
0	553
0	0
526	0
3	2
5	0
3	0
0	0
0	10
106	81
0	8
0	0
0	0
2	149
28	0
0	7
2	312
0	55
1428	903
0	444
604	9
0	22
0	0
0	42
0	1
240	2828
0	1337
0	0
2	491
0	0
0	0
0	10
11	3
0	0
0	0
0	2
0	0
0	5
0	8
0	0
0	0
6	4
51	0
0	12
14	130
3	25
0	2
0	0
0	1
0	3
0	6
7	95
12	27
81	0
827	6866
0	0
2407	0
116	231
0	4
708	21360
0	1
0	7
36	0
0	9
0	0
20	0
0	0
0	0
0	10
1817	8928
0	51
0	2
1	1
1	0
0	0
0	1
0	1
3	93
0	0
