UniqueCount	AmbigCount
0	8
0	16
107	2945
112	244
33	2891
237	3968
0	115
33	2170
16	509
1	24
101	0
3	2
0	6993
117	578
2	2777
14	0
0	0
8	655
0	0
14	170
1	19516
2	0
0	9
0	85
0	2371
0	3
0	0
14	111
4	0
0	833
0	4
0	0
1	667
0	76
26	429
0	0
3	2610
0	1559
67	1015
0	606
0	0
9	252
31	454
0	2623
837	4
0	400
0	64
1	148
0	170
45	0
0	0
0	0
126	321
0	7
0	5
0	57
0	2277
0	10
5	3
0	0
6899	1
7	195
189	3005
0	1
0	0
0	1
0	864
2	796
0	5
15	1035
0	14
35	788
0	30
0	1206
0	0
45	0
0	102
0	153
30	527
0	94
50	0
0	0
7	2605
259	1705
1497	1686
1632	0
1145	94
2	0
0	0
799	0
0	7
340	1531
282	5015
0	823
0	306
1	0
58	1594
370	1199
1	219
0	694
1066	2971
0	4
0	1
1	1209
45	289
0	2610
84	1109
0	821
0	3
4	9313
1761	0
0	3
1	0
1	7
0	0
79	23
0	0
12	0
0	1831
0	983
50	1270
768	0
0	3
5	1484
0	1230
0	837
189	1636
123	305
0	0
0	21307
173	1605
34	357
0	16
0	2
0	13
23	2669
20	259
1566	0
68	190
758	672
3	1176
1327	0
0	1061
0	5
5	1406
0	1
14	319
0	57
3176	0
0	0
0	960
572	531
787	2278
1261	0
0	0
0	8
0	0
0	0
0	10754
0	2236
9	1318
254	2244
0	9946
8	6
0	1741
6640	0
49	2753
0	0
0	0
0	15
0	9
18	5091
14	2342
0	1906
571	1036
0	0
9	9
5954	0
0	865
101	0
0	11
0	2
0	452
1	0
1	2
0	3773
0	54
1	11
4	0
0	0
0	1570
238	25
0	1980
1	11
51	0
0	104
940	0
0	124
983	198
23	0
20	107
0	0
0	0
5	609
0	466
0	0
352	3167
0	0
0	934
0	227
49	0
1	1
8	41
1682	3
0	0
0	3686
186	3389
0	1
303	0
0	305
5	2
11	267
0	0
1	18
0	1931
0	3333
0	5
1	6
0	471
0	2980
0	0
9	6287
2	449
2	94
0	5866
334	2342
0	0
0	1
7	0
0	1778
0	34
1	0
178	1130
51	961
0	794
0	0
0	1
7	3522
6	1764
772	10826
4889	0
22	1897
0	627
0	24
7	4007
0	75
0	2935
0	0
0	263
46	903
316	1862
0	700
0	3
0	4425
109	1189
910	0
0	735
10	756
0	3544
2	0
12177	0
71	961
1	2340
297	759
0	0
0	1144
9	860
0	3
0	3
0	0
0	0
237	3237
207	946
0	814
53	1086
0	0
0	0
0	834
0	311
143	6046
64	2677
0	630455
83	1788
475	2298
1	0
0	36
1477	0
5	1101
0	1832
150	1655
141	1563
0	1
3	0
62	374
0	0
45	0
0	485
0	0
3	0
0	0
1	496
9	760
72	0
0	258
0	1
0	0
0	0
0	1
0	2
0	6
3	17
0	10
30	5165
13	718
807	0
0	5
3	4
23	0
0	505
0	80
10	2
0	0
26	81
0	9379
42	0
35	0
0	0
208	0
1995	0
13	0
0	0
0	21834
8	624
