UniqueCount	AmbigCount
0	26
1	8
75	1757
80	207
35	2039
164	2763
0	109
11	1253
10	384
0	21
53	0
0	0
0	4279
63	327
0	1696
11	0
1	0
12	321
0	0
5	109
1	13904
0	0
0	1
0	36
0	1214
0	3
2	0
25	109
0	0
0	423
0	1
0	0
0	331
1	54
18	311
0	1
3	1570
0	890
26	584
0	451
0	0
7	190
16	302
0	1528
343	2
0	321
1	20
1	114
0	64
8	0
0	0
0	0
104	226
0	4
0	1
0	32
0	1647
0	9
1	2
0	0
4983	4
1	125
136	2483
0	2
0	0
0	2
0	461
4	481
0	6
6	570
1	18
20	479
0	17
0	817
0	0
26	0
0	79
0	109
12	230
0	44
21	0
0	0
5	1888
131	974
1230	1330
1398	0
1340	102
1	0
0	0
723	0
0	3
170	538
158	3639
0	586
0	151
0	0
35	915
276	876
0	174
0	496
673	1711
0	3
0	1
2	747
11	200
3	1637
52	634
0	492
0	2
3	6368
1154	0
0	0
0	0
0	10
0	0
38	9
0	0
8	0
0	1287
0	484
15	851
484	0
0	2
4	904
0	741
0	657
119	1069
89	234
0	0
0	10371
110	1087
2	129
0	14
0	2
0	4
15	2018
9	235
1333	0
56	124
575	417
1	774
935	0
0	804
0	1
2	936
0	0
4	184
0	36
2479	0
0	0
0	628
311	276
559	1834
856	0
0	0
0	2
0	0
0	0
0	7091
0	1257
3	1029
204	1776
1	5890
15	0
0	1107
4009	0
35	1856
0	0
0	0
0	28
0	1
8	3288
6	1341
0	1301
294	634
0	0
7	3
5076	0
0	409
112	0
0	0
0	0
0	337
0	0
4	3
1	2367
0	33
2	10
1	0
0	0
0	877
73	8
0	1544
0	7
49	0
0	76
707	0
0	70
858	153
14	0
8	81
0	2
0	2
0	417
0	314
0	0
244	2139
0	0
0	669
0	66
19	0
3	0
0	2
1075	4
0	0
0	2459
90	2046
0	1
182	0
0	153
2	1
11	151
0	0
0	3
0	1320
0	2206
0	2
0	4
0	200
0	1713
0	0
4	4186
3	276
0	27
1	3715
239	1491
0	0
0	2
2	0
0	1189
0	21
0	0
127	895
18	601
0	412
0	0
0	1
3	2279
6	1209
490	7968
3817	0
15	1266
0	341
0	9
1	3079
0	42
0	2129
0	0
0	89
20	578
194	1437
0	390
0	3
0	3149
54	718
430	0
0	527
5	551
0	2712
4	0
8922	0
45	661
1	1424
254	476
0	0
0	714
3	470
0	1
0	0
0	0
0	0
146	2395
126	650
0	732
43	1169
0	0
0	0
0	728
0	273
84	4394
33	1823
0	53754
67	1668
296	1460
2	0
0	26
1346	0
4	693
0	1314
73	1122
59	842
0	0
4	0
28	254
0	0
27	0
0	334
0	0
1	0
0	0
2	290
5	487
22	0
0	134
0	4
0	0
0	0
0	0
0	0
0	3
5	6
0	5
14	3363
6	533
522	0
0	0
1	4
7	0
0	337
0	29
5	0
0	0
16	56
0	6406
22	0
11	0
0	0
285	0
1602	0
19	0
0	0
0	16694
5	473
2	1599
0	755
0	0
0	0
0	0
0	0
0	2006
129	2231
0	1427
0	247
1	20
1	168
0	2
0	444
0	3245
0	3028
1	0
0	0
4346	0
491	0
0	0
356	3212
0	611
1141	0
1	19
7	149
0	1
0	4
37	0
16	0
380	5557
0	9
0	1488
7	2464
0	1061
15	1023
96	1594
213	856
0	0
0	141
25	1659
0	0
0	28
1	1156
0	0
0	22
177	3705
0	2
112	1091
0	11
0	231
10	122
0	8
656	458
35	0
0	0
0	0
0	52
0	10
0	0
14	166
29	0
206	3025
5	493
0	0
0	0
2974	0
27	872
80	965
1	358
0	71
0	0
1	17
4	14
1	8
0	141
0	23
1	770
1	1
0	819
0	29
10	1766
0	0
3	4
0	0
0	11
8139	0
225	1287
10	257
0	1
0	1
0	3
0	19
3	172
0	2072
0	0
4	606
0	1386
164	205
27	0
73	652
7	0
7	101
701	0
0	122
0	47
0	0
0	0
0	11106
1844	1286
0	0
10	499
0	0
0	2187
0	0
0	0
0	0
0	0
3	0
0	2772
0	2
0	0
0	0
2	42
0	1
0	0
4	0
0	269
0	15
0	338
0	0
0	22
0	0
0	0
0	0
0	10
0	205
0	0
3	41
0	2
420	17586
4	22
0	0
0	0
2	2264
528	2194
131	0
223	485
0	0
45	172
0	0
0	1324
122	1677
0	2
22	9
3	2
0	2871
0	14
0	1039
0	777
0	0
0	0
315	0
0	0
0	26
0	0
0	8
0	313
41	945
0	0
0	2578
0	0
0	2055
0	0
0	0
290	1655
14	0
128	758
4	7
0	1
0	1
9	22
0	0
0	2
0	103
0	0
0	0
7	508
0	0
0	0
0	0
0	1
0	2
0	1
272	1873
3	0
0	0
0	0
0	11
0	0
2087	3509
2	3
0	0
15	1
0	11
0	0
0	0
0	0
0	0
0	0
0	4
147	485
0	0
0	1
0	0
919	1584
4	17
433	0
0	0
0	10
23	2
52	22
0	0
0	1
0	0
0	0
0	26
0	419
200	2151
13	258
8	0
1	6
0	592
0	12
0	895
0	3
0	0
0	22
0	1
37	0
11	0
67	0
2	13
0	720
616	1
4	1768
0	0
0	1
290	35
0	0
0	181
0	2830
334	1805
1	0
0	0
0	0
8	27
68	1696
0	1696
0	1671
1	1644
0	1
1	3
4	35
827	1027
5723	38570
15	115
0	156
0	79
0	682
0	0
0	0
0	0
0	4
4603	0
0	0
0	0
0	52
0	112
74	357
0	1
0	0
6	36
0	0
4	0
20	0
384	0
15	0
1	72
0	0
0	7292
2	1211
16	0
220	1115
0	20
85	1088
63	372
0	30
172	2386
0	0
0	35
0	0
163	1953
0	14750
2	1
3	0
0	0
12	1
1	0
195	1032
2	0
158	1392
981	0
313	1060
0	0
0	0
0	4
7	44
0	152
0	26
0	1
0	908
0	173
0	134
1	221
0	267
0	0
369	0
1	0
5	0
1	0
0	0
0	3
476	528
1	5
0	0
0	0
2	48
5	0
0	2
0	129
0	13
812	615
0	272
304	2
0	3
0	0
0	9
0	0
128	1642
0	689
0	0
1	184
0	0
0	0
0	7
8	6
0	0
0	0
0	0
0	0
2	1
2	2
0	0
0	0
1	4
24	0
0	4
6	87
0	9
0	1
0	0
6	0
0	2
0	3
6	49
2	14
21	0
441	3836
1	0
1345	0
60	147
0	0
268	9730
0	4
0	5
34	0
0	0
0	0
11	0
0	0
0	0
0	1
792	4885
0	47
0	0
0	0
0	0
0	0
0	2
0	0
2	64
0	0
0	0
4	28
0	0
0	7
7	53
0	1
14	167
0	6
0	6972
414	0
4	803
0	0
0	334
1	5
0	0
0	0
0	49
0	16
0	9
8	0
0	1
0	11
0	6
0	1
8	183
70	2465
0	12
0	1
0	14
0	1
22	7
0	0
0	10
0	2
0	2
241	376
548	1085
0	94
0	0
9298	0
0	0
0	0
5	208
4	255
0	564
127	2717
0	3187
0	273
0	6
0	0
0	0
104	3
0	0
0	2
0	0
0	0
0	20
0	0
93	0
1	59
13	32
0	606
0	2109
2179	0
5	66
2	43
0	2
0	0
20	106
0	1596
1	7042
543	46
0	27
0	3
0	2
0	31
35	0
0	4
0	0
0	0
0	3407
0	3
6	49
42	781
0	0
6	287
0	258
49	136
10	700
8	0
0	32
0	22
0	1
0	2
8	0
0	6
0	35
0	25
0	0
0	71
99	1678
555	10577
0	3342
7	391
0	24
0	417
0	27
7	122
29	2769
0	4
1	527
0	0
0	0
29	291
0	498
0	324
0	2
0	3642
0	0
4670	0
212	4203
10	21
0	0
1116	0
6942	0
826	0
0	1499
2320	0
1240	0
106	912
0	1
0	1
0	511
0	20
0	30
0	0
0	0
7	0
24	0
10	5
0	7
2	5
84	7
0	7
43	0
2	445
0	46
11	95
18438	33990
66631	0
20361	27582
1402	40018
