UniqueCount	AmbigCount
0	34
0	7
59	1733
78	263
57	2966
160	3306
0	113
17	1650
24	634
3	22
61	0
0	1
0	3958
78	274
2	1815
17	0
1	0
4	412
0	0
8	152
0	17331
0	0
0	1
0	69
0	1440
0	7
1	0
19	120
1	0
0	488
0	2
0	0
0	403
0	39
21	349
0	1
3	2482
0	1207
47	774
0	473
0	0
4	205
16	282
0	2034
675	4
0	309
0	26
1	93
0	94
45	0
0	0
0	0
155	291
0	10
0	7
0	14
0	2649
0	4
5	0
0	0
5398	4
5	135
165	2816
0	2
0	1
3	2
0	821
4	457
0	7
7	752
0	17
16	523
0	12
0	1259
0	0
57	0
0	61
0	105
8	263
0	49
65	0
0	0
0	2091
155	990
1330	1533
1309	0
1126	112
2	0
0	1
848	0
0	0
236	730
218	3511
0	575
0	228
0	0
47	976
302	934
0	128
0	604
807	2391
0	13
0	2
0	950
17	246
1	1581
64	825
0	647
0	0
9	7249
1666	0
0	1
0	0
0	8
0	1
24	5
0	0
9	1
0	1562
0	600
20	879
511	0
0	3
7	937
0	842
0	653
157	1239
60	215
0	0
0	19568
145	1179
30	416
5	25
0	15
0	5
12	2531
15	282
1402	0
63	144
610	611
5	577
1015	0
0	1210
0	4
4	1404
0	4
4	145
0	85
3320	0
0	0
0	609
396	402
561	1990
949	0
0	0
0	5
0	0
0	0
0	9493
0	2027
5	1218
208	2043
0	8733
7	11
0	1644
5343	0
42	2025
0	0
0	0
0	5
0	0
16	4280
17	2169
0	1394
295	856
0	0
3	4
5577	0
1	413
106	0
0	0
0	1
0	525
0	0
5	0
0	3276
0	62
0	6
7	0
0	0
0	1464
145	15
0	1783
0	7
35	0
0	86
1080	0
0	142
1097	236
37	0
9	66
0	5
0	2
1	508
0	464
0	0
357	2897
0	0
0	703
0	169
32	0
0	2
6	8
1493	4
0	0
0	2406
89	1866
0	4
257	0
0	215
0	4
5	128
0	0
0	11
0	1629
0	2483
0	0
0	6
0	340
0	1351
0	0
7	4780
0	281
0	18
0	5059
230	1782
0	0
0	5
5	0
0	1171
0	22
0	0
211	979
