UniqueCount	AmbigCount
0	1
0	0
16	260
11	31
7	336
18	315
0	15
3	181
2	50
0	9
21	0
1	0
0	487
9	28
0	169
1	0
0	0
4	77
0	0
1	18
0	1436
0	0
0	0
0	8
0	198
0	1
0	0
3	8
0	0
0	76
0	0
0	0
0	60
0	3
1	38
0	0
0	212
0	171
5	96
0	54
0	0
2	13
2	49
0	208
66	0
1	30
0	1
0	10
0	9
2	0
0	0
0	0
26	33
0	0
0	0
0	2
0	285
0	0
1	0
0	0
635	0
0	22
22	242
0	0
0	0
0	0
0	63
0	49
0	0
0	116
0	2
2	75
0	2
0	80
0	0
5	0
1	8
0	25
2	39
0	2
0	0
0	0
1	307
18	76
115	159
113	0
131	4
0	0
0	0
80	0
0	0
17	80
40	476
0	84
0	28
0	0
9	105
37	110
0	14
0	75
88	213
0	2
0	0
0	75
2	32
0	218
17	66
0	80
0	0
0	553
196	0
0	0
0	0
0	0
0	0
10	1
0	0
2	0
0	194
0	82
2	69
78	0
0	0
1	143
0	146
0	195
13	102
6	32
0	0
0	1262
15	108
0	17
0	0
0	2
0	1
0	377
0	39
118	0
15	25
83	74
1	138
101	0
0	92
0	0
1	77
0	0
3	42
0	8
206	0
0	0
0	73
60	50
67	180
127	0
0	0
0	2
0	0
0	0
0	843
0	264
0	113
15	211
0	680
0	0
0	184
648	0
4	221
0	0
0	0
0	1
0	0
1	365
0	156
1	140
41	72
0	0
1	0
532	0
0	58
8	0
0	0
0	0
0	92
0	0
1	0
0	371
0	10
0	0
0	0
0	0
0	168
7	0
0	254
0	0
5	0
0	17
184	0
0	15
166	38
2	0
1	14
0	0
0	0
0	45
0	69
0	0
23	180
0	0
0	82
1	1
5	0
0	1
0	0
186	1
0	0
0	433
11	267
0	0
58	0
0	31
0	1
0	27
0	0
0	0
0	199
0	286
0	0
0	0
0	31
0	245
0	0
1	454
0	40
0	2
0	610
39	162
0	0
0	0
0	0
0	149
0	1
0	0
17	133
7	106
0	116
0	0
0	0
0	399
1	144
91	713
367	0
4	128
0	21
0	1
1	376
0	9
0	210
0	0
0	21
1	69
26	135
0	43
0	1
0	285
6	72
41	0
0	87
1	45
0	374
0	0
884	0
4	112
0	190
16	55
0	0
0	179
0	77
0	0
0	0
0	0
0	0
15	276
12	61
0	79
1	112
0	0
0	0
0	105
0	35
13	539
1	202
0	1
6	189
43	214
1	0
0	5
88	0
0	88
0	181
13	117
10	103
0	0
1	0
8	23
0	0
2	0
0	41
0	0
0	0
0	0
0	40
0	68
1	0
0	24
0	0
0	0
0	0
0	2
0	0
0	3
0	1
0	0
1	325
0	36
84	0
0	0
0	0
0	0
0	62
0	5
2	0
0	0
2	12
0	673
0	0
1	0
0	0
32	0
287	0
1	0
0	0
0	1650
0	30
0	131
0	126
0	0
0	1
0	0
0	0
0	213
14	221
0	153
1	18
0	0
0	13
0	0
0	70
0	485
0	257
0	0
0	0
421	0
42	0
0	0
26	279
0	96
302	0
0	2
1	20
0	0
0	0
6	0
3	0
53	642
0	3
0	227
1	296
0	106
3	74
18	201
57	135
0	0
0	18
6	215
0	0
0	4
0	167
0	0
0	0
17	357
0	1
17	121
0	0
0	28
2	18
0	1
33	29
8	0
0	0
0	0
0	10
0	0
0	0
5	50
2	0
31	369
0	45
0	0
0	0
321	0
7	209
12	121
1	49
1	8
0	0
1	4
1	1
1	1
0	14
0	2
1	194
0	0
0	89
0	2
1	265
0	0
2	0
0	0
0	3
718	0
32	152
1	31
0	0
0	0
0	0
0	0
0	31
0	233
0	0
0	77
0	178
19	20
1	0
5	54
0	0
1	16
109	0
0	10
0	14
0	0
0	0
0	1583
266	164
0	0
2	89
0	0
0	353
0	0
0	0
0	0
0	0
1	0
0	433
0	0
0	0
0	0
0	13
0	0
0	0
0	0
0	25
0	3
0	38
0	0
0	0
0	0
0	0
0	0
0	0
0	15
0	0
0	13
0	0
52	2153
0	0
0	0
0	0
0	333
74	284
32	0
25	64
0	0
6	30
0	0
0	178
17	270
0	1
2	0
0	0
0	389
0	8
0	95
0	95
0	0
0	0
43	0
0	0
0	0
0	0
0	1
0	31
7	136
0	0
0	419
0	0
0	331
0	0
0	0
45	244
0	0
22	138
1	1
0	1
0	0
1	0
0	0
0	0
0	16
0	0
0	0
0	41
0	0
0	0
0	0
0	0
0	1
0	0
33	253
0	0
0	0
0	0
0	0
0	0
230	328
0	0
0	0
2	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
20	51
0	0
0	0
0	0
106	167
3	4
174	0
0	0
0	0
5	0
9	4
0	0
0	0
0	0
0	0
0	4
0	58
23	234
2	46
1	0
0	0
0	160
1	0
0	221
0	0
0	0
0	3
0	0
5	0
3	0
12	0
0	0
0	124
76	0
2	258
0	1
0	0
44	8
0	0
0	22
0	321
46	230
1	0
0	0
0	0
0	2
6	169
0	169
0	169
1	168
0	0
0	0
1	8
88	118
984	5068
1	10
0	22
0	5
0	92
0	0
0	0
0	0
0	0
428	0
0	0
0	0
1	6
0	8
6	45
0	0
0	0
3	4
0	0
0	0
3	0
52	0
4	0
0	6
0	0
0	1244
1	144
1	0
24	107
0	2
19	131
11	43
0	4
22	307
0	0
0	9
0	0
6	90
0	2344
0	0
0	0
0	0
0	0
0	0
44	141
1	0
10	100
119	0
36	101
0	0
0	0
0	0
1	19
0	21
0	7
0	0
0	158
0	19
0	27
1	30
0	53
0	0
74	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	10
1	0
0	0
0	34
0	4
122	59
0	47
46	2
0	4
0	0
0	0
0	0
21	188
0	86
0	0
0	30
0	0
0	0
0	3
2	1
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
2	0
0	2
1	7
0	1
0	0
0	0
0	0
0	0
0	1
0	5
0	5
3	0
46	400
0	0
193	0
10	19
0	0
53	1192
0	0
0	0
4	0
0	0
0	0
0	0
0	0
0	0
0	0
102	538
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	8
0	0
0	0
0	4
0	0
0	0
1	13
0	0
1	56
0	0
0	769
67	0
1	115
0	0
0	37
0	0
0	1
0	0
0	16
0	0
0	0
25	0
0	1
0	2
0	0
0	3
0	35
8	279
0	0
0	0
0	3
0	1
3	0
0	0
0	3
0	0
0	0
40	49
50	88
0	8
0	0
930	0
0	0
0	1
0	29
0	24
0	67
25	295
0	663
0	14
0	1
0	0
0	0
16	0
0	0
0	0
0	0
0	0
0	0
0	0
6	0
0	9
0	3
0	41
0	414
466	1
0	7
0	6
0	0
0	0
0	7
0	147
0	1192
52	0
0	1
0	0
0	0
0	1
6	0
0	0
0	0
0	0
0	519
0	0
0	7
5	98
0	0
1	51
0	39
11	13
0	50
1	0
0	3
0	5
0	0
0	0
8	0
0	1
1	4
0	6
0	0
0	4
12	231
90	1173
0	376
1	46
0	11
0	69
0	11
0	17
4	290
0	0
0	38
0	0
0	0
3	43
0	102
0	46
0	0
0	482
0	0
696	0
26	470
0	3
0	0
119	0
478	0
84	0
0	163
262	0
255	0
20	109
0	0
0	0
0	54
0	4
0	3
0	0
0	0
1	0
4	0
0	0
0	0
0	0
18	0
0	5
5	0
1	59
0	7
0	14
3911	5701
9723	0
3333	3248
233	4358
608	3378
7312	0
898	6320
623	2375
2356	22
455	4527
2759	0
1961	1649
3321	0
639	3395
1599	19
1912	0
3988	0
226	1852
3536	0
1283	1689
1353	1589
996	0
2706	2
945	1062
1682	1874
763	1183
809	1332
2	1092
342	1041
1335	0
1671	0
642	160
1813	0
282	2
0	140
0	0
0	0
0	297
0	0
0	1060
213	33
0	0
0	162
0	0
0	5
0	0
0	223
0	59
0	58
1	66
0	38
0	0
0	0
1	216
137	0
0	0
2	0
0	0
0	0
0	19
0	9
0	26
0	404
1	403
0	0
0	0
0	0
0	426
1	117
0	0
0	121
0	8
0	0
0	115
1	78
0	99
0	433
0	469
0	467
0	11
26	1
0	315
4	146
1	7
0	0
1	0
0	0
0	0
1	192
0	224
0	2
0	0
5	232
0	42
9	0
0	136
23	339
0	33
0	26
0	25
0	32
0	27
0	26
0	29
0	28
0	25
0	22
0	25
0	26
0	27
0	22
0	29
0	30
0	31
0	26
0	26
3	113
5	52
0	0
0	0
0	0
0	0
8	46
8	0
0	10
0	0
10	91
0	7
0	0
0	0
1	18
0	18
0	0
2	52
0	0
0	0
0	0
20	24
0	1
0	140
0	0
0	0
0	0
0	0
1	21
2	1
0	0
0	0
0	0
0	91
0	0
0	0
98	68
0	0
1	7
55	0
0	0
0	0
0	0
0	0
0	0
0	4
348	0
0	20
0	0
0	0
0	0
0	1
0	68
1	3
0	708
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	89
0	87
0	61
0	60
0	14
1	955
0	6
1	1068
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	9
0	562
0	208
11	96
0	160
0	37
0	241
0	390
0	244
0	352
0	391
571	6502
0	162
0	160
0	161
0	0
5	109
12	107
5	27
0	13
0	74
0	74
0	317
0	3
83	164
0	12
0	146
0	597
3	211
1	254
0	0
0	0
0	0
0	0
0	0
0	0
1	74
1	29
12	131
33	163
19	124
17	176
2	164
14	228
9	141
0	0
0	0
2	95
5	480
0	41
0	87
0	105
0	1
0	78
3	27
0	0
0	0
0	0
0	309
0	0
0	107
3	192
12	60
0	36
0	0
3	35
0	0
14	108
0	20
0	883
0	1
5	149
0	101
1	134
28	87
0	20
0	36
0	0
0	43
0	42
6	349
1	347
0	111
0	100
1	37
0	191
0	187
0	179
5	51
0	4
0	0
0	0
0	0
0	240
0	0
0	0
5	24
0	14
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	231
0	0
212	0
2555	574
0	92
0	111
0	117
0	39
0	0
0	196
0	0
0	152
1	34
0	13
0	11
4	77
0	73
0	36
0	229
0	132
1	244
0	1
0	1
26	49
0	84
4	65
9	30
0	0
0	102
19	118
5	107
0	122
3	123
0	114
6	140
19	9
77	140
1	33
0	400
97	101
0	2
0	61
1	61
1	181
0	0
0	0
1	0
3	50
0	82
0	84
0	84
0	45
1	11
0	17
0	29
0	29
0	17
7	3
122	328
0	0
12	151
0	144
0	140
0	30
0	12
0	0
1	582
0	1
0	39
0	14
0	4
0	99
0	0
1	6
0	230
0	0
0	0
0	0
4	80
0	1
2	11
0	0
0	0
0	0
0	31
5	79
0	27
0	26
0	77
0	0
0	364
1138	0
0	1
1	19
2	204
0	0
0	5
0	7
0	6
0	0
0	0
0	895
0	0
0	0
0	168
0	972
0	175
19	204
0	0
22	0
15	13
9	154
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
31	0
0	1
0	119
0	1
0	0
0	6
0	0
0	0
0	0
1	5
0	0
18	532
0	1
0	0
0	0
2	0
0	0
0	0
2	0
0	0
140	105
0	0
0	79
0	0
0	0
0	2
1	0
0	23
0	0
0	1
0	0
133	0
5	141
0	141
0	0
0	0
1	9
0	51
10	35
0	0
3	19
0	3
0	0
0	12
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	6
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	109
0	62
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
26	7237
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	167
5	53
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
6	104
0	0
0	0
0	0
0	275
0	0
0	274
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	29
2	113
0	0
0	0
0	0
0	0
0	0
0	2
0	0
1	399
0	398
1	870
0	51
0	0
0	0
34	64
0	14
2	390
2	117
0	0
0	343
0	315
2	313
0	0
0	142
0	3
0	28
0	231
0	59
0	43
0	0
0	11
1	19
1	1190
0	6
0	5
4	54
0	0
0	36
5	147
25	335
0	24
0	11
1	227
0	102
7	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	12
0	243
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	24
0	0
0	0
0	0
0	6
0	0
0	0
0	17
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	31
0	0
0	0
0	0
0	41
0	2
0	41
0	2
0	17
0	18
0	101
0	0
5	133
10	137
1	135
0	129
0	133
0	138
0	53
0	53
0	190
0	0
0	196
6	134
2	336
0	0
0	0
0	0
4	733
0	0
1	33
0	0
5	52
4	239
0	230
0	38
0	62
0	59
0	7
3	3
0	44
0	194
0	0
9452	234
6	165
0	12
0	121
0	0
0	0
0	0
0	0
0	231
1	60
0	34
0	71
1	235
28	223
2	216
1	15
2	84
0	250
0	91
0	209
0	201
2	193
54	53
11	55
0	131
0	132
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	146
5	136
0	10
0	1
7	137
0	137
2	66
0	61
0	22
2	131
0	140
0	23
0	108
0	4
1	24
0	17
0	17
12	355
0	53
1	11
50	243
5	225
0	0
0	0
3	137
3	23
0	45
9	40
3	96
0	42
11593	0
0	61
0	0
1	183
0	195
0	290
0	115
0	0
0	229
0	216
1	228
1	216
0	11
1	1341
3	1341
0	165
2	34
0	0
4	0
0	56
0	5
0	27
0	374
0	293
0	31
0	47
0	0
0	0
0	46
0	6
1	5
0	0
0	23
20	0
2	268
0	235
4	247
0	247
22	247
0	249
0	249
0	1
0	0
1	41
0	11
0	175
0	74
0	0
0	0
0	0
0	249
190	29
6	8
0	247
2	3
0	5
0	103
0	12
0	12
0	0
4	52
2	56
0	4
0	3
0	4
0	31
13	142
0	51
0	84
11	438
0	0
0	0
0	0
0	3
0	1
0	85
0	0
0	0
0	0
0	0
0	0
0	0
233	0
0	0
0	0
0	0
6	3683
0	250
5	70
60	0
0	360
1	29
0	0
0	1
30	395
0	157
0	0
0	133
0	133
0	133
102	0
10	74
0	0
0	0
0	2
0	0
0	196
2	12
0	305
0	48
0	0
0	1
0	1
34	0
0	81
0	0
0	0
0	0
0	0
0	0
0	0
224	0
0	0
3	556
3	0
0	169
19	107
0	0
0	110
0	244
11	127
0	37
0	0
0	138
0	1
0	144
0	123
2	98
0	150
0	12
0	917
0	913
0	988
7	56
0	0
0	0
0	0
0	0
6	68
11	377
0	230
0	0
0	0
0	0
2	0
1	237
0	319
1	161
0	84
3	282
0	41
0	394
0	309
0	176
3	172
0	0
5	80
0	102
0	176
2	28
0	21
0	117
9	41
3	286
1	34
0	33
2	29
0	2
0	87
0	56
0	128
4	0
0	0
0	0
0	95
0	1
0	0
0	0
0	0
0	0
0	61
5	0
0	0
1	1597
0	24
5	466
0	133
2	135
0	114
0	158
4	1120
0	0
0	74
93	874
6	36
3386	0
0	0
0	45
0	49
37	279
0	27
2	832
172	0
0	22
0	118
0	0
0	0
0	580
2	21
0	852
0	76
0	109
0	0
3	41
2	0
6	8
0	0
1	0
0	0
0	0
0	0
0	0
0	99
1	0
0	110
0	44
0	173
3	248
0	249
127	0
0	92
0	21
0	0
0	142
0	108
0	389
0	391
29	416
0	0
10	169
0	163
1	156
13	45
1	80
0	29
1	27
0	179
2	79
1	164
0	20
0	0
0	75
0	40
0	2
0	2
9	537
1	0
0	95
0	0
0	141
0	550
4453	0
0	49
23	12
0	1
1	0
0	35
3	50
8	0
0	384
1	162
0	0
0	0
282	0
0	0
3	0
0	1
1	37
0	0
58	36
7	54
2	0
0	2
10	22
0	0
0	0
1	62
0	0
0	8
0	17
0	45
0	1
196	0
0	0
0	11
0	3
0	0
0	0
0	261
1	0
1	0
3	30
0	0
0	0
1	3
0	1
0	0
0	0
0	3
1	0
0	0
14	0
0	0
0	5
3	0
0	1
1	0
0	0
5	169
18	61
0	23
0	0
0	0
0	0
0	0
0	238
0	82
0	0
0	0
22	338
0	0
2	3
0	327
1	11
0	0
0	0
0	0
0	0
0	102
5	121
2	108
0	5
0	215
0	0
0	117
3110	0
0	191
0	8
0	8
0	290
0	0
0	0
0	434
0	0
0	0
0	0
0	0
12	49
0	2
0	398
0	4
0	0
0	273
0	36
0	0
4	118
9	134
0	138
1	43
2	49
0	43
4	38
8	47
0	37
0	0
0	7
0	0
7	534
0	0
127	0
0	0
0	0
2	0
0	1
0	52
3	178
2	178
0	0
0	1
1	411
7107	0
0	242
0	0
0	64
3	315
4	392
0	0
0	0
16	16
0	1
0	182
0	0
0	0
0	0
0	79
3	133
0	2
5	541
1	540
0	0
0	3
25	369
0	18
0	0
0	46
0	88
0	58
0	71
0	41
0	70
0	0
0	0
0	0
0	0
0	1
0	7
0	6
0	0
0	204
1	194
0	4
0	0
0	3
1	6
11	82
186	994
0	2
0	0
0	4
0	42
40	75
0	0
0	0
18	21
0	0
0	0
0	241
0	131
0	215
0	332
0	5
0	5
0	2
1	5
0	5
0	2
0	0
2	19
1	17
2	1
6	551
3	550
0	0
0	0
0	0
14	0
0	5
0	0
0	0
2	67
0	0
2	0
13	197
0	162
0	137
0	177
1	0
2	58
6	22
0	107
0	5
0	91
1	92
1	75
0	0
3	35
0	2
0	11
0	0
0	0
0	7
106	0
0	20
0	0
0	0
0	0
0	3
0	0
0	0
10	16
0	0
0	0
2	71
0	6
6	57
0	117
0	0
162	22
55	2018
0	113
55	547
0	0
0	0
0	0
31	123
0	2
0	0
0	0
0	0
0	0
0	0
0	4
0	356
0	0
0	109
0	0
0	53
0	0
7	146
0	83
0	638
0	581
0	0
16	1
14	21
4	199
0	5
0	0
1	0
0	0
0	40
0	0
0	0
0	0
0	0
4	0
0	0
0	0
10	23
0	9
0	0
0	11
104	3
0	0
4	0
1	5
0	0
1	38
0	21
0	0
45	0
1	0
0	0
0	0
2	39
0	0
0	1
0	231
2	0
0	3
0	0
0	0
0	0
0	1
0	0
0	62
0	70
0	70
2	37
0	309
1	4
0	20
0	220
0	64
0	130
95	4193
16	0
0	17
0	74
0	0
0	0
0	0
0	74
5	268
0	273
24	180
0	0
0	0
0	183
0	142
0	0
0	0
0	65
2	246
29	42
0	0
0	0
1	78
0	0
0	68
0	153
7	43
0	53
4	154
0	148
0	10
0	14
0	41
0	0
10	79
0	203
6	200
0	151
1	161
0	195
19	184
10	214
61	181
0	203
1	109
0	295
1	0
0	0
1	7
0	0
1	0
0	0
0	5
0	4
0	5
9	42
27	65
3719	0
0	37
0	141
0	33
0	0
0	41
3	186
0	187
1	8
0	27
21	98
0	200
0	93
0	56
0	55
6	0
1	8
16	33
14	246
0	4
0	4
0	187
7	847
4	31
0	97
0	4
4	60
2	150
2499	0
1602	0
0	0
0	0
0	0
0	0
0	0
0	0
3	77
17	429
1	46
2	243
1	13
0	0
0	0
0	26
0	327
0	50
0	24
0	0
0	0
0	1
0	1
0	1
0	122
15	301
2	537
0	537
0	0
0	0
0	54
0	458
0	18
0	18
0	10
0	0
0	9
0	0
0	3
0	0
0	53
0	55
5	69
0	25
0	25
0	24
0	0
0	18
0	18
0	15
0	27
0	27
0	169
0	0
11	0
0	42
3	10
0	0
4	193
0	7
20	55
0	0
0	0
0	403
0	352
0	373
0	2
0	220
0	5363
42	55
3	11
0	87
0	0
1	15
0	115
0	117
3	22
0	109
0	0
14	70
17	332
63	0
0	0
0	27
8	0
0	0
0	0
3	0
0	145
57	300
0	101
609	1518
0	107
0	101
10	129
0	62
0	17
0	83
0	53
0	7
0	67
0	66
0	3
0	3
0	70
37	12
11	12
0	0
0	148
10	134
0	50
0	8
0	0
0	0
0	0
0	0
0	0
1	132
0	107
0	19
0	197
0	75
0	40
0	7
0	0
