UniqueCount	AmbigCount
0	36
4	17
285	5588
247	585
120	6978
621	8074
0	283
52	4236
35	1226
0	63
249	0
5	6
0	12073
249	921
0	5172
20	0
1	0
36	1209
0	0
43	492
4	36302
0	0
0	5
0	184
0	4376
0	4
0	0
65	288
0	0
0	1693
0	11
1	0
2	1212
0	212
40	804
0	2
9	6532
0	3541
106	1997
0	1507
0	0
18	596
49	944
0	5172
1836	2
3	1055
1	54
1	305
0	262
77	0
0	1
0	0
300	536
0	15
0	4
6	88
0	6045
0	20
1	4
0	0
12893	3
7	507
610	6149
0	2
0	1
4	16
0	2199
18	1550
0	11
19	2099
4	53
80	1403
0	59
0	3326
0	0
141	0
2	254
0	400
36	1047
0	305
113	0
0	7
12	5695
579	3175
3699	3999
2715	0
3285	166
5	0
0	1
2445	0
0	12
768	2357
648	9657
0	1896
0	519
0	0
176	3642
814	2463
1	476
0	1981
2284	5685
0	10
0	2
3	2210
96	831
8	4883
147	1979
0	1682
0	1
19	19664
3922	0
0	1
0	0
0	18
0	0
165	50
0	0
11	1
2	4194
0	1703
85	2505
2128	0
0	11
18	2625
0	2983
0	2902
391	2975
236	585
0	0
0	32556
403	3133
69	748
2	52
0	10
0	27
35	7170
40	737
3621	0
174	445
1411	1172
25	1797
2718	0
0	2281
0	23
19	2654
0	3
30	672
0	186
7368	0
0	0
0	1907
1155	999
1776	4857
2545	0
0	0
0	18
0	0
0	1
0	19627
0	5116
15	3042
540	4949
3	18133
21	15
0	3534
12471	0
82	5361
0	0
3	0
2	45
3	7
45	9420
20	4533
2	3870
1178	1965
0	1
25	35
14374	0
0	1500
306	0
0	6
0	0
0	1293
0	0
10	7
2	7291
0	189
4	9
2	0
0	0
1	3320
327	32
0	4409
2	29
92	0
0	291
2611	0
0	302
2813	572
22	0
36	288
0	3
0	17
2	1156
0	1442
0	0
659	5528
0	0
0	2892
0	241
117	0
0	2
11	26
3654	10
0	0
0	8691
364	7224
0	2
760	0
0	559
5	4
34	529
0	0
0	30
0	4420
0	6764
0	2
0	9
0	774
0	4801
0	0
15	10619
4	854
15	145
1	12821
853	4802
1	0
0	0
6	0
0	3477
0	63
0	0
340	2581
123	2248
0	2047
0	1
0	6
28	7586
8	3397
2402	19414
10937	0
31	4363
0	1034
0	52
21	7798
0	134
0	6180
0	0
0	422
65	1732
751	3644
0	1398
0	31
0	8738
168	1882
1499	0
0	1750
