UniqueCount	AmbigCount
0	23
2	5
91	2431
138	291
63	4256
255	3480
0	173
19	1869
26	659
1	37
205	0
1	0
0	5377
84	401
0	2040
7	0
0	0
24	825
0	0
15	193
3	20580
0	0
0	4
0	157
0	1724
0	2
1	0
25	162
0	0
0	709
0	4
0	0
1	607
0	97
28	374
0	0
4	2136
0	1337
51	732
0	715
0	0
2	176
23	497
0	2178
538	2
2	426
1	17
5	141
0	86
41	0
0	0
0	0
149	356
0	1
0	2
3	50
0	2848
0	6
0	6
0	0
7128	0
8	257
382	3116
1	1
0	0
1	4
0	540
5	553
0	6
6	810
7	15
44	854
0	9
0	1738
0	0
56	0
0	77
0	170
24	634
0	167
59	0
0	0
5	2775
207	1301
1835	2072
1747	0
1676	135
0	0
0	0
1046	0
0	3
286	887
259	4686
0	959
0	218
0	0
50	1590
315	1036
0	207
0	817
1112	3004
0	19
0	0
0	1052
39	472
0	2480
81	761
0	791
0	2
16	7089
2093	0
0	0
0	0
2	2
0	0
69	30
0	0
4	1
3	2387
0	850
37	1248
941	0
0	1
16	1450
0	1627
0	1977
169	1162
137	385
0	0
0	12309
216	1401
17	257
0	10
0	7
0	10
48	4083
20	300
2015	0
116	270
851	846
9	1287
1287	0
0	1246
0	7
6	989
0	5
13	361
0	110
3074	0
0	0
0	808
535	450
674	2012
1679	0
0	0
0	2
1	0
0	0
0	10811
0	2105
10	1660
284	2404
0	8572
11	7
0	1690
6532	0
59	2502
0	0
0	0
0	8
2	6
22	4687
4	2237
1	1615
454	843
0	0
20	12
5429	0
0	820
174	0
0	2
0	1
0	778
0	0
8	1
0	3639
1	124
0	10
4	0
0	0
0	1572
124	19
0	1933
0	9
27	0
0	228
1411	0
0	154
1137	242
7	0
17	147
0	1
0	3
2	731
0	683
0	0
310	2697
0	0
0	1097
0	97
61	0
0	2
0	4
1673	6
0	0
0	5904
189	2765
0	0
450	0
0	308
2	3
8	253
0	0
0	20
0	2447
0	3000
0	1
1	8
0	343
0	2022
0	0
13	5397
0	376
1	29
0	5498
282	1860
0	0
0	0
6	0
0	1333
0	27
0	0
170	1274
78	1118
0	1012
0	0
0	2
6	2678
4	1897
950	8792
4605	0
20	1615
0	358
0	9
16	4022
0	133
0	2520
0	2
0	240
31	801
429	1779
0	577
0	7
0	4370
100	1140
547	0
0	778
6	792
0	4326
4	0
10655	0
112	1222
5	1739
312	807
0	0
0	2054
8	861
0	1
0	0
0	0
0	0
258	3541
151	827
0	850
50	1069
0	0
0	0
0	1075
0	333
196	5303
49	2058
0	154653
81	1808
441	2009
0	0
0	56
1281	0
7	848
0	2181
194	1521
126	1073
0	0
1	0
60	396
0	0
31	0
0	413
0	0
2	0
0	0
3	359
15	804
53	0
0	283
0	2
0	0
0	3
0	0
0	1
0	5
2	23
0	2
17	3820
34	735
1142	0
0	3
2	2
8	0
0	529
0	104
5	1
0	0
26	91
0	10459
15	0
36	0
0	0
418	0
2485	0
26	0
0	0
0	22624
1	579
2	1599
0	1306
0	0
9	6
0	0
0	0
0	2566
215	2583
0	2076
5	390
0	17
4	197
0	4
0	659
5	5460
0	3559
1	2
0	0
5465	0
688	0
0	0
590	4202
1	863
2382	0
0	44
3	250
0	0
0	6
59	0
23	0
1001	8434
1	19
0	2575
19	3211
0	1784
