UniqueCount	AmbigCount
0	46
0	4
55	1611
97	226
53	2391
158	2584
0	159
16	1399
7	527
1	44
71	0
0	0
0	4068
32	234
0	1487
13	0
0	0
15	475
0	0
9	154
2	13163
0	0
0	1
0	108
0	1845
0	5
0	0
10	144
0	0
0	431
0	2
0	0
1	448
0	28
20	444
0	0
0	1714
0	850
28	594
0	479
0	0
11	267
15	374
0	1521
488	1
1	347
0	13
0	123
0	69
17	0
0	0
0	0
131	272
0	2
0	1
0	12
0	2444
0	10
0	1
0	0
5546	0
5	145
195	3600
0	0
0	0
1	1
0	460
3	478
0	1
3	788
4	25
30	548
0	11
0	1166
0	0
41	0
0	38
0	103
12	380
0	34
21	0
0	0
3	2051
141	1123
1373	2031
1565	0
1983	275
0	0
0	0
821	0
0	1
233	666
169	3502
0	636
0	209
0	0
30	1004
305	976
0	180
0	538
548	1779
0	4
0	0
3	980
37	321
0	1575
72	579
0	666
0	0
6	6488
1703	0
0	0
0	0
0	2
0	0
42	7
0	0
13	0
1	1474
0	645
30	643
675	0
0	3
5	1262
0	1247
0	1173
111	807
72	202
0	0
0	9945
148	1072
11	150
0	6
0	2
0	3
36	2586
16	237
1613	0
86	202
761	935
4	821
985	0
0	1078
0	4
4	976
0	3
15	192
0	76
2054	0
0	0
0	599
327	443
465	1540
950	0
0	0
0	4
0	0
0	2
0	7503
0	1813
9	1405
251	1786
0	6664
10	5
0	1601
4704	0
47	1882
0	1
0	0
0	26
0	0
9	3513
4	1379
1	1193
233	571
0	0
14	16
4214	0
0	452
120	0
0	0
0	0
0	601
0	0
9	0
0	2625
0	68
0	16
5	0
0	0
0	1078
108	22
0	1699
0	14
52	0
0	130
1104	0
0	83
997	325
19	0
15	97
0	3
0	6
1	471
0	387
0	0
240	1883
0	0
0	548
0	98
13	0
0	0
0	3
1153	0
0	0
0	3127
95	1679
0	1
278	0
0	269
2	1
4	203
0	0
0	2
0	1717
0	2209
0	0
0	3
0	247
0	1379
0	0
14	4092
2	274
3	14
0	4525
251	1331
0	0
0	0
5	0
0	1239
0	12
0	0
256	1024
61	991
0	624
0	1
0	1
8	2273
2	1297
424	8152
3646	0
10	1109
0	296
0	20
2	3086
0	43
0	2391
0	0
0	158
32	498
208	1837
0	359
0	5
0	2933
36	912
382	0
0	631
8	542
0	2983
6	0
8322	0
70	742
3	1576
190	607
0	0
0	996
6	570
0	0
0	0
0	0
0	0
173	2727
129	671
0	711
51	1103
0	0
0	0
0	910
0	353
40	3445
37	1670
0	0
109	1842
262	1630
1	1
0	35
1462	0
7	700
0	1667
105	1197
92	709
0	0
0	0
55	257
0	0
37	0
0	279
0	2
2	0
0	0
2	365
2	584
29	0
0	174
0	0
0	0
0	0
0	0
0	1
0	3
2	1
0	3
3	2892
10	716
763	0
0	0
4	1
9	0
0	395
0	23
3	0
0	0
19	119
0	6484
22	0
13	0
0	0
423	0
2148	0
14	0
0	0
0	17657
2	499
1	1334
0	855
0	1
4	1
0	0
0	0
0	1742
143	2492
0	1653
6	261
0	22
2	176
0	3
0	450
0	3163
0	2442
0	1
0	0
4362	0
519	0
0	0
644	4265
0	624
1108	0
0	15
11	119
0	0
0	5
34	0
17	0
818	6740
1	26
0	1661
8	2413
0	1395
15	1038
110	1795
270	1042
0	0
0	306
49	1488
0	0
0	25
0	1267
0	0
1	33
189	3820
0	4
114	943
0	2
2	290
4	134
1	4
891	423
36	0
0	0
0	0
0	94
0	18
0	1
28	342
38	0
318	3230
6	521
0	0
0	0
3208	0
77	1597
105	1236
10	357
1	97
0	0
2	13
0	8
1	4
0	175
0	22
11	1945
2	0
0	829
0	19
10	2053
0	0
17	2
0	0
0	12
7803	0
224	1862
9	279
0	3
0	0
0	0
0	16
2	254
0	1802
0	0
9	599
0	1417
181	293
52	0
109	652
1	0
8	128
109	0
0	95
0	30
0	0
0	1
0	13195
2161	1855
0	0
8	785
0	0
0	1848
0	0
0	0
2	0
0	0
6	0
0	3461
0	1
0	0
0	0
1	43
0	0
0	0
1	0
0	313
0	5
0	555
0	1
0	13
0	0
2	1
0	0
0	17
0	137
0	0
1	119
0	0
571	17848
2	30
0	0
0	0
0	2322
794	1985
208	0
389	465
0	0
65	178
0	0
0	1565
158	2461
0	4
18	11
0	0
0	3129
0	31
0	799
0	850
0	0
0	0
222	0
0	0
0	12
0	0
0	1
0	467
52	1186
0	0
0	3069
0	0
0	2863
0	0
0	0
388	1791
19	0
97	832
1	2
0	4
0	0
10	30
0	1
0	1
0	102
0	0
0	3
8	597
0	0
0	0
0	0
0	0
0	4
0	0
265	1691
0	0
0	0
0	0
0	4
0	0
2499	4267
0	1
0	0
17	9
0	13
0	0
0	0
0	0
0	0
0	0
0	2
163	459
1	0
0	1
0	0
963	1786
2	33
871	0
0	1
0	20
23	1
69	30
0	0
0	2
0	0
0	0
4	41
0	495
278	2435
73	575
3	0
0	10
0	791
3	4
0	893
0	1
0	0
0	9
0	3
27	0
4	0
94	0
0	11
0	1007
578	0
26	1786
0	0
0	2
357	58
0	0
0	159
0	3180
288	1967
4	0
0	0
1	0
13	25
100	1487
0	1487
0	1472
2	1442
0	0
0	3
11	58
1309	1303
5199	47210
12	98
0	220
0	74
0	787
0	0
0	0
0	0
0	0
3947	0
0	0
0	0
0	76
0	111
81	318
0	0
3	0
30	51
0	1
5	0
27	0
462	0
42	0
3	67
0	0
5	7834
1	1360
30	0
328	1394
0	23
109	1159
101	497
0	19
235	2167
0	0
0	75
1	0
171	1720
0	16332
0	1
2	0
0	0
21	0
1	0
228	1162
3	0
122	1223
913	0
343	1091
0	0
0	0
0	2
2	42
0	190
0	41
0	2
0	1096
1	172
0	107
2	257
0	253
0	0
396	0
2	4
4	0
0	0
0	0
0	2
564	414
0	2
0	0
0	0
0	89
20	0
0	1
0	148
0	35
809	624
0	295
477	4
0	2
0	0
0	34
0	3
215	1879
0	965
0	0
6	227
0	0
0	0
0	5
4	2
0	0
0	0
0	0
0	0
0	0
0	1
0	1
0	0
0	0
19	0
0	5
13	86
1	23
0	2
0	0
1	0
0	2
0	7
17	61
5	12
16	0
502	2880
0	0
1330	0
129	201
0	0
174	10608
0	2
0	14
33	0
0	5
0	2
4	0
0	0
1	0
0	1
755	5510
0	33
0	0
0	0
0	0
0	0
0	3
0	0
6	41
0	0
0	0
1	33
0	4
0	5
12	50
0	0
3	213
0	5
0	7081
532	0
4	920
0	0
0	357
3	1
0	2
0	0
0	85
0	32
0	4
34	0
0	0
0	7
0	0
0	1
7	333
136	2519
0	9
1	3
0	34
0	1
29	10
0	0
0	16
0	0
0	2
217	411
512	934
0	141
0	0
8777	0
0	0
0	0
4	238
8	239
0	483
191	3317
0	3178
0	262
0	15
0	0
0	0
85	5
0	0
0	1
0	1
0	0
0	21
0	0
111	0
1	57
7	19
0	489
0	2605
2886	0
3	57
2	36
0	0
0	0
16	102
0	1782
3	8430
587	83
0	13
0	1
0	1
0	20
36	0
0	0
0	0
0	0
0	3317
0	0
14	44
57	884
0	0
7	388
6	261
29	133
5	741
14	0
0	39
0	16
0	0
0	6
11	0
0	0
0	55
0	28
0	1
1	50
60	1280
737	11881
0	4018
8	548
0	69
0	479
0	11
5	148
41	2492
0	1
1	475
0	0
0	0
24	317
0	651
0	241
0	0
0	3414
0	0
6651	0
250	3885
13	39
0	0
1252	0
5441	1
979	0
0	1537
1958	0
1131	0
104	702
0	0
0	3
0	462
0	44
0	16
0	0
3	0
14	0
43	0
20	3
1	13
0	7
106	4
0	7
49	0
1	463
0	73
7	137
18594	40547
61073	0
19498	29629
1085	34488
6359	24896
57704	0
9133	62546
3004	32689
20570	301
1665	41395
28906	8
16197	17214
36702	0
3166	32439
15107	205
18779	0
33559	2
1851	15891
39640	6
12634	19380
16097	18536
9604	0
24473	0
7828	11580
14656	20107
5933	17052
6003	15689
6	8923
1872	14404
17453	0
19831	0
8459	4203
21428	1
3256	0
0	1315
0	3
0	0
0	2243
0	0
0	8272
1502	204
0	0
1	1142
0	0
0	43
0	0
3	2421
0	496
0	496
20	528
1	354
0	0
0	2
4	1730
1902	0
1	0
3	0
0	1
0	0
5	96
0	16
0	73
3	3407
69	3397
0	0
0	0
0	0
0	2729
24	934
0	0
0	1032
0	90
0	0
2	732
18	509
0	726
0	3031
0	3187
0	3124
0	122
240	121
0	3700
34	1573
5	23
0	1
9	0
0	10
0	13
13	1274
0	1413
10	24
0	1
11	1453
0	334
124	0
0	1153
127	3191
5	341
1	282
1	266
0	299
0	302
0	276
0	301
1	292
0	265
0	221
0	269
0	281
0	276
0	220
1	304
0	312
0	313
1	277
0	276
8	1050
7	464
0	0
0	0
0	0
0	0
88	420
87	0
3	86
0	0
77	707
0	55
0	0
0	0
13	125
0	172
0	0
47	427
0	0
0	0
0	0
150	270
0	0
2	1580
0	0
0	0
0	0
0	0
9	236
7	116
0	0
0	0
0	0
0	703
0	0
2	7
1285	988
3	0
3	58
947	0
1	1
0	0
0	0
0	0
0	0
1	36
2938	0
0	233
0	0
0	0
0	0
2	1
0	523
9	51
0	4691
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	634
0	635
0	621
0	450
0	74
3	8710
0	147
3	9913
0	5
0	0
0	0
0	0
0	0
0	0
10	0
0	0
0	0
