UniqueCount	AmbigCount
0	7
2	0
46	1857
92	258
37	2903
151	3543
0	90
22	1729
7	628
4	22
58	0
0	3
0	4544
86	396
1	1511
25	0
1	0
13	413
0	0
18	153
3	13939
0	0
0	4
0	42
0	1242
0	1
0	0
25	162
0	0
0	455
0	0
0	0
1	358
0	105
10	294
0	0
7	4244
0	1061
31	697
0	552
0	0
5	170
10	396
0	1450
641	1
1	332
0	27
3	111
0	135
44	0
0	0
0	0
77	177
0	7
0	1
0	34
0	1854
0	4
0	2
0	0
4866	0
9	291
158	3604
0	2
0	0
0	2
0	874
2	542
0	6
1	605
2	17
14	471
0	23
0	1178
1	0
22	0
0	92
0	99
14	306
0	57
41	0
0	1
6	2008
129	929
1251	1785
1238	0
1302	169
1	0
0	0
692	1
0	3
242	853
129	3624
0	643
0	220
1	0
20	781
245	842
2	149
0	698
923	3378
0	4
0	0
2	897
37	332
2	1443
79	759
0	643
0	0
3	8270
1603	0
0	0
0	0
0	9
0	2
39	5
0	0
4	0
0	1142
0	635
33	1128
607	0
0	3
5	849
0	934
0	560
141	1209
66	199
0	0
0	25735
118	1257
67	603
0	20
0	2
0	4
17	2646
17	232
1422	0
62	159
538	520
1	470
888	0
0	796
0	3
2	1343
0	1
9	200
0	63
3028	0
0	0
0	646
476	497
539	1636
1005	0
0	0
0	5
0	0
0	0
0	8709
0	1982
4	1531
257	2143
0	7852
7	10
0	1281
4912	0
29	2297
0	0
0	0
1	6
1	1
9	4898
9	2389
0	1475
364	967
0	0
6	10
4792	0
0	580
92	0
0	15
0	0
0	340
0	0
7	0
0	3356
1	50
0	8
2	0
0	0
0	1184
144	26
0	1663
0	7
48	0
0	114
1029	0
0	157
858	200
24	0
12	104
0	5
0	5
1	371
0	504
0	0
237	2783
0	0
0	1042
0	185
42	0
0	1
7	89
1456	2
0	0
0	2052
137	2744
0	1
213	0
0	226
1	2
8	220
0	0
0	6
0	1522
0	2269
0	4
0	1
0	317
0	1877
1	0
14	3508
2	362
2	37
0	4760
288	1757
1	0
0	1
4	0
0	988
0	28
0	0
149	817
46	807
0	712
1	0
0	1
7	2613
2	1471
371	8123
4625	0
12	1517
0	353
0	21
0	2249
0	37
0	2535
0	0
0	168
28	713
229	1654
0	764
0	4
0	4087
36	722
508	0
0	603
5	696
0	2745
4	0
7810	0
58	804
5	1493
247	760
0	0
0	872
3	388
0	0
0	0
0	0
1	0
204	2951
155	880
0	875
29	846
0	0
0	0
0	557
0	259
51	3801
42	1860
0	21
88	1492
447	1761
0	0
0	40
1366	0
6	886
0	1711
91	1333
71	856
0	0
2	0
42	282
0	1
28	0
0	307
0	0
0	0
0	0
5	401
7	612
120	0
0	158
0	4
0	1
0	0
0	1
0	1
0	4
2	12
0	10
8	4813
7	626
901	0
0	2
3	1
27	0
0	163
0	45
7	1
0	0
15	59
0	7815
37	0
46	0
0	0
298	0
2782	0
21	0
0	0
0	16200
3	455
1	1675
0	1008
0	0
2	0
0	0
0	0
0	1771
84	2255
0	1023
6	252
0	29
0	149
0	2
0	627
1	3590
0	2821
1	1
0	0
5246	0
636	0
0	0
529	4702
0	694
1370	0
0	37
4	209
1	2
0	10
53	0
20	0
530	5860
1	20
0	1805
13	3180
0	1164
18	926
110	1923
275	1061
0	0
0	229
46	2047
0	0
0	15
0	1439
0	0
1	21
199	4763
0	1
165	1329
0	5
1	331
9	139
0	10
1431	749
221	0
0	0
0	0
0	72
0	16
0	2
16	276
35	0
287	3254
4	461
3	0
0	2
2818	0
28	1048
51	748
3	345
1	171
0	4
1	41
2	21
6	3
0	283
0	24
2	1316
0	3
0	1005
0	30
8	2214
0	0
28	19
0	0
0	16
6984	0
326	1746
17	220
0	35
0	5
0	1
0	23
1	230
0	2015
0	0
7	809
0	1669
230	361
53	0
119	733
17	0
12	100
647	0
0	131
0	63
0	0
0	0
0	11241
1545	1394
0	0
11	440
0	1
0	1696
0	0
0	0
1	0
0	1
4	0
0	1810
0	10
0	0
0	0
2	112
0	1
0	0
2	0
2	332
0	20
0	567
0	3
1	16
0	0
2	7
0	0
0	28
0	153
0	0
2	107
0	0
619	22412
0	9
0	0
0	0
0	2376
688	2446
115	0
368	667
0	0
77	235
0	0
0	2210
150	2305
0	1
39	12
0	3
0	4728
0	9
0	1267
0	899
0	0
0	0
303	0
0	0
0	30
0	0
0	4
0	348
38	1286
1	0
0	2869
0	1
0	2829
0	0
0	0
309	1930
20	0
201	833
12	8
0	6
1	7
2	9
0	0
0	0
0	130
0	0
0	4
6	956
0	3
0	0
0	0
0	0
1	5
0	0
351	2552
11	0
0	0
0	0
0	11
0	0
2170	3936
0	2
0	0
37	7
1	25
0	0
1	0
0	0
0	0
0	0
0	2
173	487
7	0
0	9
1	0
1073	1422
1	25
615	0
0	1
0	14
28	1
42	25
0	0
0	1
3	0
1	0
8	52
0	937
199	2056
28	304
12	0
1	7
0	1027
2	8
0	981
0	8
0	0
0	25
0	7
51	0
11	0
116	0
2	12
0	844
711	2
12	1536
0	2
0	4
266	64
0	0
0	219
0	3144
296	2166
3	0
0	0
0	0
60	118
57	1511
0	1511
0	1499
1	1481
0	0
2	3
14	63
1177	1248
10005	58630
12	83
0	211
0	108
0	669
1	0
0	1
1	0
0	0
4454	0
0	0
0	0
0	54
0	156
98	478
0	0
0	0
32	68
0	4
6	0
23	0
556	0
41	0
1	97
0	0
2	8588
0	2044
30	0
358	1551
0	36
85	1112
73	398
0	65
213	2544
0	0
0	50
1	1
143	2087
0	20280
1	0
2	0
0	0
12	0
1	0
325	1566
5	0
161	1440
1857	0
439	1542
0	0
0	0
0	2
4	82
0	148
0	39
0	2
0	970
1	266
0	115
1	368
0	493
1	0
1232	0
1	3
1	0
0	1
0	0
0	10
208	160
1	4
0	0
0	0
3	104
9	0
0	5
2	313
1	67
693	576
0	384
431	2
0	8
0	0
0	35
0	2
184	1816
0	1138
0	0
0	199
0	0
0	0
0	9
14	1
0	0
0	0
0	0
0	0
0	1
1	1
0	412
572	0
4	6
21	0
0	12
9	103
0	21
0	2
0	0
2	0
0	2
0	1
3	34
12	24
47	0
523	4030
0	0
1345	0
109	186
0	2
143	8288
0	0
0	5
58	0
0	8
0	0
21	0
13	1
0	0
0	6
966	7510
0	49
0	1
0	1
0	0
0	0
0	1
0	1
4	31
0	0
0	0
4	44
0	0
0	23
12	48
0	0
17	355
0	1
0	7064
471	0
4	806
0	0
0	310
3	4
0	1
0	0
0	68
0	14
0	2
4	0
0	1
0	13
0	7
0	8
1	285
128	3407
0	16
0	8
0	18
0	1
22	10
0	1
0	6
0	1
0	1
228	443
507	1142
0	100
0	1
10985	0
0	1
0	0
5	158
6	241
0	681
178	3676
0	3413
0	193
0	8
0	0
1	0
103	2
0	0
0	0
1	1
0	1
0	30
0	0
122	0
4	70
18	35
0	674
0	2971
2115	3
3	112
4	44
0	4
0	0
44	209
0	1869
1	9363
431	49
0	25
0	0
0	0
1	48
38	0
0	9
0	0
0	2
0	3766
0	1
7	48
56	801
0	0
7	331
0	241
68	171
7	931
13	0
0	21
0	45
0	0
0	2
9	0
0	3
1	81
0	73
0	0
0	44
123	2419
881	18824
0	3619
12	497
0	39
0	238
0	30
5	121
39	2946
0	7
3	589
0	0
0	0
14	235
0	486
0	401
0	0
0	3833
0	0
6294	0
232	4380
2	26
0	0
1072	0
10910	1
1124	0
0	1633
2544	0
1379	0
127	1031
0	0
0	5
0	648
0	14
0	33
0	0
2	0
9	0
29	0
10	3
2	20
1	2
216	1
0	10
48	0
2	546
0	99
4	169
23514	49635
93154	0
25718	39094
2147	45628
5733	31517
54014	0
10659	79551
5687	35667
36487	742
2697	49206
29204	4
18471	21545
38911	0
6301	42958
18412	301
22716	0
42044	1
1672	18592
41750	26
13435	22968
18218	22911
13379	0
27895	1
9485	15526
15004	21070
7207	20643
10349	22687
4	10833
3218	16152
20884	0
26310	0
9466	4638
27586	4
4109	8
0	1166
0	1
0	0
0	2154
0	0
0	6541
1773	257
0	1
1	1729
0	0
0	6
0	0
2	2339
0	937
0	935
29	1038
1	594
0	0
0	3
1	1593
1706	0
0	0
4	0
0	9
1	1
3	110
0	47
0	136
2	4502
46	4493
0	0
0	0
0	0
0	4958
20	1408
0	0
0	817
0	90
0	0
4	954
7	482
0	1071
0	3218
0	3406
0	3345
0	76
369	152
1	3373
32	2085
6	58
0	0
14	0
0	4
0	5
12	1751
0	2009
9	50
0	2
16	2146
0	628
69	0
0	1438
170	4139
3	524
6	470
1	449
0	479
0	475
1	465
0	503
0	480
0	447
0	390
0	447
0	450
0	458
0	387
6	511
0	521
4	521
1	466
0	466
31	2515
8	682
0	0
0	0
3	0
0	0
86	481
79	0
6	96
0	0
66	609
2	48
0	0
0	0
17	166
0	217
0	0
52	548
0	0
0	0
0	0
85	169
0	0
7	1397
0	0
0	0
0	0
1	0
30	2006
8	103
0	0
0	0
0	0
0	918
0	0
1	10
1160	876
8	1
2	77
573	0
1	0
0	0
0	0
0	0
0	2
2	36
3584	0
0	187
0	0
0	0
0	0
7	1
0	649
10	34
0	6067
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	615
0	608
0	877
0	412
0	95
44	10361
0	172
15	11588
0	5
0	0
0	0
0	0
0	0
0	0
9	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	52
5	5668
2	1609
92	1167
0	1181
0	504
0	2493
0	2437
0	1488
0	2200
0	2598
5240	71449
0	1550
0	1541
0	1582
0	0
87	1129
91	1093
26	243
3	137
5	674
11	672
0	1972
0	7
675	1615
0	108
0	1963
4	6163
7	3518
42	3858
0	1
0	0
0	0
0	0
0	0
0	0
11	800
24	597
171	1933
389	2271
277	1864
283	2554
22	2288
118	2505
199	1614
0	1
5	0
11	846
53	5009
0	266
0	605
0	729
0	43
0	578
12	379
0	3
0	4
0	4
0	1972
0	0
0	854
24	2225
175	1106
6	770
0	0
49	537
0	0
110	821
0	109
2	7554
0	6
74	1576
0	1038
4	995
275	1865
3	227
0	308
0	2
0	300
1	261
137	5601
9	5585
0	662
0	711
3	385
0	1703
0	1677
0	1638
28	808
0	50
0	0
0	0
1	0
0	2376
0	0
0	0
46	160
0	223
0	1
1	0
0	0
0	0
1	7
0	0
0	0
14	3224
0	0
2612	0
36300	6237
0	2453
2	2701
15	2822
1	506
0	15
0	2528
0	0
0	1295
1	88
0	43
0	37
12	655
0	630
3	370
0	1981
0	1147
0	1767
0	28
0	12
398	807
0	814
9	738
118	623
0	0
0	1070
139	1839
83	1708
0	1002
12	1003
0	894
19	1939
222	131
1273	1947
11	437
13	2712
1196	1873
2	57
2	234
3	234
3	1838
0	0
0	0
15	15
12	1147
0	898
0	895
0	947
0	290
2	80
0	112
0	248
0	248
2	286
73	44
1318	4271
0	0
83	1115
10	1043
0	1030
0	246
0	135
0	10
1	8618
0	5
0	414
0	135
0	30
0	1059
0	0
9	44
0	2322
0	0
0	0
0	0
51	1181
0	0
4	209
0	0
0	0
1	0
0	198
32	803
0	182
2	190
1	396
0	0
0	3743
14183	0
0	14
2	227
8	1813
0	0
0	61
0	82
0	87
0	0
0	0
0	9312
0	0
0	0
0	1351
1	10370
1	1625
113	1881
0	0
412	0
227	134
105	1806
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	1
219	7
0	0
4	1243
1	0
0	0
6	89
0	0
0	0
0	0
5	26
0	2
159	5068
0	19
0	0
0	1
30	0
0	0
0	1
7	0
1	0
1413	1421
21	0
0	493
0	0
0	1
0	12
7	42
0	157
0	0
0	2
0	0
1370	0
70	1612
2	1613
0	0
0	0
11	101
0	367
92	422
0	0
34	122
1	33
0	5
5	93
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	51
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	1509
8	910
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
46	63992
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1990
44	242
0	0
0	0
0	0
0	0
0	0
0	0
0	10
0	0
0	2
0	0
0	0
0	0
0	0
1	0
0	0
0	1
0	0
0	0
69	1111
0	0
0	0
0	0
0	1752
0	0
0	1711
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	348
1	911
0	0
0	0
1	0
0	0
0	0
0	4
0	0
67	7180
3	7024
6	13231
0	550
0	0
0	0
211	799
0	134
19	3362
27	1572
0	0
0	4012
12	3900
19	3961
0	0
4	959
0	19
1	434
7	2721
0	638
0	568
0	0
4	180
3	244
2	13948
0	33
0	21
15	529
0	0
0	319
9	1060
116	2152
0	253
0	132
36	2650
0	578
37	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	121
0	2095
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	196
0	0
0	0
0	0
0	126
0	0
0	1
0	106
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	466
0	15
0	0
0	0
3	358
9	56
0	351
2	56
0	114
0	126
0	1013
0	0
25	1373
27	457
3	455
0	1207
0	1255
0	1311
0	492
0	482
0	1139
0	0
22	1413
107	2393
87	3963
0	0
0	0
0	0
49	7269
0	5
22	82
0	0
41	265
11	2120
0	1693
6	1202
1	647
0	643
0	51
8	23
1	465
0	1080
0	0
92813	5199
22	1800
0	147
2	1220
0	1
0	1
0	1
0	1
0	1477
4	542
0	353
29	740
14	2718
380	2604
2	2588
5	246
17	897
0	2931
0	1319
0	2566
11	2268
18	2136
471	646
44	662
0	1278
0	1283
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1106
49	1695
0	173
0	3
60	843
4	841
9	967
0	892
0	321
12	1160
0	828
0	130
0	1309
0	28
1	163
3	130
1	131
68	3617
2	1040
11	122
493	3519
67	3314
0	1
0	2
50	1515
71	180
3	413
59	761
28	1305
2	320
102246	2
1	412
0	5
1	2131
4	2227
0	3097
0	1576
0	0
5	3206
1	3046
30	3272
0	3059
15	94
56	22842
109	22858
7	1544
16	381
0	0
20	0
0	479
0	123
0	467
0	3741
10	3045
2	297
2	674
0	7
0	0
0	304
0	19
31	52
0	0
3	129
137	0
34	3363
0	3383
7	2526
18	2519
181	2512
15	2517
6	2517
0	14
0	0
16	459
9	151
2	1197
4	806
0	1
0	1
0	1
2	3978
962	152
102	63
0	2402
17	11
0	53
0	1179
0	198
1	200
5	26
119	696
14	769
0	34
1	24
2	27
0	404
141	2427
0	291
0	460
40	5142
1	1
0	0
0	0
0	75
0	4
0	515
0	0
2	0
0	0
4	0
0	0
0	0
1727	0
0	0
0	3
0	8
25	33676
0	2131
23	833
344	16
0	4597
1	311
0	2
1	23
229	4211
0	1553
0	0
4	2149
52	2143
4	2144
1307	0
89	927
0	1
0	1
1	11
0	1
10	1571
44	133
0	2913
0	778
0	20
0	6
0	6
358	0
0	931
0	0
0	0
0	2
0	1
1	6
0	0
3051	2
0	1
16	5139
7	0
1	1224
188	917
7	0
0	1153
0	2024
83	1324
10	439
0	0
0	1152
0	6
0	995
0	972
7	753
0	1164
7	87
0	11952
8	11894
0	8311
52	391
0	5
0	0
0	0
0	0
23	1158
45	5282
1	2272
0	2
1	1
4	0
22	0
13	1434
0	1122
8	1472
0	658
7	2294
1	386
0	4908
0	3126
0	1582
5	1582
0	0
61	631
2	1052
0	1599
19	258
1	177
0	765
97	375
37	2841
21	338
6	329
9	350
0	27
0	645
24	417
3	622
130	0
0	0
0	0
1	984
0	15
0	5
0	1
0	4
0	0
0	259
64	0
0	0
40	14672
6	374
37	3669
0	1639
5	1628
2	1438
1	1293
55	12061
0	0
0	952
786	8131
45	433
37938	0
0	0
10	987
5	895
349	3407
0	142
12	8417
1858	0
0	151
0	920
0	0
0	1
0	4116
31	259
3	12302
0	730
8	985
4	4
4	325
8	8
57	36
0	0
12	0
0	0
0	0
0	0
0	0
0	515
7	9
1	1382
4	270
4	949
59	2487
0	2209
1459	0
0	540
0	186
0	2
0	1654
0	1129
0	3754
0	3823
205	4180
0	0
8	1066
3	1039
4	968
148	385
3	560
1	211
5	184
0	866
2	631
9	1557
0	69
0	1
0	859
0	453
0	35
1	6
66	5122
4	4
0	667
4	0
0	944
5	7079
48783	0
0	473
217	167
0	6
8	0
0	141
31	501
40	0
4	3533
2	1838
0	0
0	0
5135	0
0	0
44	0
0	7
0	214
0	0
241	279
28	361
9	0
0	14
114	103
0	0
0	3
4	584
0	0
0	95
1	176
1	273
0	7
1459	0
0	1
0	62
0	33
0	0
0	0
2	2652
1	14
7	0
13	254
0	0
0	0
41	17
0	1
0	0
0	0
3	12
5	0
0	3
138	0
0	0
0	41
31	0
0	5
7	2
0	29
53	1167
10	27
0	225
0	5
0	14
0	5
6	5
12	2573
0	650
0	0
0	11
164	4090
0	0
6	83
0	3751
32	266
0	0
0	0
7	0
12	5
0	1019
72	1166
6	972
0	37
0	1590
1	0
107	9010
32734	0
0	1733
0	153
0	151
1	2708
0	1
0	10
0	5987
0	0
0	0
0	0
0	0
98	513
0	14
1	3898
0	30
0	0
0	2248
0	273
1	20
61	564
95	1343
0	1052
7	347
13	353
7	342
55	303
75	322
13	392
0	0
22	99
0	0
35	6235
0	0
1199	0
0	0
32	0
0	0
0	16
0	485
18	2272
13	2272
0	0
0	0
1	3890
83158	0
0	2148
1	0
1	412
51	4197
34	4916
0	0
0	0
244	287
0	16
0	1780
4	0
0	0
0	0
0	905
91	1455
0	25
47	6945
11	6944
0	1
0	10
296	2847
2	258
0	0
0	484
0	849
0	541
0	721
0	418
0	719
0	0
0	0
1	0
0	0
0	8
0	63
0	59
0	0
0	1533
1	1455
1	20
0	0
0	12
10	55
99	2804
1811	9774
0	0
0	0
0	31
0	454
355	930
1	0
3	5
193	575
0	0
1	0
17	2950
1	785
0	2797
0	2988
5	126
1	125
1	30
2	106
1	103
3	93
0	0
24	290
30	297
15	6
146	13035
55	13032
0	0
0	0
0	0
200	0
1	126
0	0
0	0
11	800
0	0
5	2
141	2501
0	1320
0	1197
0	1457
29	0
4	333
60	152
2	1321
2	109
0	794
11	796
10	664
0	0
4	280
0	43
0	101
2	9
0	8
0	136
1042	0
0	256
0	0
0	1
0	0
16	10
0	0
0	0
138	405
0	0
1	0
9	525
3	24
98	975
0	1102
9	0
1136	129
221	19943
0	710
1438	12909
0	3
0	3
0	3
246	659
28	56
0	1
0	0
0	0
0	0
0	0
0	25
1	4199
0	0
0	752
0	0
0	591
0	0
78	1658
0	679
0	6371
0	5894
0	0
85	1
137	280
27	1034
0	38
1	0
8	0
8	1
0	80
0	0
0	0
0	9
0	2
25	0
1	0
0	0
142	274
0	115
0	2
0	98
1035	78
0	0
15	0
2	16
0	1
2	194
0	152
1	0
711	0
39	0
0	47
1	0
13	666
1	0
0	10
0	2410
19	0
0	18
1	0
5	0
0	0
1	14
0	0
16	394
0	749
0	726
7	388
0	2268
4	44
6	134
0	2444
0	794
0	1125
332	43537
104	0
0	349
0	1031
0	0
1	0
0	4
12	599
64	3520
7	3555
199	1531
0	19
0	1
2	991
0	2355
0	0
5	15
0	805
6	1130
261	1014
0	3
0	3
21	1202
0	0
0	1089
2	2286
208	726
3	378
28	1594
5	1568
0	262
0	106
3	339
0	8
101	920
1	2249
34	2263
7	1688
2	1772
5	1672
155	1552
70	1292
513	1536
0	1260
54	1384
0	2500
1	4
0	0
0	93
0	23
0	0
0	1
0	2
0	2
0	2
205	1061
231	523
45639	0
13	287
0	1160
0	308
0	0
0	364
52	1633
2	1638
91	111
0	202
232	735
0	1641
3	719
10	379
0	335
78	0
5	51
152	646
136	2717
0	73
0	71
6	1749
53	4964
32	580
0	1740
0	64
43	1230
16	1312
33042	0
20215	0
0	0
0	8
0	0
0	0
0	0
0	0
9	1102
49	6105
10	294
65	2045
9	123
0	1
0	1
0	344
0	3363
0	573
3	280
1	3
2	4
1	189
0	92
0	84
0	974
84	1803
3	4832
1	4830
0	7
0	0
0	327
0	5965
0	68
3	69
0	41
0	8
0	76
0	8
0	7
0	0
0	279
0	524
28	755
12	200
0	190
0	190
0	0
1	252
2	252
0	112
8	477
0	477
0	1192
0	0
57	0
2	210
38	117
0	0
15	2238
1	144
104	1116
0	0
0	0
0	3816
0	3276
0	3489
0	12
0	2306
4	54656
542	1204
10	199
1	434
0	0
4	198
0	1732
3	1755
30	194
0	1160
0	0
137	1008
251	1912
579	0
0	0
2	151
34	7
0	0
0	2
39	0
1	767
323	2110
0	522
4965	18406
3	565
0	523
150	1642
0	850
0	283
0	1100
0	714
0	251
0	926
0	484
0	17
0	18
0	962
577	256
56	256
0	0
0	819
65	694
0	462
0	57
0	1
0	0
0	0
0	0
0	0
4	966
10	773
0	154
0	1278
0	627
0	463
0	130
0	0
0	1
0	24
0	27
0	27
695	30095
682	29692
919	30064
7	1446
0	2
0	381
17	857
0	1920
0	1920
0	1932
0	1920
0	867
0	0
0	0
0	0
0	558
0	1585
0	1243
0	1135
1	13
8	1361
1	296
2	3998
121	809
11	881
0	312
0	277
0	3024
108	2
47	18376
11	14683
225	14702
176	14702
22	3135
2	2878
16	712
48	3716
1701	27741
14215	19696
95	3240
12	780
2	776
4	768
8	769
0	1063
2009	46977
129	49613
2470	11543
0	700
1	364
13	626
0	869
2	4188
2	3056
0	186
5324	3663
12	827
0	775
0	775
0	4
0	0
0	1922
0	0
23	666
24	956
84	651
7	650
0	253
0	752
0	706
290	26871
4	26845
2	26824
0	70
8	396
4	390
0	1218
0	4
94	482
0	1
139	0
0	68
0	959
0	477
27	0
90	0
0	505
1	0
1	8
4	0
0	0
0	0
10	0
0	19
4	539
0	514
8	199
0	0
4	1228
128	53820
0	0
0	150
0	0
401	45433
0	1472
19	529
0	0
65	0
0	0
6	107
0	106
0	1014
0	862
4	4434
1	742
80	1817
1	446
0	0
15	710
0	60
17	608
8	520
0	259
0	474
0	3
0	753
791	58537
0	991
21	1653
29	1651
71	1627
1	1235
0	111
42	111
0	0
0	310
0	232
6	242
6	2108
78	943
18	4292
17	706
5	419
1	419
45734	0
0	0
0	0
287	43551
541	43875
0	1421
0	1415
0	8
0	259
0	259
0	259
0	10
548	4268
0	10
0	1
0	1
0	554
0	81
0	0
1	4547
88	8369
0	655
0	5
0	38
0	43
6	815
0	3
0	0
0	0
0	0
0	0
0	0
115	1297
0	3484
0	3292
333	7102
0	0
0	0
2	301
5	300
1	299
0	301
1	293
1	225
0	6500
18	6218
769	463
24	2460
23	2037
0	2626
1	2557
0	0
101	5
1	0
0	0
102	876
0	1683
23	6
2	2185
4	2181
0	2290
1	2167
87	2114
7	131
3	131
2	151
8	146
414	426
0	976
0	774
6	0
6	899
19	915
0	1752
0	12
4	2406
33	212
27	63
1	932
5	418
26	254
2537	20942
0	0
0	49
19374	0
7075	349
0	801
0	259
0	243
0	86
0	93
0	101
1	94
316	1133
0	139
0	7
4	0
326	2118
0	2
0	0
7	3
135	0
0	6
2	0
0	21
0	462
0	0
4	462
0	0
0	573
51	489
0	0
0	0
0	331
380	753
0	250
18	83
18	0
0	266
66	259
0	1329
0	271
0	462
13302	4475
228	849
0	32
0	32
0	1
1	0
0	12770
14	2492
12433	27741
2	59
0	0
0	0
233	1394
0	4
0	1
0	0
3	2449
0	39
222	17
0	249
0	245
6	9748
0	19
0	10
0	10
0	10
9864	0
0	0
625	1
0	3
0	1981
56	209
3	158
0	0
13	311
0	679
16	411
0	358
1	175
5	132
179	5680
96	2391
72	1381
15	450
0	31
49	340
0	1528
0	3399
0	5116
0	316
0	0
267	76
2	68
1	894
0	2
1	4
0	1165
123	3150
0	1761
112	2260
0	822
0	153
4	176
3	1271
11	75
0	841
15	136
60	263
2	1129
0	858
1	674
4	827
0	2267
3	333
568	0
0	4
0	15
0	126
0	25
110	1548
0	4
11	0
0	76
0	238
0	0
0	17
0	1158
72	357
0	682
704	460
0	2658
0	0
0	1769
938	767
2	3
1	1662
0	0
8	1
0	254
0	15
0	17
0	0
0	225
0	1
0	285
5454	1271
128	1802
12	28
29	519
137	1001
0	354
