UniqueCount	AmbigCount
0	11
4	9
39	1683
62	226
49	2844
121	3115
0	99
16	1627
5	550
0	24
88	0
4	0
0	4045
60	338
3	1695
10	0
0	0
10	497
0	0
12	165
2	12825
0	0
0	5
0	66
0	1526
0	2
0	0
21	175
0	0
0	468
0	2
0	0
0	397
0	77
9	273
0	0
4	3701
0	1004
43	667
0	534
0	0
5	166
12	361
0	1478
614	2
0	378
0	11
8	128
0	133
66	0
0	0
0	0
81	202
0	2
0	3
0	32
0	1911
0	2
2	8
0	0
4320	1
2	283
93	3257
0	2
0	0
0	3
0	881
2	533
0	7
3	673
1	18
31	477
0	16
0	1193
0	0
32	0
1	105
0	118
17	394
0	53
36	0
0	1
4	2039
141	1047
1289	1793
1084	0
1234	169
2	0
0	0
850	0
0	4
208	821
119	3235
0	789
1	223
0	0
21	934
252	905
0	122
0	669
728	2704
0	7
0	0
1	902
20	255
1	1419
72	683
0	687
0	2
1	7224
1816	0
0	0
0	0
0	7
0	0
38	8
0	0
9	0
0	1254
0	619
31	935
763	0
0	7
6	836
0	1343
0	794
124	1019
61	191
0	0
0	18512
101	1159
48	472
2	26
0	3
0	2
20	2840
12	198
1385	0
55	200
575	658
0	511
814	0
0	763
0	11
1	1333
0	3
5	214
0	74
2976	0
0	1
0	673
531	509
451	1516
1100	0
0	0
0	3
0	0
0	0
0	7896
0	2382
4	1502
217	1928
0	6841
4	2
0	1468
5000	0
27	1909
0	0
0	0
0	5
1	4
1	4176
3	1970
0	1345
315	931
0	0
14	12
4623	0
1	585
112	0
0	5
0	2
0	427
3	0
4	0
0	3182
0	62
0	11
2	0
0	0
0	1309
152	19
0	2094
1	10
70	0
0	133
1367	0
0	135
1261	273
20	0
15	95
1	1
0	6
0	443
0	635
0	0
187	2075
0	0
0	1031
1	231
44	0
0	0
8	36
1326	1
0	0
0	2217
129	2419
0	1
242	0
0	224
4	1
11	213
0	0
0	9
0	1463
0	2564
0	1
0	10
0	381
0	1521
0	0
12	3546
1	309
3	49
0	4821
262	1593
1	0
0	2
8	0
0	1313
0	11
0	0
154	899
46	943
0	1029
0	0
1	0
8	2894
1	1544
233	7535
3752	0
17	1742
0	356
0	11
3	2293
0	51
0	2663
0	0
0	211
32	672
174	1636
0	666
0	4
0	3862
37	666
457	0
0	621
5	640
0	2849
5	0
7503	0
73	876
1	1423
200	523
0	1
0	1137
5	433
0	1
0	0
0	0
0	0
189	3060
138	721
0	1039
32	890
0	0
0	0
0	605
0	279
46	3844
39	1910
0	298203
97	1935
412	1934
0	0
0	56
1404	0
4	876
0	1676
81	1280
83	841
0	1
2	0
51	290
0	0
23	0
0	310
0	0
1	0
0	0
4	503
10	718
109	0
0	174
2	2
0	0
0	0
0	0
0	0
1	0
5	10
0	7
1	3559
7	635
971	0
0	0
0	5
23	0
0	224
0	53
5	1
0	0
13	57
0	7264
51	0
27	0
0	1
325	0
3313	0
23	0
0	0
0	14960
2	526
0	1497
0	1024
0	2
4	2
0	0
0	0
0	1832
81	2047
0	1150
7	275
1	26
0	155
0	2
0	495
1	4197
0	2920
0	0
0	0
4772	0
623	0
0	0
521	4264
0	621
1480	0
2	24
5	235
0	1
0	8
65	0
15	0
492	5529
2	25
0	1655
13	3158
0	1228
18	884
106	2192
314	1162
0	0
0	228
40	1899
0	0
0	25
0	1495
0	0
1	34
187	4435
0	4
152	1291
0	9
2	340
7	186
3	6
1080	690
103	1
0	0
0	0
0	119
0	8
0	0
19	349
48	0
255	3510
0	492
0	0
0	1
2316	0
37	1523
38	838
2	306
2	120
0	9
2	26
0	14
6	1
0	240
0	35
8	1875
0	1
0	1001
0	38
15	2320
0	0
12	13
0	0
0	17
6840	0
321	1875
10	252
0	7
0	8
0	0
0	36
0	291
0	2012
0	0
13	868
0	1632
232	338
50	0
90	651
10	0
12	112
623	1
0	139
0	89
0	0
0	0
0	11991
1369	1400
0	0
8	551
0	1
0	2002
0	0
0	0
0	0
0	0
4	0
0	2225
0	1
0	0
0	0
1	92
0	3
0	0
2	0
0	407
0	14
0	583
0	3
0	10
0	0
2	6
0	0
0	16
0	182
0	0
1	134
0	0
479	19395
0	2
0	0
0	0
0	2470
624	2302
151	0
344	690
0	0
62	265
0	1
0	2338
145	2171
0	0
15	12
1	2
1	4290
0	14
0	1167
0	1048
0	0
0	0
305	0
0	0
0	21
0	0
0	10
0	364
51	1284
0	1
0	2821
0	0
0	2626
0	0
0	0
361	2155
16	0
175	818
8	4
0	8
0	2
6	2
0	0
0	0
0	141
0	0
0	0
13	987
0	1
0	0
0	0
0	0
0	1
0	2
350	2734
1	0
0	0
0	0
0	9
0	0
1889	3420
0	1
0	0
11	3
0	23
0	0
0	1
0	0
0	0
0	0
0	0
180	519
2	0
0	6
0	0
1117	1574
2	30
941	0
0	1
0	32
37	4
50	22
0	0
0	3
1	0
0	0
5	33
0	1003
228	2533
43	510
14	0
1	10
0	1236
0	6
0	1073
0	7
0	0
0	30
0	3
47	0
10	0
112	0
0	12
0	1060
709	0
10	1568
0	2
0	7
409	86
0	0
0	276
0	3133
301	2310
0	0
0	0
0	0
36	110
55	1695
0	1695
0	1685
2	1667
0	2
0	1
16	86
1093	1138
10908	65450
9	96
0	209
0	136
0	665
0	0
0	0
0	0
0	1
4233	0
0	0
0	0
0	51
0	140
110	492
0	3
0	0
37	96
1	3
1	0
23	0
660	0
42	0
6	100
0	0
0	8211
0	1831
26	0
309	1340
0	25
94	1064
63	416
0	62
180	2319
0	0
