UniqueCount	AmbigCount
0	20
0	5
61	2134
87	265
48	2622
114	3079
0	111
15	1651
6	437
1	31
76	0
1	1
0	5003
86	398
1	2124
8	0
2	0
8	510
0	0
16	191
6	14103
0	0
0	2
0	78
0	2025
0	1
0	0
15	109
0	0
0	604
0	6
0	0
0	564
0	61
21	334
0	0
5	2064
0	1159
35	818
0	530
0	1
2	275
18	483
0	1686
680	2
0	327
0	34
2	129
0	108
36	0
0	0
0	1
116	254
0	6
0	8
0	43
0	1842
0	16
1	0
0	0
5051	2
6	145
108	3101
0	1
0	0
0	6
0	720
3	605
0	13
10	913
3	14
31	659
0	24
0	1111
1	0
52	0
0	71
1	115
5	307
0	53
42	0
0	1
2	2046
193	1238
1141	1625
1479	0
1333	190
2	0
0	0
960	0
0	2
223	1018
166	3941
0	769
0	233
1	0
52	1249
307	1026
0	186
0	651
675	2488
0	9
0	0
2	853
32	304
0	1953
81	778
0	646
0	1
7	7040
1622	0
0	0
0	0
0	7
0	0
71	18
0	1
8	0
0	1345
0	757
31	1000
776	0
0	2
2	1142
0	1182
0	610
156	1095
83	258
0	0
0	15043
120	1256
19	197
0	10
0	5
0	11
25	2323
15	235
1419	0
67	157
607	651
3	951
995	0
0	890
1	5
0	1001
0	0
13	273
0	60
2483	0
0	0
0	767
472	519
564	1680
914	0
0	0
1	0
0	0
0	0
0	7837
0	2088
6	1292
189	1757
0	7499
8	5
0	1241
5451	0
45	2026
1	0
0	0
0	20
0	4
6	4094
5	1544
0	1427
359	842
0	0
13	7
4548	0
0	694
119	0
0	2
0	0
0	347
0	0
17	0
0	3096
0	62
1	11
1	0
0	0
0	1170
155	25
0	1671
0	10
42	0
0	100
774	0
0	107
933	253
24	0
13	94
0	2
0	5
0	507
0	414
0	0
258	2462
0	0
0	725
0	240
34	0
0	0
4	12
1329	0
0	0
0	3044
113	2250
0	0
226	0
0	266
2	1
5	303
0	0
0	9
0	1622
0	2889
0	0
0	3
0	440
0	2011
0	0
20	4463
0	378
6	67
0	4550
283	1807
0	0
0	4
8	0
0	1398
0	25
0	0
168	920
42	710
0	778
0	0
0	0
6	2718
0	1522
287	7318
3820	0
20	1517
0	447
0	16
2	3036
0	46
0	2503
0	0
0	202
28	635
194	1740
0	549
0	1
0	3405
78	982
510	0
0	656
5	660
0	2758
0	0
9129	0
58	737
3	1777
208	633
0	1
0	1048
9	627
0	0
0	1
0	0
0	0
184	2449
142	731
0	702
47	950
0	0
0	0
0	755
0	213
70	4376
45	2022
0	434523
70	1530
408	2086
3	2
0	29
1368	0
4	911
0	1546
81	1288
91	1075
0	0
6	0
70	296
0	1
42	0
0	364
0	0
3	0
0	0
1	412
12	724
35	0
0	160
0	1
0	0
1	0
0	0
0	0
0	3
6	14
0	2
9	4010
6	648
717	0
0	0
1	3
17	0
0	376
0	58
5	0
0	0
27	80
0	7256
38	0
22	0
0	0
213	0
1990	0
26	0
0	1
0	16821
0	576
2	1758
0	1169
0	4
4	3
1	0
0	0
0	2307
121	2483
0	1701
6	325
0	39
0	137
0	3
1	561
0	4488
0	2868
0	0
0	0
4349	0
673	0
0	0
532	4023
0	878
1345	0
2	42
8	233
0	1
0	8
47	0
20	0
577	5919
0	28
0	2004
12	2811
0	1296
17	1021
92	1833
331	1037
0	0
0	201
44	2289
0	1
0	25
3	1534
0	0
1	32
200	4802
0	2
135	1108
0	5
0	278
2	133
0	6
989	506
50	0
0	0
0	0
0	104
0	22
0	0
22	315
53	0
320	3743
2	564
0	0
0	0
2760	0
41	1377
130	1728
4	402
1	130
0	5
3	15
1	16
3	8
0	182
0	42
18	1988
0	1
0	933
0	38
10	2207
0	0
13	6
0	0
0	23
7780	0
341	1798
16	298
0	0
0	4
0	0
0	12
1	282
0	2281
0	1
19	921
0	1848
185	291
51	0
107	835
11	0
14	131
871	0
0	213
0	63
0	0
0	0
0	10644
1467	1425
0	0
6	482
0	1
0	2462
0	0
0	0
4	0
0	1
4	0
0	2763
0	8
0	0
0	0
2	115
0	1
