UniqueCount	AmbigCount
0	11
1	4
51	1805
101	309
50	3117
179	3635
0	67
23	1799
9	600
0	39
52	0
2	0
0	4794
78	474
0	1489
13	0
0	0
8	533
0	0
10	120
2	12889
0	0
0	8
0	38
0	1221
0	5
2	0
18	140
0	0
0	513
0	3
0	0
0	335
0	82
21	313
0	0
6	4036
0	1026
47	753
0	525
0	0
3	135
13	451
0	1423
625	1
0	316
0	31
4	100
0	189
85	0
0	0
0	0
69	171
0	1
0	1
0	28
0	1610
0	6
1	0
0	0
4957	4
16	359
145	3730
0	2
0	0
0	2
0	1007
1	583
0	3
5	518
1	30
18	413
0	22
0	1233
0	0
21	0
0	62
0	78
14	261
0	41
47	0
0	1
4	2042
163	1145
1240	1817
1255	0
1134	140
1	0
0	0
646	0
0	3
279	1183
125	3519
0	696
0	244
0	0
29	716
232	778
0	86
0	759
1010	3666
1	6
0	0
4	830
27	337
0	1298
84	886
0	758
0	2
5	8895
1861	0
0	0
0	0
0	4
0	1
34	3
0	0
7	0
1	915
0	692
37	1085
515	0
0	1
5	877
0	896
0	539
183	1338
83	204
0	0
0	26729
122	1205
79	720
2	17
0	9
0	10
14	2292
14	229
1469	0
62	192
502	602
1	416
1011	0
0	846
0	3
2	1317
0	0
5	118
0	70
2819	0
0	0
0	573
403	545
461	1512
1062	0
0	0
0	4
0	0
0	2
0	9323
0	2059
5	1649
254	2225
1	9025
11	13
0	1360
5552	0
43	2131
0	0
0	0
0	10
0	8
8	5376
13	2809
0	1441
377	1053
0	3
11	10
4962	0
0	543
99	0
0	9
0	0
0	391
0	0
6	0
0	3410
0	46
0	7
1	0
0	0
0	1199
154	33
0	1645
0	6
41	0
0	117
1104	0
0	155
812	238
25	0
17	72
0	3
0	4
1	422
0	462
2	0
250	2733
0	0
0	868
0	150
41	0
1	4
6	27
1749	2
0	0
0	2131
122	2527
0	2
184	0
0	229
2	1
11	224
0	1
0	14
0	1375
0	2033
0	1
0	7
0	388
0	2028
0	0
15	3637
1	345
5	63
0	4532
366	2163
1	0
0	2
2	0
0	986
0	23
0	0
139	753
37	820
0	817
0	0
1	0
11	2671
2	1418
356	8975
4693	0
16	1583
0	428
0	21
3	2658
0	24
0	2847
0	0
0	199
42	829
229	1670
0	866
0	5
0	4311
29	661
491	0
0	593
6	731
0	2812
8	0
7986	0
72	809
1	1543
249	833
0	0
0	947
9	339
0	3
0	3
0	1
0	0
192	2680
144	824
0	805
24	657
0	0
0	0
0	421
0	249
49	3465
38	1810
0	285379
71	1437
520	1973
0	2
0	32
1437	0
2	940
0	1796
99	1341
125	850
0	2
2	0
62	353
0	0
29	0
0	310
0	0
0	0
0	0
2	413
12	648
