UniqueCount	AmbigCount
0	31
1	4
61	2133
96	295
57	2869
156	3157
0	145
15	1805
6	519
0	49
88	0
0	0
0	4976
96	494
0	2207
12	0
0	0
14	559
0	0
19	215
2	15788
0	0
0	3
0	90
0	1967
0	3
0	0
6	103
0	0
0	624
0	3
0	0
1	631
0	74
22	359
0	0
3	2727
0	1371
57	833
0	631
0	0
11	277
21	448
0	2001
696	0
1	361
2	18
4	158
0	120
36	0
0	0
0	0
117	246
0	7
0	3
0	28
0	2672
0	9
1	2
0	0
5918	2
2	142
132	3393
0	2
0	0
1	3
0	626
4	573
0	7
11	938
0	16
44	715
0	11
0	1210
0	0
57	0
1	85
2	153
22	445
0	35
29	0
0	0
3	2299
211	1387
1342	1817
1506	0
1657	220
0	0
0	0
982	0
0	1
192	791
170	4207
0	767
0	237
0	0
53	1337
296	1112
0	238
0	718
844	2936
0	3
0	0
1	987
32	324
3	2131
100	796
0	750
0	4
0	6427
1577	0
0	1
0	0
0	6
0	0
95	29
0	0
10	1
1	1607
0	859
33	1149
1023	0
0	2
11	1202
0	1280
0	868
145	1200
89	261
0	0
0	15461
140	1259
42	347
0	10
0	0
0	4
31	2918
15	306
1603	0
59	184
744	782
0	1034
1096	0
0	1036
0	4
1	1167
0	1
15	270
0	59
2429	0
0	0
0	843
526	563
548	1673
1154	0
0	0
0	0
0	0
0	0
0	9068
0	2356
13	1660
247	1807
0	7953
7	6
0	1303
5630	0
41	2353
0	2
0	0
0	14
0	2
9	4596
9	1986
0	1541
361	876
0	0
7	15
4558	0
2	843
116	0
0	5
0	0
0	381
0	0
6	0
0	3384
0	71
2	19
3	0
0	0
0	1465
143	13
0	2004
1	10
56	0
0	147
1022	0
0	99
1086	245
8	0
14	117
0	1
0	7
1	524
0	486
0	0
278	2591
0	0
0	936
2	345
35	0
0	0
3	35
1299	3
0	0
0	3421
110	2744
0	1
275	0
0	322
2	3
7	301
0	0
0	8
0	1983
0	3223
0	1
0	5
0	434
0	2103
0	0
12	4815
0	400
2	46
2	5356
303	1713
0	0
0	0
4	0
0	1490
0	37
0	0
214	1150
41	852
0	824
2	0
0	0
6	2952
2	1592
304	7364
3707	0
18	1711
0	411
0	14
0	3220
0	72
0	2829
0	0
0	252
20	672
230	1769
0	552
0	2
0	3828
70	1165
559	0
0	707
6	680
0	3308
5	0
9628	0
82	840
3	1913
224	630
0	0
0	1167
12	806
0	0
0	0
0	0
0	0
202	3182
145	885
0	679
32	1002
0	0
0	0
0	887
0	245
50	4437
48	2199
0	177768
89	1643
386	2087
0	1
0	45
1233	0
4	847
0	1739
122	1399
130	1272
0	1
1	0
71	286
0	0
42	0
0	403
0	2
3	0
0	0
1	457
3	791
63	0
0	237
0	4
