UniqueCount	AmbigCount
0	15
1	6
71	2617
122	327
52	3589
169	3857
0	163
21	1922
9	655
1	52
175	0
0	1
0	5742
87	387
1	2275
3	0
0	0
19	795
0	0
10	177
3	21279
0	0
0	3
0	172
0	2505
0	2
1	0
28	130
1	0
0	772
0	2
0	0
1	678
0	84
31	453
0	0
7	2402
0	1810
63	925
0	780
0	0
1	219
8	539
0	2541
833	0
1	437
0	15
0	139
0	70
27	0
0	0
0	1
205	428
0	4
0	7
1	49
0	2805
0	10
0	2
0	0
7404	1
3	318
145	3818
0	1
0	0
1	4
0	867
1	587
0	19
4	1200
3	15
32	928
0	16
0	1547
0	0
49	0
1	72
0	225
29	550
0	107
36	0
0	0
8	2954
214	1452
1712	2415
2005	0
1850	218
1	0
0	1
1149	0
0	3
266	965
238	5352
0	1064
0	273
0	0
49	1642
326	1085
0	279
0	678
1000	3087
0	13
0	0
1	1119
38	362
5	2476
82	856
0	837
0	2
2	7674
2263	0
0	0
0	0
0	10
0	0
80	27
0	0
7	0
0	2293
0	880
39	1195
1073	0
0	10
11	1571
0	1694
0	1875
176	1381
133	429
0	0
0	14775
174	1550
13	243
0	11
0	6
0	9
35	3765
24	362
1956	0
99	235
830	958
4	1385
1252	0
0	1253
0	7
3	1010
0	2
21	391
0	55
3134	0
0	0
0	937
666	597
706	2164
1611	0
0	0
0	13
0	0
0	1
0	11220
0	2737
8	1638
277	2532
1	8712
10	7
0	1715
7161	0
72	2580
0	0
0	0
0	8
0	1
4	4774
15	2311
0	1696
414	812
0	0
17	14
5899	0
0	820
162	0
0	0
0	0
0	736
0	0
7	0
0	3825
0	112
0	7
8	0
0	0
0	1762
152	27
0	2315
0	7
52	0
0	251
1425	0
0	128
1322	323
20	0
29	156
0	0
0	1
2	657
0	765
0	0
307	2522
1	0
0	1222
0	100
38	0
0	1
1	12
2027	2
0	0
0	5185
141	3046
0	0
462	0
0	273
2	4
8	298
0	0
0	8
0	2466
0	3604
0	0
0	6
0	445
0	2456
0	0
15	5967
0	425
3	39
0	6727
280	1977
1	0
0	0
4	0
0	1686
0	23
0	0
188	1283
58	1175
0	1244
0	1
1	1
7	4171
1	1800
411	10013
5010	0
19	1725
0	394
0	12
5	4424
0	144
0	2822
0	0
0	235
22	794
293	2219
0	638
0	2
0	4411
71	1260
567	0
0	717
3	779
0	4286
11	0
11527	0
95	1084
4	1987
287	767
0	0
0	1526
12	931
0	2
0	0
0	0
0	0
244	3617
164	888
0	1037
33	1183
0	0
0	0
0	1135
0	359
49	5849
43	2127
0	3
77	1799
478	2479
0	0
0	59
1329	0
8	846
0	2071
122	1621
103	1262
0	0
2	0
53	373
0	0
28	0
0	482
0	0
4	0
0	0
1	442
6	916
39	0
0	289
0	6
0	0
0	0
0	0
0	0
1	6
4	8
0	6
11	3991
10	654
1118	0
0	1
3	2
15	0
0	561
0	105
6	0
0	0
29	127
0	9547
13	0
20	0
0	1
463	0
2781	0
25	0
0	0
0	22338
4	563
0	1721
0	1449
0	0
8	2
1	0
0	0
0	2506
127	2729
0	1940
4	402
0	23
0	173
0	5
0	767
3	6237
0	3661
1	3
0	0
5790	0
608	0
0	0
468	3893
0	1069
3064	0
0	55
7	262
0	0
0	6
50	0
26	0
817	9052
2	20
0	2756
14	3421
0	1723
28	1125
132	2438
475	1669
0	0
0	332
64	2754
0	0
0	44
4	1904
0	0
0	40
221	5757
0	8
175	1408
0	4
1	417
17	221
0	12
820	447
33	0
0	0
0	0
0	105
0	25
0	0
28	463
48	0
315	4410
3	553
0	0
0	0
3286	0
79	2365
157	1724
7	575
3	132
0	0
1	49
1	19
13	6
0	153
0	22
7	2318
0	3
0	1273
0	18
10	2932
2	0
23	14
1	0
0	14
9097	0
227	2190
28	425
0	2
0	4
0	3
0	18
2	391
0	2434
0	0
18	941
0	2010
266	302
42	0
113	907
13	0
17	185
1585	0
0	143
0	90
0	0
0	0
0	16529
2090	2136
0	0
8	730
0	0
0	3423
0	1
0	0
0	0
0	0
13	0
0	4648
0	2
0	0
0	0
1	97
0	1
0	4
2	0
1	406
0	29
0	638
0	2
0	18
0	0
0	1
0	0
0	24
0	329
0	1
1	115
0	0
790	28539
0	5
0	0
0	0
0	3140
877	3041
327	0
366	690
0	0
94	274
0	0
0	1606
213	3261
0	5
24	11
2	3
0	4704
0	71
0	1203
0	1309
0	1
0	0
416	0
0	0
0	30
0	4
0	7
0	497
70	1800
0	4
0	5704
0	0
0	4535
0	0
1	0
452	2750
27	0
205	1345
12	9
0	6
0	0
7	5
0	0
0	0
0	170
0	0
0	2
7	613
0	0
0	0
0	0
0	0
1	8
0	3
356	2427
2	0
