UniqueCount	AmbigCount
0	28
2	5
96	2507
123	226
64	3334
173	3667
0	175
33	2070
13	513
0	31
102	0
0	1
0	5149
89	407
4	2361
26	0
0	0
15	616
0	0
12	197
2	16647
0	0
0	1
0	70
0	1866
0	1
0	0
32	137
0	0
0	657
0	3
0	0
0	523
0	87
19	409
0	0
5	3306
0	1414
47	972
0	627
0	0
14	291
23	441
0	2364
801	2
1	474
0	16
5	158
0	93
22	0
0	0
0	1
132	232
0	3
0	3
1	39
0	3469
0	11
1	2
0	0
5794	2
7	167
223	3399
0	0
0	0
0	2
0	953
8	664
0	9
4	964
0	27
40	657
0	27
0	1302
0	0
69	0
0	97
0	152
25	417
0	81
38	0
0	1
7	2485
248	1384
1643	2053
1501	0
1625	94
1	0
0	1
1109	0
0	7
304	935
274	4843
0	933
0	263
0	0
54	1310
381	1233
0	224
0	756
1012	2429
0	8
0	0
1	1161
39	407
4	2241
88	854
0	739
0	1
3	8423
2095	0
0	0
0	0
0	10
0	2
66	23
0	1
8	0
1	1928
0	792
38	1013
791	0
0	0
19	1195
0	1320
0	1053
168	1253
96	252
0	0
0	13666
162	1411
35	447
0	12
0	5
0	7
22	3260
17	331
1584	0
101	214
855	770
8	872
1274	0
0	1106
0	3
4	1240
0	2
17	264
0	93
3889	0
0	0
0	871
512	508
980	2207
1141	0
0	0
0	5
0	0
0	0
0	9239
0	2456
3	1450
259	2057
0	8601
6	0
0	1697
6165	0
62	2518
0	0
0	0
0	16
0	7
12	4494
17	1972
1	1518
423	847
0	0
15	9
6038	0
0	601
143	0
0	2
0	0
0	641
0	0
3	2
0	3207
0	100
1	6
3	0
0	0
0	1478
157	28
0	2255
1	13
54	0
0	127
1255	0
0	129
1366	249
15	0
7	126
0	1
0	5
2	474
0	613
0	0
288	2641
0	0
0	1054
0	145
56	0
0	0
5	19
1686	2
0	0
0	3745
110	2907
0	0
330	0
0	237
1	0
10	190
0	0
0	7
0	2038
0	3287
0	6
1	5
0	399
0	1959
0	0
10	5283
1	381
1	40
1	5523
309	2062
0	0
0	0
5	0
0	1611
0	25
0	0
198	1299
39	985
0	917
1	0
0	0
5	3675
7	1602
722	8246
4451	0
20	1975
0	443
0	7
9	3694
0	62
0	2896
0	0
0	175
31	748
378	1838
0	673
0	2
0	4073
74	986
629	0
0	718
11	745
0	3475
4	0
9764	0
90	960
8	1920
285	695
0	2
0	1358
2	845
0	1
0	0
0	0
0	0
240	3535
173	871
0	1059
71	1384
0	0
0	0
0	930
0	310
110	5150
47	2470
0	3
107	2263
494	2230
0	0
0	53
1439	0
10	916
0	1749
137	1303
126	1294
0	0
2	0
49	359
0	1
35	0
0	483
0	1
6	0
0	0
5	600
9	855
120	0
0	241
0	3
0	0
0	0
0	1
0	2
0	6
3	17
0	4
13	4152
12	688
970	0
0	1
3	6
15	0
0	432
0	55
5	2
0	0
28	85
0	7967
43	0
47	0
0	1
345	0
3197	0
14	0
0	0
0	17766
0	510
1	1788
0	1224
0	0
4	10
0	0
0	0
0	2547
180	2646
0	1560
11	281
0	26
1	213
0	4
0	655
1	4973
0	3915
2	0
0	0
5469	0
724	0
0	0
584	5584
0	851
2173	0
1	49
7	213
0	0
0	16
70	0
18	0
654	7191
5	30
0	2216
15	3625
0	1533
15	1306
204	2475
343	1121
0	0
0	227
47	2242
0	0
0	28
0	1912
0	0
0	10
233	5814
0	6
176	1647
0	4
0	388
10	176
2	18
824	441
87	0
0	0
0	0
0	97
0	11
0	0
31	370
48	0
294	4338
4	611
0	0
0	2
3089	0
83	1922
78	1064
12	393
3	132
0	1
5	42
0	24
1	3
0	230
0	34
13	1636
1	3
0	1216
0	24
13	2767
0	0
17	6
0	0
0	19
8068	0
122	1990
17	345
0	11
0	7
0	1
0	39
0	351
0	2669
0	0
24	1107
0	2037
235	240
49	0
92	712
7	0
10	108
953	0
0	156
0	83
0	0
0	0
0	14796
2003	1493
0	0
27	791
0	1
0	3049
0	0
0	0
0	0
0	0
8	0
0	4311
0	2
0	0
0	0
1	130
0	1
0	2
0	0
0	542
0	25
0	520
0	1
0	20
0	0
1	2
0	0
0	13
0	252
0	0
1	102
0	0
616	23212
0	6
0	0
0	0
0	3032
846	2676
196	0
322	627
0	0
48	199
0	0
0	2424
225	2382
0	2
23	12
1	3
1	4040
0	17
0	1548
0	1117
0	0
0	0
463	0
2	0
0	26
0	0
0	9
0	516
53	1501
0	0
0	4053
0	1
0	3635
0	0
0	0
437	2350
12	0
242	1281
3	11
0	7
0	2
3	6
0	0
0	10
0	115
0	0
0	5
9	727
0	0
0	0
0	0
0	0
1	5
0	2
445	2935
5	0
0	0
0	0
0	10
0	0
2404	3678
0	1
0	0
41	6
1	17
0	0
1	4
0	0
0	0
0	0
0	8
194	568
4	0
0	5
0	0
835	1684
2	46
866	0
0	1
0	22
34	2
73	24
0	0
0	2
0	0
1	0
0	46
0	1082
336	2961
48	388
11	0
1	13
0	1245
0	4
0	1506
0	4
0	0
0	23
0	2
72	0
12	0
121	0
0	10
0	1315
842	1
6	2343
0	0
0	2
401	50
0	0
0	216
0	3670
397	2455
0	0
0	0
2	0
21	54
97	2361
1	2361
0	2348
2	2314
0	2
0	4
6	50
1276	1287
8393	45061
22	126
0	193
0	107
0	806
0	0
0	0
0	0
0	2
5116	0
0	0
0	0
0	43
1	136
150	574
0	1
1	0
30	44
0	3
3	0
29	0
563	0
34	0
3	108
0	0
1	9511
0	1689
16	0
355	1469
0	23
136	1302
84	546
0	41
246	3200
0	0
0	60
0	1
273	2551
0	20932
2	0
2	0
3	0
26	1
2	0
338	1544
9	0
191	1591
1225	0
477	1348
0	1
0	1
0	2
3	70
0	238
0	39
0	1
0	1496
1	271
0	133
8	315
0	444
1	0
722	0
1	2
0	0
0	1
0	0
0	5
330	302
0	8
0	0
0	0
1	138
14	0
0	1
0	246
1	45
1070	717
0	373
481	7
0	9
0	0
0	34
0	1
262	2612
0	1157
0	0
5	296
0	0
0	0
0	11
11	1
0	0
0	0
0	0
0	0
0	0
6	2
0	0
0	0
3	6
32	0
0	7
5	72
2	33
0	0
0	0
0	0
0	3
0	3
4	49
3	28
59	0
538	4427
0	0
1666	0
137	207
0	0
355	11675
0	2
0	9
36	0
0	5
0	0
16	0
12	0
2	0
0	4
1102	6306
0	40
0	1
0	0
0	0
0	0
0	2
0	0
3	56
0	0
0	0
2	42
0	2
0	35
6	70
0	0
17	243
0	2
0	9541
688	0
1	1188
0	0
0	412
6	4
0	0
0	0
3	98
0	31
0	5
7	0
0	2
0	14
0	5
0	9
2	289
141	3658
0	14
0	0
0	12
0	2
31	6
0	0
0	23
0	0
0	1
328	450
597	1132
0	100
0	0
11828	0
0	0
0	0
8	323
7	315
0	813
176	3156
0	4175
1	242
0	21
0	0
3	0
122	2
0	0
0	2
0	1
0	2
0	15
0	0
126	0
2	114
16	49
0	669
0	3448
3412	0
3	166
1	45
0	1
0	0
25	149
0	1933
6	10082
702	61
0	31
0	6
0	1
3	53
47	0
0	3
0	0
0	0
0	4631
0	2
10	56
93	1217
0	0
4	418
11	294
76	212
7	984
14	0
0	33
0	37
0	0
0	2
17	0
1	5
2	66
0	78
0	0
0	64
113	1963
899	14147
0	5297
12	603
0	49
0	582
0	40
4	157
92	3348
0	4
2	749
0	0
0	0
36	362
0	788
0	423
0	4
0	5178
0	0
7127	0
303	5712
3	22
3	0
1455	0
7822	0
1137	0
0	2197
2912	0
1856	0
195	1220
0	1
0	13
0	742
0	30
0	29
0	0
1	0
18	0
47	0
13	3
0	17
1	17
190	5
0	13
75	0
2	603
0	113
4	193
25849	45733
95103	0
28106	31430
2362	48015
6179	33723
62466	0
8839	69057
5040	27503
25757	317
3922	43140
29004	6
20060	18758
35470	0
5921	36382
14794	160
19337	0
40977	5
1347	16351
37251	14
11809	17656
13197	15983
12215	0
25369	0
10524	11850
16993	20673
7532	13909
8245	16376
8	9300
2883	11336
14411	0
19471	0
7723	2756
19917	0
3359	3
0	1551
0	2
0	0
0	2971
0	0
0	9666
2339	220
0	0
1	1832
0	0
0	33
0	0
1	2692
0	1082
0	1080
53	1187
1	726
0	0
0	1
3	2279
1819	0
0	0
10	0
0	8
1	0
7	189
0	45
0	201
4	5543
60	5527
0	0
0	0
0	0
0	4525
38	1341
0	0
0	1131
0	129
0	0
6	1242
16	830
0	1426
0	3808
0	4181
0	4083
0	98
244	95
0	3778
61	2381
13	54
0	0
22	0
0	11
0	10
11	2006
0	2238
5	52
0	1
3	2270
0	423
109	0
0	1424
204	3902
13	512
7	450
0	424
0	446
1	460
1	437
0	459
0	454
1	423
0	364
0	421
0	425
0	427
0	361
3	467
0	477
0	469
3	440
0	436
23	1653
7	521
3	0
0	0
0	0
0	0
118	687
107	1
7	139
0	0
121	911
1	90
0	0
0	0
16	230
0	233
0	0
32	552
0	0
0	0
0	0
114	216
0	2
1	1529
0	0
0	0
0	0
2	0
17	743
6	82
0	0
0	0
0	0
0	1242
0	0
