UniqueCount	AmbigCount
0	20
4	10
75	2456
110	320
58	3377
214	3774
0	161
28	1970
21	634
2	26
138	0
2	5
0	5433
106	440
2	2782
13	0
0	0
16	640
0	0
25	264
4	18661
0	0
0	1
0	110
0	2077
0	2
1	0
31	141
0	0
0	728
0	4
0	0
0	627
0	86
24	392
0	0
1	2608
0	1615
69	951
0	689
0	0
10	275
22	501
0	2455
841	3
0	493
0	24
3	173
0	114
45	0
0	0
0	0
127	283
0	16
0	4
1	42
0	3231
0	14
1	1
0	0
6161	5
8	214
254	3561
0	3
0	0
0	5
0	924
11	658
0	11
2	1096
1	27
35	743
0	29
0	1580
1	0
69	0
0	106
0	168
32	504
0	86
48	0
0	0
6	2861
298	1613
1941	2096
1573	0
1684	123
1	0
0	1
1236	0
0	7
340	1155
271	4812
0	1067
0	276
0	0
56	1655
353	1223
0	241
0	853
1062	2636
1	11
0	0
2	1189
30	352
5	2421
87	887
0	834
0	1
6	8751
2242	0
0	0
0	0
0	11
0	0
76	29
0	0
8	1
1	2030
0	854
40	1222
1162	0
0	6
9	1264
0	1581
0	1527
149	1411
86	315
0	0
0	13682
191	1516
14	276
0	14
0	6
0	11
30	3701
14	369
1923	0
111	194
811	672
6	943
1329	0
0	1149
0	16
4	1217
0	0
7	254
0	77
3413	0
0	0
0	901
639	557
817	2221
1391	0
0	0
0	5
0	0
0	0
0	9994
0	2569
5	1523
270	2284
1	8619
4	5
0	1745
6329	0
73	2629
1	0
1	0
0	11
0	4
9	4809
17	1876
3	1725
469	825
0	0
13	13
5765	0
0	687
179	0
0	3
0	0
0	576
0	0
3	1
0	3693
0	106
3	12
2	0
0	0
0	1529
165	16
0	2354
0	13
69	0
0	182
1343	0
0	148
1424	299
15	0
14	133
0	1
0	2
0	522
0	641
0	0
277	2523
0	0
0	1191
2	152
47	0
2	0
2	5
1780	3
0	0
0	4449
129	2858
0	2
367	0
0	261
0	4
13	253
0	0
1	9
0	2345
0	3541
0	1
0	0
0	418
0	2054
1	0
18	5415
0	408
0	54
0	6025
333	2097
0	0
0	2
3	0
0	1690
0	33
0	0
190	1383
40	1035
0	1064
3	0
0	0
13	3916
2	1684
821	8733
4694	0
28	1964
0	468
0	18
13	3793
0	90
0	3185
0	0
0	258
34	826
421	2033
0	664
0	12
0	4379
78	1094
640	0
0	858
10	874
0	3837
7	0
10438	0
93	1061
6	2049
281	724
0	0
0	1500
0	799
0	1
0	0
0	0
0	0
238	3909
173	864
0	1265
63	1386
0	0
0	0
0	1006
0	308
137	5640
44	2325
0	0
126	2312
535	2391
0	0
0	68
1485	0
5	1035
0	1943
123	1485
138	1309
0	1
1	0
48	400
0	0
35	0
0	496
0	0
7	0
0	0
4	564
9	899
56	0
0	293
0	0
0	0
0	0
0	2
0	1
0	1
3	15
0	5
15	4073
16	718
1126	0
0	0
4	1
7	0
0	513
0	68
10	0
0	0
22	100
0	9239
37	0
28	0
0	0
326	0
2847	0
13	0
0	0
0	19506
3	623
2	1786
0	1397
0	1
5	5
0	0
0	0
1	2663
148	2433
0	1822
8	328
0	27
1	210
0	12
0	697
3	5690
0	4173
2	1
0	0
5765	0
748	0
0	0
552	5269
0	893
2596	0
1	56
7	240
2	0
0	6
79	0
19	0
772	8116
1	23
0	2438
12	3508
0	1608
21	1302
200	2642
399	1345
0	0
0	262
44	2452
0	0
0	36
0	1894
0	0
2	24
198	5892
0	7
138	1512
0	13
1	423
13	205
1	15
819	439
51	0
0	0
0	0
0	100
0	19
0	0
39	489
61	0
297	4659
7	703
0	0
0	0
3359	0
62	2300
99	1113
6	433
2	157
0	3
3	38
1	37
7	7
0	240
0	29
14	2089
0	3
0	1237
0	45
9	2807
0	0
15	10
0	0
0	14
8389	0
148	2259
18	406
0	1
0	3
0	1
0	26
1	372
0	2670
0	0
24	1162
3	2315
257	240
32	0
99	871
21	0
12	160
1649	1
0	138
0	80
0	0
0	0
0	15194
2029	1546
1	0
20	764
0	1
0	3194
0	0
0	0
0	0
0	0
7	0
0	4636
0	5
0	0
0	0
2	118
0	1
0	5
0	0
0	550
3	31
0	629
0	5
0	13
0	0
0	1
0	0
0	18
0	346
0	1
0	107
0	0
731	27015
0	6
0	0
0	0
5	3051
837	2843
266	0
338	828
0	0
83	307
0	0
0	2222
271	2779
0	4
20	5
2	1
1	4261
0	27
0	1553
0	1216
0	0
0	0
471	0
1	0
0	25
0	0
0	15
0	492
56	1773
0	3
0	4190
0	0
0	4085
0	0
0	0
488	2431
13	0
247	1260
13	3
0	4
0	2
1	6
0	0
0	1
0	174
0	0
0	6
7	770
0	1
0	0
0	0
0	0
1	3
0	1
424	2664
4	0
0	1
0	0
0	8
0	0
2639	4034
0	0
0	0
11	3
1	17
0	0
2	1
0	0
1	1
0	0
1	2
248	658
1	0
0	10
1	0
817	1917
2	43
1290	0
0	0
0	15
37	6
63	30
0	0
0	4
1	0
1	0
6	38
0	985
285	2853
50	542
25	0
1	14
0	1527
1	4
0	1480
0	5
0	0
0	31
0	3
47	0
18	0
139	0
0	10
0	1530
901	0
7	2384
0	1
0	8
404	46
1	0
0	285
0	4070
463	2599
3	0
0	0
1	0
22	56
114	2782
1	2782
0	2753
0	2723
0	1
0	4
13	46
1311	1461
9507	50119
25	114
0	280
0	97
0	900
0	0
0	0
0	1
0	2
5756	0
0	0
0	0
0	86
1	145
159	621
0	0
3	0
30	52
6	1
5	0
34	0
670	0
34	0
1	110
0	0
1	10432
0	1794
35	0
439	1513
0	31
115	1371
111	602
0	69
231	3362
1	1
0	101
1	2
195	1806
0	25067
3	2
0	0
0	0
28	1
0	0
373	1753
11	0
191	1534
1353	0
513	1565
0	0
0	0
0	2
10	61
0	299
0	45
0	6
0	1585
3	310
0	173
7	379
0	460
0	0
447	0
0	2
8	0
1	5
2	0
0	12
202	191
1	6
0	0
0	0
1	116
15	0
0	3
1	246
1	53
1073	636
0	378
590	13
0	9
0	0
0	38
0	1
238	2587
0	1310
1	0
1	307
0	0
0	0
0	8
10	4
0	0
0	0
0	0
0	0
2	3
5	5
0	1
0	0
0	5
53	0
0	8
13	96
1	23
0	2
0	0
1	0
0	0
0	4
7	63
5	31
47	0
515	4577
0	0
1640	0
141	230
0	3
382	13696
0	1
1	6
41	0
0	7
0	0
19	0
2	0
1	0
0	4
1239	7046
0	39
0	0
0	1
0	0
0	0
0	1
0	0
2	51
0	0
0	0
3	43
0	2
0	33
11	87
0	0
17	351
2	2
0	9825
757	0
3	1282
0	0
0	424
10	9
0	7
0	0
0	96
0	15
0	8
29	0
0	2
0	13
0	8
0	13
10	293
123	3817
0	5
1	1
0	19
0	2
53	6
0	0
0	11
0	2
0	4
412	547
577	1182
0	122
0	6
12603	0
0	0
0	0
12	326
5	367
0	769
167	3504
0	4645
0	308
0	23
0	0
3	0
151	5
0	0
0	1
0	0
0	0
0	25
0	0
173	0
3	103
12	51
0	653
0	4057
3959	0
3	103
2	44
0	2
0	0
22	97
0	2172
6	11302
728	59
0	38
0	2
0	1
1	36
71	0
0	1
0	0
0	0
0	4944
0	3
2	95
81	1228
0	0
12	447
2	301
80	171
11	1024
15	0
0	34
0	40
0	1
0	0
25	0
0	5
1	110
0	61
0	0
0	70
138	2189
979	15768
0	5013
14	711
0	76
0	703
0	44
6	191
69	3549
0	7
4	686
3	0
0	0
45	461
0	860
0	623
0	1
0	5052
0	0
8494	0
320	5814
11	30
0	0
1609	0
6996	0
1174	0
0	2320
2996	0
1974	0
216	1432
0	0
0	9
0	804
0	26
0	40
0	0
1	0
19	0
42	0
12	2
1	16
0	6
237	6
0	23
59	0
2	647
0	123
4	266
27914	46871
97412	0
30203	32249
2269	52294
6410	35236
70622	0
9257	75152
5249	29065
26931	406
4447	46711
31009	10
23050	20682
40669	0
6719	38809
16601	217
20497	0
43929	3
1714	18504
39777	23
13504	19216
14348	16708
12546	0
27283	5
12213	13383
19222	22345
7664	13978
8625	16717
7	9756
2949	11880
15062	0
21219	0
7742	2812
20439	0
3367	12
0	1774
0	1
0	0
0	3140
0	0
0	10596
2246	181
0	3
2	1824
0	0
0	22
0	0
4	2910
0	989
0	984
47	1062
7	656
0	0
0	7
4	2732
1916	0
0	0
7	1
0	10
1	1
6	219
0	67
0	238
5	5743
72	5733
0	0
0	0
0	0
1	5115
35	1368
0	0
0	1253
0	122
0	0
2	1346
7	928
1	1338
0	4193
0	4571
0	4464
0	124
267	79
0	4169
52	2297
8	52
0	0
32	0
0	14
0	19
13	1990
0	2195
2	47
0	1
2	2215
0	459
90	0
0	1606
217	4201
18	558
6	481
2	449
0	485
0	500
0	469
0	489
1	488
1	448
0	380
0	449
0	458
0	454
0	379
3	496
0	507
0	503
0	468
0	458
20	1644
8	624
0	0
0	0
0	0
0	0
139	634
178	0
13	116
0	0
98	840
0	104
0	0
0	0
24	247
0	208
0	0
46	608
0	0
0	0
